fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-09-30,USD,359241000000,147957000000,33539000000,33539000000,5718000000,72957000000,211284000000,61039000000,None,None,None,None,None,77723000000,21158000000,14585000000,None,285508000000,165631000000,69860000000,None,None,22446000000,119877000000,None,78328000000,20329000000,None,123288000000,64270000000,41549000000,73733000000,None,-14264000000,93568000000,15004697000
2024-09-30,USD,364980000000,152987000000,29943000000,29943000000,7286000000,66243000000,211993000000,55914000000,None,None,None,None,None,91479000000,35228000000,14287000000,None,308030000000,176392000000,68960000000,None,None,22511000000,131638000000,None,85750000000,20879000000,None,119059000000,50071000000,36634000000,56950000000,None,-19154000000,83276000000,15408095000
2023-09-30,USD,352583000000,143566000000,29965000000,29965000000,6331000000,29508000000,209017000000,43715000000,None,None,None,None,None,100544000000,31590000000,14695000000,None,290437000000,145308000000,62611000000,None,None,15807000000,145129000000,12842000000,95281000000,15807000000,None,111947000000,58829000000,49848000000,62146000000,None,-214000000,73812000000,15812547000
2022-09-30,USD,352755000000,135405000000,23646000000,23646000000,4946000000,28184000000,217350000000,42117000000,72340000000,None,None,None,None,120805000000,24658000000,21223000000,None,302083000000,153982000000,64115000000,None,None,21110000000,148101000000,12411000000,98959000000,21110000000,None,120881000000,60845000000,49142000000,50672000000,None,-3068000000,64849000000,16325819000
2021-09-30,USD,351002000000,134836000000,34940000000,34940000000,6580000000,26278000000,216166000000,39440000000,70283000000,None,None,None,None,127877000000,27699000000,14111000000,None,287912000000,125481000000,54763000000,None,None,15613000000,162431000000,11803000000,109106000000,15613000000,None,124719000000,47493000000,28636000000,63090000000,None,5562000000,57365000000,16864919000
2020-09-30,USD,323888000000,143713000000,38016000000,38016000000,4061000000,16120000000,180175000000,36766000000,66760000000,None,None,None,None,100887000000,52927000000,11264000000,None,258549000000,105392000000,42296000000,None,None,13769000000,153157000000,9842000000,98667000000,13769000000,None,112436000000,42684000000,26320000000,65339000000,None,14966000000,50779000000,17528214000
2019-09-30,USD,338516000000,162819000000,48844000000,48844000000,4106000000,22926000000,175697000000,37378000000,58579000000,None,None,None,None,105341000000,51713000000,12352000000,None,248028000000,105718000000,46236000000,None,None,16240000000,142310000000,None,91807000000,16240000000,None,108047000000,37720000000,20958000000,90488000000,None,45898000000,45174000000,18595652000
2018-09-30,USD,365725000000,131339000000,25913000000,25913000000,3956000000,23186000000,234386000000,41304000000,49099000000,None,None,None,None,170799000000,40388000000,12087000000,None,258578000000,116866000000,55888000000,None,None,20748000000,141712000000,None,93735000000,20748000000,None,114483000000,32687000000,11165000000,107147000000,None,70400000000,40201000000,20000436000
2017-09-30,USD,375319000000,128645000000,20289000000,20289000000,4855000000,2093000000,246674000000,33783000000,41293000000,2298000000,2298000000,5717000000,None,194714000000,53892000000,13936000000,None,241272000000,100814000000,49049000000,None,None,18473000000,140458000000,None,97207000000,18473000000,None,115680000000,25744000000,40415000000,134047000000,0,98330000000,35867000000,21006768000
2016-09-30,USD,321686000000,106869000000,20484000000,20484000000,2132000000,527000000,214817000000,27010000000,34235000000,3206000000,3206000000,5414000000,None,170430000000,46671000000,8283000000,None,193437000000,79006000000,37294000000,None,None,11605000000,114431000000,None,75427000000,11605000000,None,87032000000,22027000000,36074000000,128249000000,None,96364000000,31251000000,22001124000
2015-09-30,USD,290479000000,89378000000,21120000000,21120000000,2349000000,417000000,201101000000,22471000000,26786000000,3893000000,3893000000,5116000000,None,164065000000,20481000000,9539000000,None,171124000000,80610000000,35490000000,None,None,10999000000,90514000000,None,53463000000,2513000000,None,64462000000,25181000000,33427000000,119355000000,0,92284000000,27416000000,23172276000
2014-09-30,USD,231839000000,68531000000,13844000000,13844000000,2111000000,4232000000,163308000000,20624000000,18391000000,4142000000,4142000000,4616000000,None,130162000000,11233000000,9806000000,None,120292000000,63448000000,30196000000,None,None,6308000000,56844000000,None,28987000000,35295000000,None,35295000000,18453000000,24826000000,111547000000,0,87152000000,23313000000,24490652000
2013-09-30,USD,207000000000,73286000000,14259000000,14259000000,1764000000,2172000000,133714000000,16597000000,11922000000,4179000000,4179000000,1577000000,None,106215000000,26287000000,6882000000,None,83451000000,43658000000,22367000000,None,None,7679000000,39793000000,None,16960000000,None,None,16960000000,13856000000,20208000000,123549000000,0,104256000000,19764000000,26086536000
2012-09-30,USD,176064000000,57653000000,10746000000,10746000000,791000000,5551000000,118411000000,15452000000,6435000000,4224000000,4224000000,1135000000,None,92122000000,18383000000,6458000000,None,57854000000,38542000000,21175000000,None,None,6310000000,19312000000,None,None,None,None,None,11414000000,16664000000,118210000000,0,101289000000,16422000000,26469940000
2011-09-30,USD,116371000000,44988000000,9815000000,9815000000,776000000,5369000000,71383000000,7777000000,3991000000,3536000000,3536000000,896000000,None,55618000000,16137000000,4529000000,None,39756000000,27970000000,14632000000,None,None,5606000000,11786000000,None,None,None,None,None,9247000000,10100000000,76615000000,0,62841000000,13331000000,26226060000
2010-09-30,USD,75183000000,41678000000,11261000000,11261000000,1051000000,5510000000,33505000000,4768000000,2466000000,342000000,342000000,741000000,None,25391000000,14359000000,3447000000,None,27392000000,20722000000,12015000000,None,None,2466000000,6670000000,None,None,None,None,None,5723000000,5531000000,47791000000,0,37169000000,10668000000,25891936000
2009-09-30,USD,53851000000,36265000000,5263000000,5263000000,455000000,3361000000,17586000000,2954000000,1713000000,247000000,247000000,206000000,None,10528000000,18201000000,6884000000,None,26019000000,19282000000,5601000000,None,None,1948000000,6737000000,None,None,None,None,None,3376000000,3502000000,27832000000,0,19538000000,8210000000,25396140000
2008-09-30,USD,39572000000,34690000000,11875000000,11875000000,509000000,2422000000,4882000000,2455000000,1292000000,285000000,285000000,207000000,None,None,12615000000,5822000000,None,18542000000,14092000000,5520000000,None,None,2507000000,4450000000,None,None,None,None,None,3719000000,None,21030000000,None,13845000000,7177000000,25259892000
2007-09-30,USD,25347000000,21956000000,9352000000,9352000000,346000000,4029000000,3391000000,1832000000,1009000000,299000000,299000000,38000000,None,None,6034000000,996000000,None,10815000000,9299000000,4970000000,None,None,1805000000,1516000000,None,None,None,None,None,2919000000,None,14532000000,None,9101000000,5368000000,24900176000
2006-09-30,USD,17205000000,14509000000,6392000000,6392000000,270000000,2845000000,2696000000,1281000000,794000000,139000000,139000000,38000000,None,None,3718000000,469000000,None,7221000000,6471000000,3390000000,None,None,1515000000,750000000,None,None,None,None,None,2335000000,None,9984000000,None,5607000000,4355000000,24570728000
