fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-09-30,USD,111482000000,None,None,None,None,11698000000,12715000000,None,1400000000,None,15195000000,-120686000000,None,None,None,None,15421000000,15421000000,None,None,None,None,-90711000000,None,None,None,112010000000
2024-09-30,USD,118254000000,None,None,None,None,11445000000,9447000000,None,-1046000000,None,2935000000,-121983000000,None,None,None,None,15234000000,15234000000,None,None,None,None,-94949000000,None,None,None,93736000000
2023-09-30,USD,110543000000,None,None,None,None,11519000000,10959000000,-417000000,-1618000000,None,3705000000,-108488000000,None,None,None,None,15025000000,15025000000,None,None,None,None,-77550000000,None,5760000000,None,96995000000
2022-09-30,USD,122151000000,None,None,None,None,11104000000,10708000000,-9343000000,1484000000,None,-22354000000,-110749000000,None,None,None,None,14841000000,14841000000,None,None,None,None,-89402000000,None,-10952000000,None,99803000000
2021-09-30,USD,104038000000,None,None,None,None,11284000000,11085000000,-14028000000,-2642000000,None,-14545000000,-93353000000,None,None,None,None,14467000000,14467000000,None,None,None,None,-85971000000,None,-3860000000,None,94680000000
2020-09-30,USD,80674000000,None,None,None,None,11056000000,7309000000,8470000000,-127000000,None,-4289000000,-86820000000,None,None,None,None,14081000000,14081000000,None,None,None,None,-72358000000,None,-10435000000,None,57411000000
2019-09-30,USD,69391000000,None,None,None,None,12547000000,10495000000,3176000000,-289000000,None,45896000000,-90976000000,None,None,None,None,14119000000,14119000000,None,None,None,None,-66897000000,None,24311000000,None,55256000000
2018-09-30,USD,77434000000,None,None,None,None,10903000000,13313000000,-13332000000,828000000,None,16066000000,-87876000000,None,None,None,None,13712000000,13712000000,None,None,None,None,-72738000000,None,5624000000,None,59531000000
2017-09-30,USD,63598000000,None,None,None,None,10157000000,12451000000,-6347000000,-2723000000,None,-46446000000,-17347000000,None,None,None,None,12769000000,12769000000,None,None,None,None,-32900000000,None,-195000000,None,48351000000
2016-09-30,USD,65824000000,None,None,None,None,10505000000,12734000000,1044000000,217000000,None,-45977000000,-20483000000,None,None,None,None,12150000000,12150000000,None,None,None,None,-29722000000,None,-636000000,None,45687000000
2015-09-30,USD,81266000000,None,None,None,None,11257000000,11247000000,611000000,-238000000,None,-56274000000,-17716000000,None,None,None,None,11561000000,11561000000,None,None,None,None,-35253000000,None,7276000000,None,53394000000
2014-09-30,USD,59713000000,None,None,None,None,7946000000,9571000000,-6452000000,-76000000,None,-22579000000,-37549000000,None,None,None,None,11126000000,11126000000,None,None,None,None,-45000000000,None,-415000000,None,39510000000
2013-09-30,USD,53666000000,None,None,None,None,6757000000,8165000000,-1949000000,-973000000,None,-33774000000,-16379000000,None,None,None,None,10564000000,10564000000,None,None,None,None,-22860000000,None,3513000000,None,37037000000
2012-09-30,USD,50856000000,None,None,None,None,3277000000,8295000000,-6965000000,-15000000,None,-48227000000,-1698000000,None,None,None,None,2488000000,2488000000,None,None,None,None,665000000,None,931000000,None,41733000000
2011-09-30,USD,37529000000,None,None,None,None,1814000000,4260000000,-1791000000,275000000,None,-40419000000,1444000000,None,None,None,None,None,None,None,None,None,None,831000000,None,-1446000000,None,25922000000
2010-09-30,USD,18595000000,None,None,None,None,1027000000,2005000000,-4860000000,-596000000,None,-13854000000,1257000000,None,None,None,None,None,None,None,None,None,None,912000000,None,5998000000,None,14013000000
2009-09-30,USD,10159000000,None,None,None,None,703000000,1144000000,-939000000,54000000,None,-17434000000,663000000,None,None,None,None,None,None,None,None,None,None,475000000,None,-6612000000,None,5704000000
2008-09-30,USD,9596000000,None,None,None,None,473000000,1091000000,None,-163000000,None,-8189000000,1116000000,None,None,None,None,None,None,None,None,None,None,-124000000,None,2523000000,None,4834000000
2007-09-30,USD,5470000000,None,None,None,None,317000000,735000000,None,-76000000,None,-3249000000,739000000,None,None,None,None,None,None,None,None,None,None,-3000000,None,2960000000,None,3496000000
2006-09-30,USD,2220000000,None,None,None,None,225000000,657000000,None,-105000000,None,357000000,324000000,None,None,None,None,None,None,None,None,None,None,-355000000,None,2901000000,None,1989000000
