fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-12-31,USD,53925000000,None,None,None,None,3214000000,2373000000,None,-211000000,None,-4886000000,-39656000000,None,None,None,None,3921000000,3921000000,None,None,None,None,-24701000000,None,None,None,42097000000
2025-09-30,USD,29728000000,None,None,None,None,3127000000,3242000000,None,177000000,None,-2587000000,-27476000000,None,None,None,None,3862000000,3862000000,None,None,None,None,-20132000000,None,None,None,27466000000
2025-06-30,USD,27867000000,None,None,None,None,2830000000,3462000000,None,365000000,None,5073000000,-24833000000,None,None,None,None,3945000000,3945000000,None,None,None,None,-21075000000,None,None,None,23434000000
2025-03-31,USD,23952000000,None,None,None,None,2661000000,3071000000,None,643000000,None,2917000000,-29006000000,None,None,None,None,3758000000,3758000000,None,None,None,None,-25898000000,None,None,None,24780000000
2024-12-31,USD,29935000000,None,None,None,None,3080000000,2940000000,None,215000000,None,9792000000,-39371000000,None,None,None,None,3856000000,3856000000,None,None,None,None,-23606000000,None,None,None,36330000000
2024-09-30,USD,26811000000,None,None,None,None,2911000000,2908000000,None,-1087000000,None,1445000000,-24948000000,None,None,None,None,3804000000,3804000000,None,None,None,None,-25083000000,None,None,None,14736000000
2024-06-30,USD,28858000000,None,None,None,None,2850000000,2151000000,None,-12000000,None,-127000000,-36017000000,None,None,None,None,3895000000,3895000000,None,None,None,None,-26522000000,None,None,None,21448000000
2024-03-31,USD,22690000000,None,None,None,None,2836000000,1996000000,None,190000000,None,-310000000,-30433000000,None,None,None,None,3710000000,3710000000,None,None,None,None,-23205000000,None,None,None,23636000000
2023-12-31,USD,39895000000,None,None,None,None,2848000000,2392000000,None,-137000000,None,1927000000,-30585000000,None,None,None,None,3825000000,3825000000,None,None,None,None,-20139000000,None,None,None,33916000000
2023-09-30,USD,21598000000,None,None,None,None,2653000000,2163000000,-21137000000,952000000,None,3705000000,-23153000000,None,None,None,None,3758000000,3758000000,None,None,None,None,-21003000000,None,839000000,None,22956000000
2023-06-30,USD,26380000000,None,None,None,None,3052000000,2093000000,-3661000000,-22000000,None,437000000,-24048000000,None,None,None,None,3849000000,3849000000,None,None,None,None,-17478000000,None,2769000000,None,19881000000
2023-03-31,USD,28560000000,None,None,None,None,2898000000,2916000000,17786000000,-741000000,None,2319000000,-25724000000,None,None,None,None,3650000000,3650000000,None,None,None,None,-19594000000,None,5155000000,None,24160000000
2022-12-31,USD,34005000000,None,None,None,None,2916000000,3787000000,6595000000,-1807000000,None,-1445000000,-35563000000,None,None,None,None,3768000000,3768000000,None,None,None,None,-19475000000,None,-3003000000,None,29998000000
2022-09-30,USD,24127000000,None,None,None,None,2865000000,3289000000,-18693000000,435000000,None,-1217000000,-26794000000,None,None,None,None,3703000000,3703000000,None,None,None,None,-24428000000,None,-3884000000,None,20721000000
2022-06-30,USD,22892000000,None,None,None,None,2805000000,2102000000,3165000000,-16000000,None,4234000000,-27445000000,None,None,None,None,3811000000,3811000000,None,None,None,None,-21865000000,None,-319000000,None,19442000000
2022-03-31,USD,28166000000,None,None,None,None,2737000000,2514000000,19931000000,384000000,None,-9265000000,-28351000000,None,None,None,None,3595000000,3595000000,None,None,None,None,-22631000000,None,-9450000000,None,25010000000
2021-12-31,USD,46966000000,None,None,None,None,2697000000,2803000000,-13746000000,681000000,None,-16106000000,-28159000000,None,None,None,None,3732000000,3732000000,None,None,None,None,-20478000000,None,2701000000,None,34630000000
2021-09-30,USD,20200000000,None,None,None,None,2989000000,3223000000,-17604000000,-1429000000,None,835000000,-20382000000,None,None,None,None,3640000000,3640000000,None,None,None,None,-19748000000,None,653000000,None,20551000000
2021-06-30,USD,21094000000,None,None,None,None,2832000000,2093000000,-869000000,13000000,None,3572000000,-29396000000,None,None,None,None,3767000000,3767000000,None,None,None,None,-22900000000,None,-4730000000,None,21744000000
2021-03-31,USD,23981000000,None,None,None,None,2797000000,2269000000,25584000000,-276000000,None,-10368000000,-11326000000,None,None,None,None,3447000000,3447000000,None,None,None,None,-18548000000,None,2287000000,None,23630000000
2020-12-31,USD,38763000000,None,None,None,None,2666000000,3500000000,-21139000000,-950000000,None,-8584000000,-32249000000,None,None,None,None,3613000000,3613000000,None,None,None,None,-24775000000,None,-2070000000,None,28755000000
2020-09-30,USD,20576000000,None,None,None,None,2702000000,1784000000,-5364000000,-137000000,None,5531000000,-21357000000,None,None,None,None,3511000000,3511000000,None,None,None,None,-17187000000,None,4750000000,None,12673000000
2020-06-30,USD,16271000000,None,None,None,None,2752000000,1565000000,-1373000000,-689000000,None,-5165000000,-19116000000,None,None,None,None,3656000000,3656000000,None,None,None,None,-15891000000,None,-8010000000,None,11253000000
2020-03-31,USD,13311000000,None,None,None,None,2786000000,1853000000,9290000000,727000000,None,9013000000,-20940000000,None,None,None,None,3375000000,3375000000,None,None,None,None,-18574000000,None,1384000000,None,11249000000
2019-12-31,USD,30516000000,None,None,None,None,2816000000,2107000000,5917000000,-28000000,None,-13668000000,-25407000000,None,None,None,None,3539000000,3539000000,None,None,None,None,-20706000000,None,-8559000000,None,22236000000
2019-09-30,USD,19910000000,None,None,None,None,3179000000,2777000000,-19320000000,-785000000,None,-798000000,-21039000000,None,None,None,None,3479000000,3479000000,None,None,None,None,-17444000000,None,-1927000000,None,13686000000
2019-06-30,USD,11636000000,None,None,None,None,2933000000,2000000000,-214000000,1502000000,None,27502000000,-26804000000,None,None,None,None,3629000000,3629000000,None,None,None,None,-16955000000,None,12334000000,None,10044000000
2019-03-31,USD,11155000000,None,None,None,None,3040000000,2363000000,10675000000,70000000,None,13348000000,-29457000000,None,None,None,None,3443000000,3443000000,None,None,None,None,-23702000000,None,-4954000000,None,11561000000
2018-12-31,USD,26690000000,None,None,None,None,3395000000,3355000000,12035000000,-1076000000,None,5844000000,-13676000000,None,None,None,None,3568000000,3568000000,None,None,None,None,-8796000000,None,18858000000,None,19965000000
2018-09-30,USD,19523000000,None,None,None,None,2754000000,3041000000,-22624000000,1942000000,None,-3001000000,-22580000000,None,None,None,None,3530000000,3530000000,None,None,None,None,-19104000000,None,-6058000000,None,14125000000
2018-06-30,USD,14488000000,None,None,None,None,2665000000,3267000000,-3946000000,1693000000,None,3947000000,-31523000000,None,None,None,None,3653000000,3653000000,None,None,None,None,-20783000000,None,-13088000000,None,11519000000
2018-03-31,USD,15130000000,None,None,None,None,2739000000,4195000000,28468000000,-3241000000,None,28710000000,-26272000000,None,None,None,None,3190000000,3190000000,None,None,None,None,-22756000000,None,17568000000,None,13822000000
2017-12-31,USD,28293000000,None,None,None,None,2745000000,2810000000,-15230000000,434000000,None,-13590000000,-7501000000,None,None,None,None,3339000000,3339000000,None,None,None,None,-10095000000,None,7202000000,None,20065000000
2017-09-30,USD,15656000000,None,None,None,None,2484000000,4000000000,-13040000000,-1709000000,None,-9942000000,-3996000000,None,None,None,None,3270000000,3270000000,None,None,None,None,-7795000000,None,1718000000,None,10714000000
2017-06-30,USD,8672000000,None,None,None,None,2354000000,2360000000,-2002000000,-236000000,None,-3180000000,-2078000000,None,None,None,None,3365000000,3365000000,None,None,None,None,-7093000000,None,3414000000,None,8717000000
2017-03-31,USD,12570000000,None,None,None,None,2332000000,3015000000,7373000000,-198000000,None,-14202000000,418000000,None,None,None,None,3004000000,3004000000,None,None,None,None,-7161000000,None,-1214000000,None,11029000000
2016-12-31,USD,27234000000,None,None,None,None,2987000000,3420000000,1322000000,-580000000,None,-19122000000,-12225000000,None,None,None,None,3130000000,3130000000,None,None,None,None,-10851000000,None,-4113000000,None,17891000000
2016-09-30,USD,16126000000,None,None,None,None,2548000000,4038000000,-10257000000,-301000000,None,-7397000000,-6482000000,None,None,None,None,3092000000,3092000000,None,None,None,None,-6026000000,None,2247000000,None,9014000000
2016-06-30,USD,10634000000,None,None,None,None,2526000000,2905000000,6681000000,450000000,None,-4470000000,-9441000000,None,None,None,None,3187000000,3187000000,None,None,None,None,-10166000000,None,-3277000000,None,7796000000
2016-03-31,USD,11601000000,None,None,None,None,2477000000,2599000000,724000000,170000000,None,-13660000000,6884000000,None,None,None,None,2902000000,2902000000,None,None,None,None,-6667000000,None,4825000000,None,10516000000
2015-12-31,USD,27463000000,None,None,None,None,2954000000,4006000000,3896000000,-102000000,None,-20450000000,-11444000000,None,None,None,None,2969000000,2969000000,None,None,None,None,-6863000000,None,-4431000000,None,18361000000
2015-09-30,USD,13475000000,None,None,None,None,3119000000,3658000000,-6701000000,-307000000,None,-1375000000,-6299000000,None,None,None,None,2964000000,2964000000,None,None,None,None,-13253000000,None,5801000000,None,11124000000
2015-06-30,USD,14988000000,None,None,None,None,3084000000,2089000000,-1743000000,354000000,None,-11403000000,-2755000000,None,None,None,None,3053000000,3053000000,None,None,None,None,-10000000000,None,830000000,None,10677000000
2015-03-31,USD,19081000000,None,None,None,None,2479000000,2476000000,11812000000,-113000000,None,-22331000000,-1739000000,None,None,None,None,2743000000,2743000000,None,None,None,None,-6970000000,None,-4989000000,None,13569000000
2014-12-31,USD,33722000000,None,None,None,None,2575000000,3265000000,-2757000000,-172000000,None,-21165000000,-6923000000,None,None,None,None,2801000000,2801000000,None,None,None,None,-5030000000,None,5634000000,None,18024000000
2014-09-30,USD,13250000000,None,None,None,None,1969000000,3852000000,-10252000000,-246000000,None,2997000000,-15380000000,None,None,None,None,2829000000,2829000000,None,None,None,None,-17000000000,None,867000000,None,8467000000
2014-06-30,USD,10255000000,None,None,None,None,1946000000,2431000000,-1020000000,235000000,None,-22214000000,5987000000,None,None,None,None,2867000000,2867000000,None,None,None,None,-5000000000,None,-5972000000,None,7748000000
2014-03-31,USD,13538000000,None,None,None,None,1887000000,1486000000,9377000000,293000000,None,11741000000,-20407000000,None,None,None,None,2661000000,2661000000,None,None,None,None,-17971000000,None,4872000000,None,10223000000
2013-12-31,USD,22670000000,None,None,None,None,2144000000,2044000000,-4557000000,-358000000,None,-15103000000,-7749000000,None,None,None,None,2769000000,2769000000,None,None,None,None,-5029000000,None,-182000000,None,13072000000
2013-09-30,USD,9908000000,None,None,None,None,1783000000,2306000000,-7188000000,-67000000,None,611000000,-7508000000,None,None,None,None,2769000000,2769000000,None,None,None,None,-4910000000,None,3011000000,None,7512000000
2013-06-30,USD,7828000000,None,None,None,None,1694000000,2016000000,-117000000,-452000000,None,-6507000000,-2126000000,None,None,None,None,2811000000,2811000000,None,None,None,None,-16000000000,None,-805000000,None,6900000000
2013-03-31,USD,12504000000,None,None,None,None,1692000000,2299000000,8198000000,210000000,None,-14357000000,-2248000000,None,None,None,None,2491000000,2491000000,None,None,None,None,-54000000,None,-4101000000,None,9547000000
2012-12-31,USD,23426000000,None,None,None,None,1588000000,2455000000,-2842000000,-664000000,None,-13521000000,-4497000000,None,None,None,None,2493000000,2493000000,None,None,None,None,-1950000000,None,5408000000,None,13078000000
2012-09-30,USD,9136000000,None,None,None,None,981000000,3501000000,-4394000000,331000000,None,-4313000000,-2022000000,None,None,None,None,2488000000,2488000000,None,None,None,None,-81000000,None,2801000000,None,8223000000
2012-06-30,USD,10189000000,None,None,None,None,835000000,2963000000,-529000000,-20000000,None,-12310000000,-55000000,None,None,None,None,None,None,None,None,None,None,56000000,None,-2176000000,None,8824000000
2012-03-31,USD,13977000000,None,None,None,None,740000000,1509000000,2725000000,134000000,None,-14476000000,310000000,None,None,None,None,None,None,None,None,None,None,286000000,None,-189000000,None,11622000000
2011-12-31,USD,17554000000,None,None,None,None,721000000,1429000000,-4767000000,-460000000,None,-17128000000,69000000,None,None,None,None,None,None,None,None,None,None,91000000,None,495000000,None,13064000000
2011-09-30,USD,10429000000,None,None,None,None,543000000,4571000000,-244000000,113000000,None,-13136000000,431000000,None,None,None,None,None,None,None,None,None,None,254000000,None,-2276000000,None,6623000000
