date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2027-09-30,next fiscal year,9.2964,10.1900,8.3600,42.0000,9.1252,9.1343,9.1095,9.0746,19.0000,,18.0000,6.0000,493600540060.00,529857070010.00,454827000000.00,43.00
2026-09-30,historical fiscal year,8.4725,8.9700,8.1500,40.0000,8.2618,8.2640,8.2573,8.2327,27.0000,,26.0000,0.0000,464186872700.00,480479084350.00,448737000000.00,38.00
2026-06-30,next fiscal quarter,1.7311,1.8600,1.5857,27.0000,1.7047,1.7076,1.7081,1.7088,12.0000,,11.0000,9.0000,101595250000.00,107575000000.00,95980000000.00,28.00
2026-03-31,historical fiscal quarter,1.9429,2.1600,1.8300,30.0000,1.8499,1.8425,1.8429,1.8438,17.0000,,16.0000,0.0000,108799641650.00,112596000000.00,104636000000.00,31.00
2025-12-31,historical fiscal quarter,2.6708,2.8000,2.4500,33.0000,2.6731,2.6672,2.6632,2.6509,3.0000,,5.0000,1.0000,138522147180.00,142460000000.00,136656000000.00,32.00
2025-09-30,historical fiscal year,7.3807,7.4800,7.0900,43.0000,7.3773,7.3691,7.3815,7.1666,6.0000,,9.0000,3.0000,415655411720.00,431783000000.00,404529000000.00,43.00
2025-06-30,historical fiscal quarter,1.4257,1.5400,1.3200,29.0000,1.4199,1.4159,1.4166,1.4724,5.0000,,6.0000,1.0000,89162375340.00,92135000000.00,86919000000.00,28.00
2025-03-31,historical fiscal quarter,1.6118,1.6600,1.4700,26.0000,1.6052,1.6067,1.6080,1.6571,1.0000,,1.0000,4.0000,94231024860.00,95785000000.00,89400000000.00,26.00
2024-12-31,historical fiscal quarter,2.3410,2.5000,2.1900,25.0000,2.3454,2.3510,2.3498,2.3912,1.0000,,0.0000,5.0000,124026505760.00,129887000000.00,119563000000.00,29.00
2024-09-30,historical fiscal year,6.7000,6.7600,6.5700,39.0000,6.6700,6.6800,6.7000,6.6200,3.0000,,6.0000,1.0000,390498000000.00,393843000000.00,387118000000.00,41.00
2024-06-30,historical fiscal quarter,1.3500,1.4500,1.2900,26.0000,1.3400,1.2400,1.3200,1.2200,1.0000,,9.0000,0.0000,78096700000.00,82103900000.00,76606000000.00,25.00
2024-03-31,historical fiscal quarter,1.5000,1.5500,1.4100,27.0000,1.4000,1.5100,1.5100,1.4500,1.0000,,4.0000,1.0000,90011200000.00,91900000000.00,87818100000.00,25.00
2023-12-31,historical fiscal quarter,2.1000,2.1600,2.0200,26.0000,2.1000,1.8900,2.0900,1.9800,0.0000,,3.0000,1.0000,117909000000.00,124043000000.00,116577000000.00,24.00
2023-09-30,historical fiscal year,5.7200,5.8200,5.4900,36.0000,6.0600,5.7000,6.0700,5.3800,0.0000,,1.0000,1.0000,360831000000.00,363959000000.00,343999000000.00,35.00
2023-06-30,historical fiscal quarter,1.1900,1.4500,1.0500,29.0000,1.1900,1.1900,1.1900,1.2200,1.0000,,7.0000,0.0000,81685700000.00,94100000000.00,75584000000.00,25.00
2023-03-31,historical fiscal quarter,1.4300,1.5600,1.3700,26.0000,1.4300,1.4300,1.4300,1.4800,0.0000,,5.0000,0.0000,92960200000.00,98836000000.00,89787100000.00,24.00
2022-12-31,historical fiscal quarter,1.9400,2.1200,1.7100,27.0000,1.9500,1.9800,2.0100,2.0800,1.0000,,4.0000,4.0000,121104000000.00,128627000000.00,112106000000.00,23.00
