contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL260204C00175000,AAPL,2026-02-04,175.00,call,101.00,102.05,100.55,10,103.55,10,2,0,2026-02-04,4.54160,0.97949,0.00075,-1.64224,0.00716,0.00462
AAPL260204P00175000,AAPL,2026-02-04,175.00,put,0.01,0.01,0.00,0,0.01,1601,1,2659,2026-02-04,2.85383,-0.00085,0.00007,-0.06002,0.00042,-0.00001
AAPL260204C00180000,AAPL,2026-02-04,180.00,call,0.00,97.12,95.70,10,98.55,10,0,0,2026-02-04,4.38550,0.97643,0.00088,-1.78238,0.00805,0.00474
AAPL260204P00180000,AAPL,2026-02-04,180.00,put,0.00,0.01,0.00,0,0.01,2074,0,0,2026-02-04,2.68798,-0.00090,0.00008,-0.05936,0.00044,-0.00001
AAPL260204C00185000,AAPL,2026-02-04,185.00,call,79.19,91.82,90.30,10,93.35,10,0,1,2026-02-04,3.71235,0.98483,0.00071,-1.04534,0.00553,0.00494
AAPL260204P00185000,AAPL,2026-02-04,185.00,put,0.00,0.01,0.00,0,0.01,2575,0,4,2026-02-04,2.53189,-0.00097,0.00009,-0.06000,0.00047,-0.00001
AAPL260204C00190000,AAPL,2026-02-04,190.00,call,79.97,86.97,85.40,11,88.55,10,0,2,2026-02-04,3.72210,0.97849,0.00096,-1.40529,0.00745,0.00503
AAPL260204P00190000,AAPL,2026-02-04,190.00,put,0.00,0.01,0.00,0,0.01,544,0,0,2026-02-04,2.37580,-0.00104,0.00010,-0.05976,0.00050,-0.00001
AAPL260204C00195000,AAPL,2026-02-04,195.00,call,75.07,81.92,80.30,10,83.55,18,0,1,2026-02-04,3.42943,0.97910,0.00101,-1.26597,0.00727,0.00517
AAPL260204P00195000,AAPL,2026-02-04,195.00,put,0.01,0.01,0.00,0,0.01,100,20,102,2026-02-04,2.21970,-0.00109,0.00011,-0.05854,0.00053,-0.00001
AAPL260204C00200000,AAPL,2026-02-04,200.00,call,55.77,76.97,75.40,10,78.55,11,0,1,2026-02-04,3.28309,0.97564,0.00120,-1.37764,0.00828,0.00528
AAPL260204P00200000,AAPL,2026-02-04,200.00,put,0.04,0.01,0.00,0,0.26,51,20,27,2026-02-04,2.07336,-0.00119,0.00013,-0.05901,0.00057,-0.00001
AAPL260204C00205000,AAPL,2026-02-04,205.00,call,71.38,71.92,70.30,10,73.55,10,1,1,2026-02-04,3.00017,0.97638,0.00128,-1.22929,0.00806,0.00543
AAPL260204P00205000,AAPL,2026-02-04,205.00,put,0.00,0.01,0.00,0,0.03,54,0,12,2026-02-04,1.92703,-0.00127,0.00015,-0.05861,0.00061,-0.00001
AAPL260204C00210000,AAPL,2026-02-04,210.00,call,0.00,66.80,65.40,10,68.20,10,0,0,2026-02-04,2.63920,0.98035,0.00125,-0.93138,0.00690,0.00560
AAPL260204P00210000,AAPL,2026-02-04,210.00,put,0.00,0.01,0.00,0,0.01,1,0,1347,2026-02-04,1.78069,-0.00136,0.00017,-0.05726,0.00064,-0.00001
AAPL260204C00215000,AAPL,2026-02-04,215.00,call,61.05,61.90,60.25,10,63.55,22,1,1,2026-02-04,2.57091,0.97364,0.00164,-1.15716,0.00884,0.00568
