date,shares_outstanding_diluted,shares_outstanding_basic
2025-12-31,14810356000,14810356000
2025-09-30,15004697000,15004697000
2025-06-30,14948179000,14948179000
2025-06-28,14948179000,14902886000
2025-03-29,15056133000,14994082000
2024-12-28,15150865000,15081724000
2024-09-28,15242855000,15171991000
2024-06-29,15348175000,15287521000
2024-03-30,15464709000,15405856000
2023-12-30,15576641000,15509763000
2023-09-30,15672399000,15599433000
2023-07-01,15775021000,15697614000
2023-04-01,15847050000,15787154000
2022-12-31,15955718000,15892723000
2022-09-24,16118465000,16030380000
2022-06-25,16262203000,16162945000
2022-03-26,16403316000,16278802000
2021-12-25,16519291000,16391724000
2021-09-25,16635095000,16487120000
2021-06-26,16781735000,16629371000
2021-03-27,16929157000,16753476000
2020-12-26,17113688000,16935119000
2020-09-26,56898771000,56320763000
2020-06-27,4354788000,4312573000
2020-03-28,4404691000,4360101000
2019-12-28,4454604000,4415040000
2019-09-28,4520375000,4490811000
2019-06-29,4601380000,4570633000
2019-03-30,4700646000,4674071000
2018-12-29,4773252000,4735820000
2018-09-29,4847547000,4801588000
2018-06-30,4926609000,4882167000
2018-03-31,5068493000,5024877000
2017-12-30,5157787000,5112877000
2017-09-30,5183586000,5149427000
2017-07-01,5233499000,5195088000
2017-04-01,5261688000,5225791000
2016-12-31,5327995000,5298661000
2016-09-24,5393331000,5366912000
2016-06-25,5472781000,5443058000
2016-03-26,5540886000,5514381000
2015-12-26,5594127000,5558930000
2015-09-26,5682516000,5646918000
2015-06-27,5773099000,5729886000
2015-03-28,5834858000,5793799000
2014-12-27,5881803000,5843082000
2014-09-27,5972081000,5933847000
2014-06-28,6051711000,6012635000
2014-03-29,879528000,874757000
2013-12-28,901452000,896072000
2013-09-28,909132000,904160000
2013-06-29,924265000,918618000
2013-03-30,946035000,939629000
2012-12-29,947217000,938916000
2012-09-29,948100000,938256000
2012-06-30,947059000,936596000
2012-03-31,944893000,933582000
2011-12-31,941572000,931041000
2011-09-24,939516000,928281000
2011-06-25,937810000,926108000
2011-03-26,935944000,923196000
2010-12-25,933154000,919294000
2010-09-25,928825000,914558000
2010-06-26,927361000,912197000
2010-03-27,922878000,907548000
2009-12-26,919783000,903542000
2009-09-26,914373000,898029000
2009-06-27,909160000,893712000
2009-03-28,902993000,891180000
2008-12-27,901494000,889142000
2008-09-27,905472000,887109000
2008-06-28,903167000,883738000
