timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-02-04,260.03,278.95,259.205,276.49,276.49,228258523,0.0
2026-01-30,272.255,277.84,243.42,259.48,259.48,1036170325,0.0
2025-12-31,278.01,288.62,266.95,271.86,271.86,922283649,0.0
2025-11-28,270.42,280.38,265.32,278.85,278.85,876481453,0.26
2025-10-31,255.04,277.32,244.0,270.37,270.1093,1097142365,0.0
2025-09-30,229.25,257.6,225.95,254.63,254.3845,1265170319,0.0
2025-08-29,210.865,235.12,201.5,232.14,231.9162,1218125232,0.26
2025-07-31,206.665,216.23,206.1401,207.57,207.1328,1079935847,0.0
2025-06-30,200.28,207.39,195.07,205.17,204.7379,1100504397,0.0
2025-05-30,209.08,214.56,193.25,200.85,200.427,1195889556,0.26
2025-04-30,219.805,225.19,169.2101,212.5,211.7912,1607318483,0.0
2025-03-31,241.79,244.0272,208.42,222.13,221.3891,1114686136,0.0
2025-02-28,229.99,250.0,225.7,241.84,241.0334,862317019,0.25
2025-01-31,248.93,249.1,219.38,236.0,234.9548,1200291603,0.0
2024-12-31,237.27,260.1,237.16,250.42,249.3109,977942014,0.0
2024-11-29,220.965,237.81,219.71,237.33,236.2789,891640714,0.25
2024-10-31,229.52,237.49,221.33,225.91,224.662,930835961,0.0
2024-09-30,228.55,233.09,213.92,233.0,231.7129,1231814423,0.0
2024-08-30,224.37,232.92,196.0,229.0,227.735,1122666993,0.25
2024-07-31,212.09,237.23,211.92,222.08,220.5997,1153193377,0.0
2024-06-28,192.9,220.2,192.15,210.62,209.216,1723984420,0.0
2024-05-31,169.58,193.0,169.11,192.25,190.9685,1336570142,0.25
2024-04-30,171.19,178.36,164.075,170.33,168.9638,1240410671,0.0
2024-03-28,179.55,180.53,168.49,171.48,170.1046,1430780147,0.0
2024-02-29,183.985,191.05,179.25,180.75,179.3003,1161711745,0.24
2024-01-31,187.15,196.38,180.17,184.4,182.6888,1187139861,0.0
2023-12-29,190.33,199.62,187.4511,192.53,190.7434,1062317718,0.0
2023-11-30,171.0,192.93,170.12,189.95,188.1873,1099760711,0.24
2023-10-31,171.22,182.34,165.67,170.77,168.9678,1172845791,0.0
2023-09-29,189.485,189.98,167.62,171.21,169.4031,1337873796,0.0
2023-08-31,196.235,196.73,171.96,187.87,185.8873,1323817340,0.24
2023-07-31,193.78,198.23,186.6,196.45,194.1147,996368613,0.0
2023-06-30,177.7,194.48,176.9306,193.97,191.6642,1297863403,0.0
2023-05-31,169.28,179.35,164.31,177.25,175.1429,1275052503,0.24
2023-04-28,164.27,169.85,159.78,169.68,167.4301,967580718,0.0
2023-03-31,146.83,165.0,143.9,164.9,162.7135,1520461315,0.0
2023-02-28,143.97,157.38,141.32,147.41,145.4554,1307294493,0.23
2023-01-31,130.28,147.23,124.17,144.29,142.1602,1443652725,0.0
