,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,29807211.0,4384418.0,8500000.0,5800000.0
Ordinary Shares Number,15727850125.0,15749448866.0,15741734691.0,15738669656.0
Share Issued,15757657336.0,15753833284.0,15750234691.0,15744469656.0
Total Debt,3452700000.0,3501100000.0,3845000000.0,3131100000.0
Tangible Book Value,41768700000.0,30924000000.0,32139400000.0,31542700000.0
Invested Capital,99129700000.0,79511500000.0,82683200000.0,83134800000.0
Working Capital,4766800000.0,-4442000000.0,-2723700000.0,-239200000.0
Net Tangible Assets,41768700000.0,30924000000.0,32139400000.0,31542700000.0
Capital Lease Obligations,2965100000.0,2958900000.0,3117400000.0,2639300000.0
Common Stock Equity,98642100000.0,78969300000.0,81955600000.0,82643000000.0
Total Capitalization,98966100000.0,79360300000.0,82409900000.0,82910200000.0
Total Equity Gross Minority Interest,99580500000.0,80143800000.0,83327800000.0,84017600000.0
Minority Interest,938400000.0,1174500000.0,1372200000.0,1374600000.0
Stockholders Equity,98642100000.0,78969300000.0,81955600000.0,82643000000.0
Other Equity Interest,-68557300000.0,-77878000000.0,-68421500000.0,-61778300000.0
Gains Losses Not Affecting Retained Earnings,108973400000.0,98669400000.0,92246600000.0,86378800000.0
Capital Stock,58226000000.0,58177900000.0,58130500000.0,58042500000.0
Common Stock,58226000000.0,58177900000.0,58130500000.0,58042500000.0
Total Liabilities Net Minority Interest,62927800000.0,52500500000.0,54630200000.0,54584900000.0
Total Non Current Liabilities Net Minority Interest,13538600000.0,11495400000.0,14089800000.0,15718700000.0
Other Non Current Liabilities,1142800000.0,1083200000.0,1896800000.0,3445200000.0
Derivative Product Liabilities,6700000.0,11700000.0,0.0,3445200000.0
Employee Benefits,2236700000.0,2011800000.0,2161100000.0,3194000000.0
Tradeand Other Payables Non Current,2297500000.0,2307700000.0,2779100000.0,3008200000.0
Non Current Deferred Liabilities,5007700000.0,3318400000.0,3725700000.0,3214000000.0
Non Current Deferred Taxes Liabilities,5007700000.0,3318400000.0,3725700000.0,3214000000.0
Long Term Debt And Capital Lease Obligation,2176300000.0,2203000000.0,2788100000.0,2253500000.0
Long Term Capital Lease Obligation,1852300000.0,1812000000.0,2333800000.0,1986300000.0
Long Term Debt,324000000.0,391000000.0,454300000.0,267200000.0
Long Term Provisions,670900000.0,559600000.0,739000000.0,603800000.0
Current Liabilities,49389200000.0,41005100000.0,40540400000.0,38866200000.0
Other Current Liabilities,3590900000.0,4861500000.0,4242200000.0,2797100000.0
Current Debt And Capital Lease Obligation,1276400000.0,1298100000.0,1056900000.0,877600000.0
Current Capital Lease Obligation,1112800000.0,1146900000.0,783600000.0,653000000.0
Current Debt,163600000.0,151200000.0,273300000.0,224600000.0
Other Current Borrowings,163600000.0,151200000.0,199000000.0,194100000.0
Line Of Credit,,0.0,74300000.0,30500000.0
Current Provisions,440900000.0,418400000.0,180700000.0,172300000.0
Payables And Accrued Expenses,44081000000.0,34427100000.0,35060600000.0,35019200000.0
Current Accrued Expenses,2780400000.0,2128700000.0,2335800000.0,2439400000.0
Payables,41300600000.0,32298400000.0,32724800000.0,32579800000.0
Dividends Payable,8487200000.0,1526200000.0,1464800000.0,1425000000.0
Total Tax Payable,7589900000.0,7577100000.0,6931500000.0,6076900000.0
Income Tax Payable,1941500000.0,1340500000.0,1118600000.0,1491000000.0
Accounts Payable,25223500000.0,23195100000.0,24328500000.0,25077900000.0
Total Assets,162508300000.0,132644300000.0,137958000000.0,138602500000.0
Total Non Current Assets,108352300000.0,96081200000.0,100141300000.0,99975500000.0
Other Non Current Assets,1462600000.0,1520700000.0,1905200000.0,2063300000.0
Defined Pension Benefit,70500000.0,57300000.0,56600000.0,27900000.0
Non Current Deferred Assets,8691700000.0,7969600000.0,6438800000.0,4727700000.0
Non Current Deferred Taxes Assets,8691700000.0,7969600000.0,6438800000.0,4727700000.0
Non Current Accounts Receivable,10504000000.0,11325100000.0,11316300000.0,12332300000.0
Financial Assets,0.0,1700000.0,1500000.0,1600000.0
Investments And Advances,579900000.0,531300000.0,551000000.0,498100000.0
Investmentin Financial Assets,184500000.0,242200000.0,219100000.0,192900000.0
Held To Maturity Securities,184500000.0,242200000.0,219100000.0,192900000.0
Long Term Equity Investment,395400000.0,289100000.0,331900000.0,305200000.0
Investmentsin Joint Venturesat Cost,,289100000.0,331900000.0,305200000.0
Goodwill And Other Intangible Assets,56873400000.0,48045300000.0,49816200000.0,51100300000.0
Other Intangible Assets,12530700000.0,10041700000.0,9222200000.0,8689000000.0
Goodwill,44342700000.0,38003600000.0,40594000000.0,42411300000.0
Net PPE,30170200000.0,26630200000.0,30055700000.0,29224300000.0
Accumulated Depreciation,-54461900000.0,-43247500000.0,-41877300000.0,-39159800000.0
Gross PPE,84632100000.0,69877700000.0,71933000000.0,68384100000.0
Construction In Progress,2521600000.0,2546200000.0,4350000000.0,5404700000.0
Other Properties,4412700000.0,,302100000.0,220500000.0
Machinery Furniture Equipment,57018600000.0,50117800000.0,50390500000.0,46911800000.0
Buildings And Improvements,3474400000.0,2925900000.0,2698300000.0,2307200000.0
Land And Improvements,17204800000.0,14287800000.0,14494200000.0,13539900000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,54156000000.0,36563100000.0,37816700000.0,38627000000.0
Other Current Assets,1557700000.0,1052700000.0,1037900000.0,1082800000.0
Hedging Assets Current,1218600000.0,378000000.0,272300000.0,597400000.0
Prepaid Assets,,537900000.0,358300000.0,645900000.0
Inventory,11689800000.0,9081100000.0,12564700000.0,10354400000.0
Inventories Adjustments Allowances,-141100000.0,-142500000.0,-160200000.0,-157800000.0
Other Inventories,570000000.0,,358300000.0,645900000.0
Finished Goods,4473200000.0,2990300000.0,4094000000.0,3626700000.0
Work In Process,739000000.0,826500000.0,845700000.0,672500000.0
Raw Materials,6618700000.0,5406800000.0,7785200000.0,6213000000.0
Receivables,9852200000.0,9177200000.0,8202600000.0,7404200000.0
Taxes Receivable,3582300000.0,3435700000.0,2853500000.0,2612600000.0
Accounts Receivable,6269900000.0,5741500000.0,5349100000.0,4791600000.0
Allowance For Doubtful Accounts Receivable,-839900000.0,-721000000.0,-679100000.0,-668300000.0
Gross Accounts Receivable,7109800000.0,6462500000.0,6028200000.0,5459900000.0
Cash Cash Equivalents And Short Term Investments,29837700000.0,16336200000.0,15380900000.0,18542300000.0
Other Short Term Investments,1242000000.0,277200000.0,454500000.0,1914600000.0
Cash And Cash Equivalents,28595700000.0,16059000000.0,14926400000.0,16627700000.0
Cash Equivalents,16977600000.0,8973600000.0,8655200000.0,11393600000.0
Cash Financial,11618100000.0,7085400000.0,6271200000.0,5234100000.0
