Date,Dividends
2007-12-11 00:00:00-02:00,0.016302
2008-04-15 00:00:00-03:00,0.066725
2008-07-17 00:00:00-03:00,0.059253
2008-09-30 00:00:00-03:00,0.050124
2009-01-15 00:00:00-02:00,0.02649
2009-04-23 00:00:00-03:00,0.016382
2009-07-06 00:00:00-03:00,0.044071
2009-09-16 00:00:00-03:00,0.052441
2009-12-03 00:00:00-02:00,0.077473
2010-03-19 00:00:00-03:00,0.059234
2010-09-29 00:00:00-03:00,0.031585
2010-09-30 00:00:00-03:00,0.063169
2010-12-01 00:00:00-02:00,0.020377
2011-03-04 00:00:00-03:00,0.111874
2011-07-01 00:00:00-03:00,0.085741
2011-10-03 00:00:00-03:00,0.1443
2012-03-01 00:00:00-03:00,0.150496
2012-06-22 00:00:00-03:00,0.073193
2012-10-01 00:00:00-03:00,0.10269
2012-12-27 00:00:00-02:00,0.180682
2013-02-28 00:00:00-03:00,0.127188
2013-09-16 00:00:00-03:00,0.129988
2014-01-15 00:00:00-02:00,0.253977
2014-04-03 00:00:00-03:00,0.059994
2014-07-29 00:00:00-03:00,0.16
2014-10-28 00:00:00-02:00,0.22
2015-01-02 00:00:00-02:00,0.13
2015-01-08 00:00:00-02:00,0.96
2015-03-02 00:00:00-03:00,0.09
2015-06-02 00:00:00-03:00,0.1
2015-09-09 00:00:00-03:00,0.15
2015-12-22 00:00:00-02:00,0.15
2016-02-01 00:00:00-02:00,0.13
2016-07-12 00:00:00-03:00,0.13
2016-11-01 00:00:00-02:00,0.16
2016-12-22 00:00:00-02:00,0.22
2017-01-24 00:00:00-02:00,0.07
2017-06-26 00:00:00-03:00,0.16
2017-12-19 00:00:00-02:00,0.31
2018-02-01 00:00:00-02:00,0.07
2018-06-18 00:00:00-03:00,0.16
2018-12-19 00:00:00-02:00,0.32
2019-12-20 00:00:00-03:00,0.4906
2020-12-18 00:00:00-03:00,0.4137
2021-01-14 00:00:00-03:00,0.0767
2021-12-20 00:00:00-03:00,0.6036
2022-12-20 00:00:00-03:00,0.7623
2023-12-20 00:00:00-03:00,0.7302
2024-12-20 00:00:00-03:00,0.6676
2025-03-17 00:00:00-03:00,0.1276
2025-05-16 00:00:00-03:00,0.128
2025-12-19 00:00:00-03:00,0.7302
