Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-12 15:00:00-05:00,0.28,,
2025-10-30 06:00:00-04:00,0.2,0.24,18.21
2025-07-31 02:00:00-04:00,0.19,0.18,-3.31
2025-05-08 03:00:00-04:00,0.25,0.24,-4.06
2025-02-26 06:00:00-05:00,0.28,0.31,11.96
2024-10-31 02:00:00-04:00,0.22,0.22,
2024-08-01 06:00:00-04:00,0.16,0.15,-5.52
2024-05-08 02:00:00-04:00,0.22,0.23,4.08
2024-02-29 05:00:00-05:00,0.3,0.28,-7.89
2023-10-31 02:00:00-04:00,0.22,0.25,12.04
2023-08-03 06:00:00-04:00,0.16,0.16,-1.8
2023-05-04 01:00:00-04:00,0.21,0.24,15.54
2023-03-02 06:00:00-05:00,0.24,0.33,37.34
2022-10-27 01:00:00-04:00,0.15,0.2,33.33
2022-07-28 03:00:00-04:00,0.15,0.19,29.36
2022-05-05 02:00:00-04:00,0.18,0.22,24.47
2022-02-24 02:00:00-05:00,0.26,0.24,-7.52
2021-10-28 07:00:00-04:00,0.15,0.23,54.69
2021-07-29 02:00:00-04:00,0.12,0.18,49.29
2021-05-06 06:00:00-04:00,0.15,0.17,11.45
2021-02-25 06:00:00-05:00,0.25,0.43,69.9
2020-10-29 06:00:00-04:00,0.12,0.15,27.9
2020-07-30 01:00:00-04:00,0.08,0.08,5.32
2020-05-07 04:00:00-04:00,0.15,0.07,-53.86
2020-02-27 06:00:00-05:00,0.27,0.28,2.63
