,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-339054800.0,-13865000.0,-770100000.0,-106784400.0
Tax Rate For Calcs,0.238,0.005,0.34,0.046
Normalized EBITDA,30436500000.0,27042500000.0,25349700000.0,23314700000.0
Total Unusual Items,-1424600000.0,-2773000000.0,-2265000000.0,-2321400000.0
Total Unusual Items Excluding Goodwill,-1424600000.0,-2773000000.0,-2265000000.0,-2321400000.0
Net Income From Continuing Operation Net Minority Interest,14437200000.0,14501900000.0,14457900000.0,12671000000.0
Reconciled Depreciation,7126400000.0,6417900000.0,5956300000.0,5396700000.0
Reconciled Cost Of Revenue,43615100000.0,39291600000.0,40422100000.0,35659700000.0
EBITDA,29011900000.0,24269500000.0,23084700000.0,20993300000.0
EBIT,21885500000.0,17851600000.0,17128400000.0,15596600000.0
Net Interest Income,-598800000.0,-778500000.0,-873000000.0,-994100000.0
Interest Expense,2398200000.0,2815700000.0,2892800000.0,1837400000.0
Interest Income,1623900000.0,1121400000.0,964300000.0,1144100000.0
Normalized Income,15522745200.0,17261035000.0,15952800000.0,14885615600.0
Net Income From Continuing And Discontinued Operation,14437200000.0,14501900000.0,14457900000.0,12671000000.0
Total Expenses,67945900000.0,60964200000.0,62306100000.0,55663900000.0
Total Operating Income As Reported,21801700000.0,18831000000.0,17687800000.0,17080300000.0
Diluted Average Shares,15727850125.0,15749448866.0,15741734691.0,15738669656.0
Basic Average Shares,15727850125.0,15749448866.0,15741734691.0,15738669656.0
Diluted EPS,0.91,0.92,0.93,0.82
Basic EPS,0.92,0.92,0.94,0.83
Diluted NI Availto Com Stockholders,14437200000.0,14501900000.0,14457900000.0,12671000000.0
Net Income Common Stockholders,14437200000.0,14501900000.0,14457900000.0,12671000000.0
Net Income,14437200000.0,14501900000.0,14457900000.0,12671000000.0
Minority Interests,-409700000.0,-458500000.0,-433300000.0,-451600000.0
Net Income Including Noncontrolling Interests,14846900000.0,14960400000.0,14891200000.0,13122600000.0
Net Income Continuous Operations,14846900000.0,14960400000.0,14891200000.0,13122600000.0
Tax Provision,4640400000.0,75500000.0,-655600000.0,636600000.0
Pretax Income,19487300000.0,15035900000.0,14235600000.0,13759200000.0
Other Income Expense,-1420700000.0,-2958300000.0,-2294100000.0,-2437100000.0
Special Income Charges,-431200000.0,56100000.0,1549000000.0,595700000.0
Gain On Sale Of Ppe,121300000.0,86400000.0,88800000.0,66100000.0
Other Special Charges,453200000.0,-79100000.0,-1578600000.0,-695000000.0
Write Off,0.0,0.0,16600000.0,0.0
Restructuring And Mergern Acquisition,99300000.0,109400000.0,101800000.0,165400000.0
Earnings From Equity Interest,3900000.0,-185300000.0,-29100000.0,-115700000.0
Gain On Sale Of Security,-993400000.0,-2829100000.0,-3814000000.0,-2917100000.0
Net Non Operating Interest Income Expense,-598800000.0,-778500000.0,-873000000.0,-994100000.0
Total Other Finance Cost,-175500000.0,-915800000.0,-1055500000.0,300800000.0
Interest Expense Non Operating,2398200000.0,2815700000.0,2892800000.0,1837400000.0
Interest Income Non Operating,1623900000.0,1121400000.0,964300000.0,1144100000.0
Operating Income,21506800000.0,18772700000.0,17402700000.0,17190400000.0
Operating Expense,24330800000.0,21672600000.0,21884000000.0,20004200000.0
Other Operating Expenses,-2126400000.0,-1724500000.0,-1411200000.0,-839000000.0
Other Taxes,64800000.0,-39700000.0,-674300000.0,-1002400000.0
Selling General And Administration,26392400000.0,23436800000.0,23969500000.0,21845600000.0
Selling And Marketing Expense,20191300000.0,18163100000.0,18732700000.0,16968200000.0
General And Administrative Expense,6201100000.0,5273700000.0,5236800000.0,4877400000.0
Other Gand A,6201100000.0,5273700000.0,5236800000.0,4877400000.0
Gross Profit,45837600000.0,40445300000.0,39286700000.0,37194600000.0
Cost Of Revenue,43615100000.0,39291600000.0,40422100000.0,35659700000.0
Total Revenue,89452700000.0,79736900000.0,79708800000.0,72854300000.0
Excise Taxes,27417900000.0,25227500000.0,24851400000.0,22052600000.0
Operating Revenue,134130900000.0,120117700000.0,125907200000.0,110162700000.0
