fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-12-31,USD,624894000000,190867000000,78779000000,78779000000,34214000000,55451000000,434027000000,328806000000,None,8602000000,8602000000,23074000000,None,None,22423000000,247000000,None,338924000000,179431000000,94363000000,None,None,151000000,159493000000,78277000000,52623000000,None,None,130900000000,66965000000,28593000000,285970000000,None,172866000000,111000000,10721000000
2023-12-31,USD,527854000000,172351000000,73387000000,73387000000,33318000000,52253000000,355503000000,276690000000,None,7687000000,7687000000,22789000000,None,None,13393000000,6897000000,None,325979000000,164917000000,84981000000,None,None,18945000000,161062000000,77297000000,58314000000,None,None,135611000000,64709000000,25451000000,201875000000,None,113618000000,109000000,10492000000
2022-12-31,USD,462675000000,146791000000,53888000000,53888000000,34405000000,42360000000,315884000000,252838000000,None,6097000000,6097000000,20288000000,None,None,16138000000,6158000000,None,316632000000,155393000000,79600000000,None,None,14854000000,161239000000,72968000000,67150000000,None,None,140118000000,62566000000,21121000000,146043000000,None,83193000000,108000000,10189000000
2021-12-31,USD,420549000000,161580000000,36220000000,36220000000,32640000000,32891000000,258969000000,216363000000,None,5107000000,5107000000,15371000000,None,None,59829000000,7391000000,None,282304000000,142266000000,78664000000,None,None,15923000000,140038000000,67651000000,48744000000,None,None,116395000000,51775000000,23643000000,138245000000,-1837000000,85915000000,106000000,10300000000
2020-12-31,USD,321195000000,132733000000,42122000000,42122000000,23795000000,24542000000,188462000000,150667000000,None,4981000000,4981000000,15017000000,None,None,42274000000,4942000000,None,227791000000,126385000000,72539000000,None,None,16115000000,101406000000,52573000000,31816000000,None,None,84389000000,44138000000,17017000000,93404000000,-1837000000,52551000000,5000000,10200000000
2019-12-31,USD,225248000000,96334000000,36092000000,36092000000,20497000000,20816000000,128914000000,72705000000,None,4049000000,4049000000,14754000000,None,2169000000,18929000000,276000000,None,163188000000,87812000000,47183000000,None,None,1307000000,75376000000,39791000000,23414000000,1307000000,None,63205000000,32439000000,12171000000,62060000000,-1837000000,31220000000,5000000,10080000000
2018-12-31,USD,162648000000,75101000000,31750000000,31750000000,17174000000,16677000000,87547000000,61797000000,None,4110000000,4110000000,14548000000,None,722000000,9500000000,-16677000000,None,119099000000,68391000000,38192000000,None,None,9502000000,50708000000,16292000000,23495000000,1371000000,None,33145000000,23663000000,27213000000,43549000000,-1837000000,19625000000,5000000,10000000000
2017-12-31,USD,131310000000,60197000000,20522000000,20522000000,16047000000,13164000000,71113000000,48866000000,None,3371000000,3371000000,13350000000,None,441000000,10464000000,-13164000000,None,103601000000,57883000000,34616000000,None,None,6182000000,45718000000,13183000000,24743000000,100000000,None,37926000000,18170000000,20975000000,27709000000,-1837000000,8636000000,5000000,9860000000
2016-12-31,USD,83402000000,45781000000,19334000000,19334000000,11461000000,8339000000,37621000000,29114000000,None,854000000,854000000,3784000000,None,223000000,6647000000,-8339000000,None,64117000000,43816000000,25309000000,None,None,5197000000,20301000000,7519000000,7694000000,1056000000,None,15213000000,13739000000,12607000000,19285000000,-1837000000,4916000000,5000000,9680000000
2015-12-31,USD,64747000000,35705000000,15890000000,15890000000,10243000000,5654000000,29042000000,21838000000,None,992000000,992000000,3759000000,None,16000000,3918000000,-5654000000,None,51363000000,33887000000,20397000000,None,None,238000000,17476000000,None,8235000000,238000000,None,14175000000,10372000000,9926000000,13384000000,-1837000000,2545000000,5000000,9540000000
