fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-09-30,USD,727921000000,196866000000,66922000000,66922000000,41494000000,61175000000,531055000000,407891000000,None,None,None,23260000000,None,None,27275000000,302000000,None,358290000000,195196000000,106032000000,None,None,220000000,163094000000,84677000000,50742000000,None,None,135419000000,68051000000,27675000000,369631000000,None,229344000000,112000000,10845000000
2025-06-30,USD,682170000000,191420000000,57741000000,57741000000,40825000000,57415000000,490750000000,379741000000,None,None,None,23155000000,None,None,35439000000,356000000,None,348395000000,186921000000,98285000000,None,None,173000000,161474000000,83221000000,50718000000,None,None,133939000000,66974000000,27535000000,333775000000,None,208157000000,112000000,10806000000
2025-03-31,USD,643256000000,184645000000,66207000000,66207000000,35864000000,54216000000,458611000000,351276000000,None,None,None,23089000000,None,None,28358000000,365000000,None,337389000000,176171000000,89241000000,None,None,76000000,161218000000,79871000000,53374000000,None,None,133245000000,66331000000,27973000000,305867000000,None,189993000000,111000000,10793000000
2024-12-31,USD,624894000000,190867000000,78779000000,78779000000,34214000000,55451000000,434027000000,328806000000,None,8602000000,8602000000,23074000000,None,None,22423000000,247000000,None,338924000000,179431000000,94363000000,None,None,151000000,159493000000,78277000000,52623000000,None,None,130900000000,66965000000,28593000000,285970000000,None,172866000000,111000000,10721000000
2024-09-30,USD,584626000000,175792000000,75091000000,75091000000,36103000000,51638000000,408834000000,314444000000,None,None,None,23081000000,None,None,12960000000,2938000000,None,325475000000,161477000000,84570000000,None,None,5649000000,163998000000,79802000000,54890000000,None,None,134692000000,60602000000,29306000000,259151000000,None,152862000000,110000000,10735000000
2024-06-30,USD,554818000000,173307000000,71178000000,71178000000,34109000000,50106000000,381511000000,None,None,None,None,22879000000,None,None,17914000000,5906000000,None,318371000000,158172000000,81817000000,None,None,17604000000,160199000000,78084000000,54889000000,None,None,132973000000,60351000000,27226000000,236447000000,None,137534000000,110000000,10708000000
2024-03-31,USD,530969000000,163989000000,72852000000,72852000000,31147000000,47768000000,366980000000,None,None,None,None,22770000000,None,None,12222000000,5568000000,None,314308000000,152965000000,73068000000,None,None,19055000000,161343000000,77052000000,57634000000,None,None,134686000000,63970000000,26657000000,216661000000,None,124049000000,109000000,10670000000
2023-12-31,USD,527854000000,172351000000,73387000000,73387000000,33318000000,52253000000,355503000000,None,None,7687000000,7687000000,22789000000,None,None,13393000000,6897000000,None,325979000000,164917000000,84981000000,None,None,18945000000,161062000000,77297000000,58314000000,None,None,135611000000,64709000000,25451000000,201875000000,None,113618000000,109000000,10610000000
2023-09-30,USD,486883000000,142995000000,49605000000,49605000000,35406000000,43420000000,343888000000,267226000000,None,None,None,22749000000,None,None,14564000000,5320000000,None,303910000000,145214000000,72004000000,None,None,16472000000,158696000000,75891000000,61098000000,None,None,136989000000,58812000000,21707000000,182973000000,None,102994000000,108000000,10558000000
2023-06-30,USD,477607000000,140482000000,49529000000,49529000000,36587000000,39925000000,337125000000,264116000000,None,None,None,22785000000,None,None,14441000000,9000000000,None,309005000000,148238000000,69481000000,None,None,15003000000,160767000000,75822000000,63092000000,None,None,138914000000,64235000000,21853000000,168602000000,None,93115000000,108000000,10449000000
2023-03-31,USD,464378000000,136221000000,49343000000,49343000000,34170000000,37646000000,328157000000,259016000000,None,None,None,22749000000,None,None,15062000000,377000000,None,309852000000,147570000000,66907000000,None,None,13428000000,162282000000,74267000000,67084000000,None,None,141351000000,66382000000,20931000000,154526000000,None,86365000000,108000000,10258000000
2022-12-31,USD,462675000000,146791000000,53888000000,53888000000,34405000000,42360000000,315884000000,252838000000,None,6097000000,6097000000,20288000000,None,None,16138000000,358000000,None,316632000000,155393000000,79600000000,None,None,14854000000,161239000000,72968000000,67150000000,None,None,140118000000,62566000000,21121000000,146043000000,None,83193000000,108000000,10242000000
2022-09-30,USD,428362000000,131463000000,34947000000,34947000000,36647000000,36154000000,296899000000,239228000000,None,None,None,20168000000,None,None,23715000000,36154000000,None,290873000000,140363000000,67760000000,None,None,16329000000,150510000000,69332000000,58919000000,None,None,128251000000,59974000000,22259000000,137489000000,None,82915000000,107000000,10198000000
2022-06-30,USD,419728000000,133667000000,37478000000,37478000000,38153000000,34804000000,286061000000,232136000000,None,None,None,20195000000,None,None,23232000000,207000000,None,288326000000,140291000000,71219000000,None,None,17497000000,148035000000,66524000000,58053000000,None,None,124577000000,56254000000,23458000000,131402000000,-7837000000,80043000000,107000000,10183000000
2022-03-31,USD,410767000000,133876000000,36393000000,36393000000,34987000000,32504000000,276891000000,224629000000,None,None,None,20229000000,None,None,29992000000,191000000,None,276766000000,139508000000,68547000000,None,None,16163000000,137258000000,65731000000,47556000000,None,None,113287000000,58141000000,23971000000,134001000000,-4503000000,82071000000,5000000,10180000000
2021-12-31,USD,420549000000,161580000000,36220000000,36220000000,32640000000,32891000000,258969000000,216363000000,None,5107000000,5107000000,15371000000,None,None,59829000000,7391000000,None,282304000000,142266000000,78664000000,None,None,15923000000,140038000000,67651000000,48744000000,None,None,116395000000,51775000000,23643000000,138245000000,-1837000000,85915000000,106000000,10320000000
2021-09-30,USD,382406000000,138531000000,29944000000,29944000000,30933000000,28610000000,243875000000,199303000000,None,None,None,15345000000,None,None,49044000000,6910000000,None,261842000000,123994000000,71474000000,None,None,15625000000,137848000000,63848000000,50055000000,None,None,113903000000,41546000000,23945000000,120564000000,-1837000000,71592000000,5000000,10300000000
