fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-09-30,USD,35525000000,None,None,None,None,16796000000,35095000000,None,-827000000,None,-26073000000,-44000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21187000000
2025-06-30,USD,32515000000,None,None,None,None,15227000000,32183000000,None,-4054000000,None,-39424000000,-2539000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18164000000
2025-03-31,USD,17015000000,None,None,None,None,14262000000,25019000000,None,-1222000000,None,-29803000000,-47000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17127000000
2024-12-31,USD,45636000000,None,None,None,None,15631000000,27834000000,None,934000000,None,-37443000000,-3308000000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,20004000000
2024-09-30,USD,25971000000,None,None,None,None,13442000000,22620000000,None,-1509000000,None,-16899000000,-2758000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15328000000
2024-06-30,USD,25281000000,None,None,None,None,12038000000,17620000000,None,-3085000000,None,-22138000000,-4490000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13485000000
2024-03-31,USD,18989000000,None,None,None,None,11684000000,14925000000,None,1776000000,None,-17862000000,-1256000000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,10431000000
2023-12-31,USD,42465000000,None,None,None,None,13820000000,14588000000,None,2643000000,None,-12601000000,-6746000000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,10624000000
2023-09-30,USD,21217000000,None,None,None,None,12131000000,12479000000,None,808000000,None,-11753000000,-8948000000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,9879000000
2023-06-30,USD,16476000000,None,None,None,None,11589000000,11455000000,-5167000000,-2373000000,None,-9673000000,-6539000000,None,None,None,None,None,None,None,None,None,None,0,None,264000000,None,6750000000
2023-03-31,USD,4788000000,None,None,None,None,11123000000,14207000000,1521000000,371000000,None,-15806000000,6354000000,None,None,None,None,None,None,None,None,None,None,0,None,-4664000000,None,3172000000
2022-12-31,USD,29173000000,None,None,None,None,12685000000,16592000000,-8788000000,3180000000,None,-10821000000,86000000,None,None,None,None,None,None,None,None,None,None,6000000000,None,18438000000,None,278000000
2022-09-30,USD,11404000000,None,None,None,None,10204000000,16378000000,-4794000000,732000000,None,-15608000000,3016000000,None,None,None,None,None,None,None,None,None,None,-6000000000,None,-1188000000,None,2872000000
2022-06-30,USD,8965000000,None,None,None,None,9594000000,15724000000,-6799000000,-3890000000,None,-12078000000,4626000000,None,None,None,None,None,None,None,None,None,None,-3334000000,None,1513000000,None,-2028000000
2022-03-31,USD,-2790000000,None,None,None,None,8978000000,14951000000,-1516000000,-2614000000,None,906000000,1990000000,None,None,None,None,None,None,None,None,None,None,-2666000000,None,106000000,None,-3844000000
2021-12-31,USD,22086000000,None,None,None,None,9802000000,18935000000,-6556000000,-1915000000,None,-12580000000,-3100000000,None,None,None,None,None,None,None,None,None,None,None,None,6300000000,-106000000,14323000000
2021-09-30,USD,7313000000,None,None,None,None,8948000000,15748000000,-4890000000,-7059000000,None,-14828000000,-2776000000,None,None,None,None,None,None,None,None,None,None,None,None,-10490000000,-199000000,3156000000
2021-06-30,USD,12715000000,None,None,None,None,8038000000,14288000000,-4462000000,-209000000,None,-22080000000,15643000000,None,None,None,None,None,None,None,None,None,None,None,None,6512000000,234000000,7778000000
2021-03-31,USD,4213000000,None,None,None,None,7508000000,12082000000,-2255000000,-304000000,None,-8666000000,-3476000000,None,None,None,None,None,None,None,None,None,None,None,None,-8222000000,-293000000,8107000000
2020-12-31,USD,30431000000,None,None,None,None,7618000000,14823000000,-4561000000,329000000,None,-17037000000,-1816000000,None,None,None,None,None,None,None,None,None,None,None,None,12175000000,597000000,7222000000
2020-09-30,USD,11964000000,None,None,None,None,6523000000,11063000000,-2016000000,-3899000000,None,-15876000000,-4105000000,None,None,None,None,None,None,None,None,None,None,None,None,-7640000000,377000000,6331000000
2020-06-30,USD,20606000000,None,None,None,None,5748000000,7459000000,-2854000000,-672000000,None,-17804000000,7408000000,None,None,None,None,None,None,None,None,None,None,None,None,10337000000,128000000,5243000000
2020-03-31,USD,3064000000,None,None,None,None,5362000000,6795000000,1262000000,1392000000,None,-8894000000,-2591000000,None,None,None,None,None,None,None,None,None,None,None,None,-8905000000,-484000000,2535000000
2019-12-31,USD,19659000000,None,None,None,None,6170000000,5312000000,-3905000000,-1516000000,None,-3536000000,-3571000000,None,None,None,None,None,None,None,None,None,None,None,None,12856000000,304000000,3268000000
2019-09-30,USD,7892000000,None,None,None,None,5563000000,4697000000,-1182000000,-381000000,None,-5074000000,-1960000000,None,None,None,None,None,None,None,None,None,None,None,None,589000000,-270000000,2134000000
2019-06-30,USD,9118000000,None,None,None,None,5202000000,3562000000,-2193000000,-2100000000,None,-7549000000,-2158000000,None,None,None,None,None,None,None,None,None,None,None,None,-542000000,48000000,2625000000
2019-03-31,USD,1846000000,None,None,None,None,4854000000,3290000000,-401000000,719000000,None,-8123000000,-2377000000,None,None,None,None,None,None,None,None,None,None,None,None,-8666000000,-12000000,3561000000
2018-12-31,USD,16477000000,None,None,None,None,4262000000,3734000000,-1395000000,-1350000000,None,-3572000000,-1761000000,None,None,None,None,None,None,None,None,None,None,None,None,11141000000,-3000000,3027000000
2018-09-30,USD,8588000000,None,None,None,None,3778000000,3352000000,-2884000000,-1094000000,None,-5572000000,-2369000000,None,None,None,None,0,0,None,None,None,None,0,None,496000000,-151000000,2883000000
2018-06-30,USD,7449000000,None,None,None,None,3630000000,3243000000,-1365000000,-1090000000,None,-2692000000,-1394000000,None,None,None,None,0,0,None,None,None,None,0,None,2920000000,-445000000,2534000000
2018-03-31,USD,-1791000000,None,None,None,None,3671000000,3098000000,1029000000,2220000000,None,-533000000,-2164000000,None,None,None,None,0,0,None,None,None,None,0,None,-4240000000,248000000,1629000000
2017-12-31,USD,12344000000,None,None,None,None,3498000000,4933000000,-2781000000,-2255000000,None,-2032000000,-2647000000,None,None,None,None,0,0,None,None,None,None,0,None,7755000000,90000000,1857000000
2017-09-30,USD,3777000000,None,None,None,None,2912000000,3074000000,-1757000000,-1593000000,None,-18478000000,14662000000,None,None,None,None,0,0,None,None,None,None,0,None,-436000000,149000000,256000000
2017-06-30,USD,3850000000,None,None,None,None,2633000000,3113000000,-1242000000,-682000000,None,-5274000000,-1274000000,None,None,None,None,0,0,None,None,None,None,0,None,-2237000000,248000000,197000000
2017-03-31,USD,-1619000000,None,None,None,None,2435000000,2148000000,994000000,947000000,None,-1350000000,-888000000,None,None,None,None,0,0,None,None,None,None,0,None,-3894000000,226000000,724000000
2016-12-31,USD,10652000000,None,None,None,None,2297000000,2006000000,-1924000000,-1043000000,None,-4174000000,-256000000,None,None,None,None,0,0,None,None,None,None,0,None,5678000000,-544000000,749000000
2016-09-30,USD,4659000000,None,None,None,None,2084000000,1841000000,-671000000,-1095000000,None,-2570000000,-1000000000,None,None,None,None,0,0,None,None,None,None,0,None,1135000000,46000000,252000000
2016-06-30,USD,3578000000,None,None,None,None,1909000000,1711000000,-1184000000,-57000000,None,-2439000000,-1152000000,None,None,None,None,0,0,None,None,None,None,0,None,51000000,64000000,857000000
2016-03-31,USD,-1953000000,None,None,None,None,1827000000,1179000000,412000000,769000000,None,-693000000,-996000000,None,None,None,None,0,0,None,None,None,None,0,None,-3420000000,222000000,513000000
2015-12-31,USD,8812000000,None,None,None,None,1752000000,1309000000,-1178000000,-1343000000,None,-1850000000,-1690000000,None,None,None,None,0,0,None,None,None,None,0,None,5181000000,-91000000,482000000
2015-09-30,USD,2610000000,None,None,None,None,1599000000,1195000000,-588000000,-1537000000,None,-1377000000,-730000000,None,None,None,None,0,0,None,None,None,None,0,None,440000000,-64000000,79000000
2015-06-30,USD,1997000000,None,None,None,None,1504000000,1213000000,-430000000,-27000000,None,-1376000000,-691000000,None,None,None,None,0,0,None,None,None,None,0,None,32000000,103000000,92000000
2015-03-31,USD,-1499000000,None,None,None,None,1426000000,871000000,441000000,721000000,None,-1847000000,-652000000,None,None,None,None,0,0,None,None,None,None,0,None,-4320000000,-322000000,-57000000
2014-12-31,USD,6715000000,None,None,None,None,1379000000,1145000000,-1105000000,-1139000000,None,-2465000000,5209000000,None,None,None,None,0,0,None,None,None,None,0,None,9299000000,-160000000,214000000
2014-09-30,USD,1766000000,None,None,None,None,1247000000,1378000000,-362000000,-845000000,None,-946000000,-412000000,None,None,None,None,0,0,None,None,None,None,0,None,201000000,-207000000,-437000000
2014-06-30,USD,862000000,None,None,None,None,1109000000,1290000000,-299000000,92000000,None,-731000000,-189000000,None,None,None,None,0,0,None,None,None,None,0,None,-17000000,40000000,-126000000
2014-03-31,USD,-2502000000,None,None,None,None,1010000000,1080000000,727000000,699000000,None,-924000000,-175000000,None,None,None,None,0,0,None,None,None,None,0,None,-3584000000,17000000,108000000
2013-12-31,USD,5578000000,None,None,None,None,963000000,879000000,-1239000000,-1330000000,None,-844000000,57000000,None,None,None,None,0,0,None,None,None,None,0,None,4786000000,-5000000,239000000
2013-09-30,USD,1388000000,None,None,None,None,834000000,1038000000,-125000000,-586000000,None,-1063000000,-230000000,None,None,None,None,0,0,None,None,None,None,0,None,168000000,72000000,-41000000
2013-06-30,USD,880000000,None,None,None,None,756000000,855000000,-211000000,-30000000,None,-1420000000,-209000000,None,None,None,None,0,0,None,None,None,None,0,None,-777000000,-29000000,-7000000
2013-03-31,USD,-2372000000,None,None,None,None,700000000,670000000,729000000,535000000,None,-950000000,-157000000,None,None,None,None,0,0,None,None,None,None,0,None,-3603000000,-124000000,82000000
2012-12-31,USD,5081000000,None,None,None,None,662000000,2026000000,-1025000000,-974000000,None,-3082000000,3166000000,None,None,None,None,0,0,None,None,None,None,0,None,5104000000,-61000000,97000000
2012-09-30,USD,943000000,None,None,None,None,554000000,716000000,-416000000,-647000000,None,-369000000,31000000,None,None,None,None,0,0,None,None,None,None,0,None,645000000,40000000,-274000000
2012-06-30,USD,594000000,None,None,None,None,485000000,657000000,-166000000,-124000000,None,-595000000,67000000,None,None,None,None,0,0,None,None,None,None,0,None,47000000,-20000000,7000000
2012-03-31,USD,-2438000000,None,None,None,None,457000000,386000000,746000000,747000000,None,450000000,-1005000000,None,None,None,None,0,0,None,None,None,None,-960000000,None,-2981000000,12000000,130000000
2011-12-31,USD,4269000000,None,None,None,None,359000000,550000000,-1077000000,-1260000000,None,-1469000000,-333000000,None,None,None,None,0,0,None,None,None,None,-277000000,None,2446000000,-21000000,177000000
2011-09-30,USD,797000000,None,None,None,None,278000000,529000000,-75000000,-587000000,None,100000000,-82000000,None,None,None,None,0,0,None,None,None,None,0,None,776000000,-39000000,63000000
2011-06-30,USD,423000000,None,None,None,None,244000000,433000000,-73000000,-274000000,None,-951000000,-91000000,None,None,None,None,0,0,None,None,None,None,0,None,-594000000,25000000,191000000
2011-03-31,USD,-1586000000,None,None,None,None,202000000,298000000,359000000,343000000,None,390000000,24000000,None,None,None,None,0,0,None,None,None,None,0,None,-1136000000,36000000,201000000
2010-12-31,USD,3488000000,None,None,None,None,170000000,328000000,-643000000,-693000000,None,-1215000000,-43000000,None,None,None,None,0,0,None,None,None,None,0,None,2238000000,8000000,416000000
2010-09-30,USD,855000000,None,None,None,None,150000000,315000000,-64000000,-505000000,None,-1128000000,93000000,None,None,None,None,0,0,None,None,None,None,0,None,-90000000,89000000,231000000
2010-06-30,USD,250000000,None,None,None,None,129000000,196000000,-42000000,-141000000,None,-475000000,43000000,None,None,None,None,0,0,None,None,None,None,0,None,-215000000,-33000000,207000000
2010-03-31,USD,-1098000000,None,None,None,None,119000000,140000000,454000000,321000000,None,-542000000,87000000,None,None,None,None,0,0,None,None,None,None,0,None,-1600000000,-47000000,299000000
2009-12-31,USD,2611000000,None,None,None,None,112000000,137000000,None,-339000000,None,-1608000000,-51000000,None,None,None,None,0,0,None,None,None,None,-100000000,None,None,None,384000000
2009-09-30,USD,799000000,None,None,None,None,96000000,103000000,None,-276000000,None,-302000000,64000000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,199000000
2009-06-30,USD,468000000,None,None,None,None,84000000,78000000,None,-23000000,None,-279000000,-3000000,None,None,None,None,0,0,None,None,None,None,-3000000,None,None,None,142000000
2009-03-31,USD,-585000000,None,None,None,None,87000000,55000000,None,107000000,None,-147000000,-291000000,None,None,None,None,None,None,None,None,None,None,3000000,None,None,None,177000000
2008-12-31,USD,1571000000,None,None,None,None,77000000,102000000,None,-102000000,None,-364000000,-65000000,None,None,None,None,None,None,None,None,None,None,-100000000,None,None,None,225000000
2008-09-30,USD,424000000,None,None,None,None,76000000,102000000,None,-243000000,None,-6000000,-240000000,None,None,None,None,None,None,None,None,None,None,2000000,None,None,None,118000000
2008-06-30,USD,347000000,None,None,None,None,70000000,69000000,None,-35000000,None,-301000000,14000000,None,None,None,None,None,None,None,None,None,None,6000000,None,None,None,158000000
2008-03-31,USD,-645000000,None,None,None,None,65000000,61000000,None,148000000,None,-527000000,92000000,None,None,None,None,None,None,None,None,None,None,2000000,None,None,None,143000000
2007-12-31,USD,1148000000,None,None,None,None,63000000,73000000,None,-231000000,None,-139000000,168000000,None,None,None,None,None,None,None,None,None,None,12000000,None,None,None,207000000
2007-09-30,USD,237000000,None,None,None,None,61000000,69000000,None,-223000000,None,34000000,73000000,None,None,None,None,None,None,None,None,None,None,35000000,None,None,None,80000000
2007-06-30,USD,299000000,None,None,None,None,60000000,47000000,None,25000000,None,-88000000,41000000,None,None,None,None,None,None,None,None,None,None,35000000,None,None,None,78000000
2007-03-31,USD,-279000000,None,None,None,None,62000000,34000000,None,126000000,None,235000000,-232000000,None,None,None,None,17000000,17000000,None,None,None,None,-248000000,None,None,None,111000000
2006-12-31,USD,744000000,None,None,None,None,59000000,50000000,None,-127000000,None,-523000000,92000000,None,None,None,None,None,None,None,None,None,None,18000000,None,None,None,97000000
2006-09-30,USD,130000000,None,None,None,None,63000000,62000000,None,-218000000,None,147000000,-268000000,None,None,None,None,294000000,294000000,None,None,None,None,-252000000,None,None,None,19000000
2006-06-30,USD,130000000,None,None,None,None,43000000,58000000,None,30000000,None,-41000000,73000000,None,None,None,None,None,None,None,None,None,None,6000000,None,None,None,22000000
2006-03-31,USD,-303000000,None,None,None,None,40000000,46000000,None,33000000,None,84000000,-296000000,None,None,None,None,None,None,None,None,None,None,7000000,None,None,None,51000000
2005-12-31,USD,630000000,None,None,None,None,36000000,55000000,None,-114000000,None,-231000000,24000000,None,None,None,None,None,None,None,None,None,None,24000000,None,None,None,199000000
2005-09-30,USD,153000000,None,None,None,None,30000000,76000000,None,-76000000,None,-206000000,30000000,None,None,None,None,None,None,None,None,None,None,25000000,None,None,None,30000000
