date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2026-12-31,next fiscal year,7.8686,9.3038,6.2000,57.0000,7.8415,7.8215,7.8042,7.7743,4.0000,,8.0000,4.0000,795582192590.00,819065000000.00,763001000000.00,63.00
2026-03-31,next fiscal quarter,1.7189,1.9200,1.3000,29.0000,1.7190,1.7158,1.7139,1.7138,3.0000,,5.0000,2.0000,175239565010.00,179165000000.00,167442000000.00,34.00
2025-12-31,historical fiscal year,7.0709,7.6300,5.7000,58.0000,7.0726,7.0658,7.0450,6.9910,3.0000,,6.0000,4.0000,714884016920.00,718002000000.00,709538000000.00,62.00
2025-09-30,historical fiscal quarter,1.5576,1.9500,1.1800,44.0000,1.5571,1.5408,1.5430,1.5218,2.0000,,4.0000,1.0000,177760648620.00,179700000000.00,174000000000.00,50.00
2025-06-30,historical fiscal quarter,1.3329,1.5400,1.0000,41.0000,1.3234,1.3077,1.3127,1.3915,4.0000,,10.0000,0.0000,162105860940.00,164352000000.00,159004000000.00,45.00
2025-03-31,historical fiscal quarter,1.3566,1.5200,1.0700,42.0000,1.3560,1.3575,1.3569,1.3901,1.0000,,1.0000,4.0000,155125216130.00,158854000000.00,152075000000.00,47.00
2024-12-31,historical fiscal year,5.1497,5.4900,4.7300,59.0000,5.1483,5.1385,5.1285,5.0543,4.0000,,12.0000,2.0000,637839755210.00,643856000000.00,634834762160.00,61.00
2024-09-30,historical fiscal quarter,1.1400,1.2600,0.9400,40.0000,1.1400,1.1400,1.1400,1.1600,3.0000,,7.0000,2.0000,157200000000.00,159109000000.00,156011000000.00,43.00
2024-06-30,historical fiscal quarter,1.0300,1.1600,0.7800,37.0000,0.9400,1.0200,1.0200,0.9400,2.0000,,5.0000,0.0000,148557000000.00,150189000000.00,146532000000.00,40.00
2024-03-31,historical fiscal quarter,0.8300,0.9800,0.5500,39.0000,0.7800,0.7700,0.8300,0.7100,1.0000,,10.0000,1.0000,142497000000.00,146577000000.00,138000000000.00,44.00
