contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AMZN260204C00180000,AMZN,2026-02-04,180.00,call,59.19,52.85,51.15,19,54.55,21,0,2,2026-02-04,0.01488,1.00000,0.00000,-0.01795,0.00000,0.00493
AMZN260204P00180000,AMZN,2026-02-04,180.00,put,0.01,0.01,0.00,0,0.01,5,3,26,2026-02-04,1.70264,-0.00164,0.00025,-0.05477,0.00064,-0.00001
AMZN260204C00185000,AMZN,2026-02-04,185.00,call,47.85,47.85,46.15,11,49.55,12,1,1,2026-02-04,0.01488,1.00000,0.00000,-0.01845,0.00000,0.00507
AMZN260204P00185000,AMZN,2026-02-04,185.00,put,0.00,0.01,0.00,0,0.01,10,0,1,2026-02-04,1.53679,-0.00181,0.00031,-0.05434,0.00071,-0.00001
AMZN260204C00190000,AMZN,2026-02-04,190.00,call,47.85,42.83,41.25,23,44.40,22,1,1,2026-02-04,0.01488,1.00000,0.00000,-0.01895,0.00000,0.00520
AMZN260204P00190000,AMZN,2026-02-04,190.00,put,0.00,0.01,0.00,0,0.01,100,0,657,2026-02-04,1.37094,-0.00199,0.00038,-0.05271,0.00077,-0.00001
AMZN260204C00195000,AMZN,2026-02-04,195.00,call,39.65,37.88,36.15,28,39.60,28,4,1,2026-02-04,0.01488,1.00000,0.00000,-0.01944,0.00000,0.00534
AMZN260204P00195000,AMZN,2026-02-04,195.00,put,0.00,0.01,0.00,0,0.01,20,0,1138,2026-02-04,1.21485,-0.00231,0.00049,-0.05344,0.00088,-0.00002
AMZN260204C00200000,AMZN,2026-02-04,200.00,call,33.55,32.83,31.15,21,34.50,20,1,0,2026-02-04,0.01488,1.00000,0.00000,-0.01994,0.00000,0.00548
AMZN260204P00200000,AMZN,2026-02-04,200.00,put,0.00,0.01,0.00,0,0.01,5,0,45,2026-02-04,1.04900,-0.00248,0.00060,-0.04918,0.00094,-0.00002
AMZN260204C00205000,AMZN,2026-02-04,205.00,call,27.75,27.98,27.85,14,28.10,14,9,10,2026-02-04,0.01488,1.00000,0.00000,-0.02044,0.00000,0.00562
AMZN260204P00205000,AMZN,2026-02-04,205.00,put,0.01,0.01,0.00,0,0.01,22,10,4293,2026-02-04,0.89291,-0.00286,0.00080,-0.04758,0.00107,-0.00002
AMZN260204C00210000,AMZN,2026-02-04,210.00,call,24.35,22.95,22.80,1,23.10,20,14,2,2026-02-04,0.01488,1.00000,0.00000,-0.02094,0.00000,0.00575
AMZN260204P00210000,AMZN,2026-02-04,210.00,put,0.00,0.01,0.00,0,0.01,11,0,2534,2026-02-04,0.74657,-0.00367,0.00121,-0.04989,0.00134,-0.00002
AMZN260204C00215000,AMZN,2026-02-04,215.00,call,18.20,18.48,17.90,1,19.05,2,21,16,2026-02-04,1.09778,0.92349,0.01074,-0.98165,0.01753,0.00539
AMZN260204P00215000,AMZN,2026-02-04,215.00,put,0.01,0.01,0.00,0,0.01,20,77,3153,2026-02-04,0.59047,-0.00441,0.00180,-0.04648,0.00158,-0.00003
AMZN260204C00220000,AMZN,2026-02-04,220.00,call,12.80,12.97,12.85,27,13.10,28,295,113,2026-02-04,0.01488,1.00000,0.00000,-0.02194,0.00000,0.00603
AMZN260204P00220000,AMZN,2026-02-04,220.00,put,0.01,0.01,0.00,0,0.01,100,761,669,2026-02-04,0.43438,-0.00556,0.00300,-0.04196,0.00194,-0.00004
AMZN260204C00222500,AMZN,2026-02-04,222.50,call,10.11,10.47,10.35,18,10.60,37,1459,1404,2026-02-04,0.01488,1.00000,0.00000,-0.02219,0.00000,0.00610
AMZN260204P00222500,AMZN,2026-02-04,222.50,put,0.01,0.01,0.00,0,0.01,10,895,968,2026-02-04,0.35633,-0.00648,0.00419,-0.03942,0.00222,-0.00004
AMZN260204C00225000,AMZN,2026-02-04,225.00,call,8.00,7.97,7.85,19,8.10,20,1534,1349,2026-02-04,0.01488,1.00000,0.00000,-0.02244,0.00000,0.00616
AMZN260204P00225000,AMZN,2026-02-04,225.00,put,0.01,0.01,0.00,0,0.01,250,2020,2303,2026-02-04,0.27829,-0.00798,0.00645,-0.03693,0.00267,-0.00005
AMZN260204C00227500,AMZN,2026-02-04,227.50,call,5.50,5.47,5.35,25,5.60,14,93,618,2026-02-04,0.01488,1.00000,0.00000,-0.02269,0.00000,0.00623
AMZN260204P00227500,AMZN,2026-02-04,227.50,put,0.02,0.03,0.02,262,0.04,28,9298,2969,2026-02-04,0.23926,-0.02754,0.02172,-0.09181,0.00773,-0.00018
AMZN260204C00230000,AMZN,2026-02-04,230.00,call,2.86,3.15,3.05,12,3.25,37,1382,576,2026-02-04,0.21000,0.88291,0.07677,-0.27194,0.02398,0.00555
AMZN260204P00230000,AMZN,2026-02-04,230.00,put,0.16,0.16,0.14,116,0.18,9,27123,3858,2026-02-04,0.21975,-0.12770,0.07796,-0.27698,0.02548,-0.00082
AMZN260204C00232500,AMZN,2026-02-04,232.50,call,1.16,1.20,1.15,5,1.25,3,16636,616,2026-02-04,0.19048,0.58946,0.16740,-0.46525,0.04742,0.00373
AMZN260204P00232500,AMZN,2026-02-04,232.50,put,0.71,0.68,0.61,11,0.75,16,19618,2099,2026-02-04,0.19048,-0.41054,0.16740,-0.44206,0.04742,-0.00264
AMZN260204C00235000,AMZN,2026-02-04,235.00,call,0.27,0.28,0.27,19,0.29,39,33295,964,2026-02-04,0.20024,0.21046,0.11817,-0.35720,0.03519,0.00134
AMZN260204P00235000,AMZN,2026-02-04,235.00,put,2.22,2.30,2.25,3,2.36,4,16536,3520,2026-02-04,0.21000,-0.77844,0.11609,-0.36236,0.03626,-0.00503
AMZN260204C00237500,AMZN,2026-02-04,237.50,call,0.05,0.06,0.05,33,0.06,12,26416,3685,2026-02-04,0.21975,0.04923,0.03801,-0.13763,0.01242,0.00031
AMZN260204P00237500,AMZN,2026-02-04,237.50,put,4.50,4.58,4.45,56,4.70,19,6347,4649,2026-02-04,0.24902,-0.92741,0.04547,-0.18765,0.01684,-0.00605
AMZN260204C00240000,AMZN,2026-02-04,240.00,call,0.01,0.01,0.00,0,0.01,5,29245,9366,2026-02-04,0.23926,0.00932,0.00859,-0.03677,0.00306,0.00006
AMZN260204P00240000,AMZN,2026-02-04,240.00,put,7.02,7.05,6.90,53,7.20,15,1708,1864,2026-02-04,0.31731,-0.96168,0.02151,-0.13797,0.01015,-0.00633
AMZN260204C00242500,AMZN,2026-02-04,242.50,call,0.03,0.01,0.00,0,0.01,398,12093,4696,2026-02-04,0.31731,0.00832,0.00586,-0.04410,0.00277,0.00005
AMZN260204P00242500,AMZN,2026-02-04,242.50,put,9.52,9.98,9.40,49,10.55,22,714,1538,2026-02-04,0.65876,-0.87288,0.02593,-0.81538,0.02540,-0.00585
AMZN260204C00245000,AMZN,2026-02-04,245.00,call,0.01,0.01,0.00,0,0.01,460,12226,10310,2026-02-04,0.38560,0.00666,0.00396,-0.04398,0.00227,0.00004
AMZN260204P00245000,AMZN,2026-02-04,245.00,put,12.20,12.03,11.90,37,12.15,11,377,1430,2026-02-04,0.47340,-0.97789,0.00913,-0.12822,0.00643,-0.00657
AMZN260204C00247500,AMZN,2026-02-04,247.50,call,0.01,0.01,0.00,0,0.01,211,2911,8768,2026-02-04,0.45389,0.00575,0.00296,-0.04548,0.00200,0.00004
AMZN260204P00247500,AMZN,2026-02-04,247.50,put,14.50,14.55,14.45,5,14.65,17,106,186,2026-02-04,0.58072,-0.97553,0.00811,-0.17915,0.00700,-0.00663
AMZN260204C00250000,AMZN,2026-02-04,250.00,call,0.01,0.01,0.00,0,0.01,920,7319,23423,2026-02-04,0.52218,0.00522,0.00236,-0.04797,0.00183,0.00003
AMZN260204P00250000,AMZN,2026-02-04,250.00,put,17.00,17.75,16.90,37,18.60,8,29,102,2026-02-04,1.10753,-0.88196,0.01464,-1.31309,0.02411,-0.00612
AMZN260204C00252500,AMZN,2026-02-04,252.50,call,0.01,0.01,0.00,0,0.01,1793,211,3573,2026-02-04,0.58072,0.00431,0.00179,-0.04491,0.00154,0.00003
AMZN260204P00252500,AMZN,2026-02-04,252.50,put,19.50,20.02,19.40,37,20.65,2,13,13,2026-02-04,1.10753,-0.91252,0.01177,-1.05049,0.01939,-0.00637
AMZN260204C00255000,AMZN,2026-02-04,255.00,call,0.01,0.01,0.00,0,0.01,300,421,3835,2026-02-04,0.64901,0.00418,0.00156,-0.04885,0.00150,0.00003
AMZN260204P00255000,AMZN,2026-02-04,255.00,put,0.00,21.98,20.30,12,23.65,12,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.02543,0.00000,-0.00699
AMZN260204C00257500,AMZN,2026-02-04,257.50,call,0.01,0.01,0.00,0,0.01,426,29,1968,2026-02-04,0.70754,0.00369,0.00128,-0.04758,0.00134,0.00002
AMZN260204P00257500,AMZN,2026-02-04,257.50,put,0.00,24.52,22.70,10,26.35,10,0,0,2026-02-04,0.82461,-0.98909,0.00286,-0.11915,0.00351,-0.00699
AMZN260204C00260000,AMZN,2026-02-04,260.00,call,0.01,0.01,0.00,0,0.01,478,364,2759,2026-02-04,0.77583,0.00370,0.00117,-0.05235,0.00135,0.00002
AMZN260204P00260000,AMZN,2026-02-04,260.00,put,25.69,26.85,25.60,21,28.10,25,2,0,2026-02-04,0.01488,-1.00000,0.00000,0.02593,0.00000,-0.00712
AMZN260204C00262500,AMZN,2026-02-04,262.50,call,0.01,0.01,0.00,0,0.01,1,5,228,2026-02-04,0.83437,0.00340,0.00101,-0.05217,0.00125,0.00002
AMZN260204P00262500,AMZN,2026-02-04,262.50,put,28.13,29.52,27.70,8,31.35,10,2,0,2026-02-04,0.96120,-0.99044,0.00219,-0.12422,0.00312,-0.00713
AMZN260204C00265000,AMZN,2026-02-04,265.00,call,0.01,0.01,0.00,0,0.01,53,4,2425,2026-02-04,0.89291,0.00318,0.00088,-0.05252,0.00117,0.00002
AMZN260204P00265000,AMZN,2026-02-04,265.00,put,0.00,32.02,30.20,12,33.85,10,0,0,2026-02-04,1.02949,-0.99087,0.00196,-0.12832,0.00300,-0.00720
AMZN260204C00270000,AMZN,2026-02-04,270.00,call,0.01,0.01,0.00,0,0.01,3,0,1123,2026-02-04,1.00022,0.00265,0.00067,-0.05000,0.00100,0.00002
AMZN260204P00270000,AMZN,2026-02-04,270.00,put,0.00,37.10,35.20,7,39.00,13,0,0,2026-02-04,1.34167,-0.98043,0.00290,-0.36235,0.00580,-0.00727
AMZN260204C00275000,AMZN,2026-02-04,275.00,call,0.01,0.01,0.00,0,0.01,75,0,520,2026-02-04,1.11729,0.00253,0.00057,-0.05343,0.00096,0.00002
AMZN260204P00275000,AMZN,2026-02-04,275.00,put,37.70,42.00,40.15,12,43.85,10,5,0,2026-02-04,1.17583,-0.99611,0.00081,-0.05558,0.00141,-0.00751
AMZN260204C00280000,AMZN,2026-02-04,280.00,call,0.01,0.01,0.00,0,0.01,100,0,906,2026-02-04,1.22460,0.00230,0.00048,-0.05380,0.00088,0.00001
AMZN260204P00280000,AMZN,2026-02-04,280.00,put,0.00,46.97,45.15,10,48.80,10,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.02792,0.00000,-0.00767
AMZN260204C00285000,AMZN,2026-02-04,285.00,call,0.02,0.01,0.00,0,0.08,50,0,1,2026-02-04,1.33192,0.00216,0.00042,-0.05525,0.00083,0.00001
AMZN260204P00285000,AMZN,2026-02-04,285.00,put,0.00,51.98,50.10,5,53.85,6,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.02842,0.00000,-0.00781
AMZN260204C00290000,AMZN,2026-02-04,290.00,call,0.01,0.01,0.00,0,0.08,50,0,33,2026-02-04,1.42948,0.00195,0.00035,-0.05397,0.00075,0.00001
AMZN260204P00290000,AMZN,2026-02-04,290.00,put,0.00,57.05,55.25,6,58.85,5,0,0,2026-02-04,1.75142,-0.99038,0.00121,-0.24653,0.00314,-0.00788
AMZN260204C00295000,AMZN,2026-02-04,295.00,call,0.00,0.01,0.00,0,0.08,50,0,0,2026-02-04,1.53679,0.00191,0.00032,-0.05710,0.00074,0.00001
AMZN260204P00295000,AMZN,2026-02-04,295.00,put,0.00,61.98,60.10,6,63.85,5,0,0,2026-02-04,0.01488,-1.00000,0.00000,0.02942,0.00000,-0.00808
AMZN260204C00300000,AMZN,2026-02-04,300.00,call,0.01,0.01,0.00,0,0.08,50,0,27,2026-02-04,1.63435,0.00180,0.00029,-0.05749,0.00070,0.00001
AMZN260204P00300000,AMZN,2026-02-04,300.00,put,0.00,67.00,65.15,6,68.85,6,0,0,2026-02-04,1.74167,-0.99680,0.00046,-0.07322,0.00118,-0.00820
AMZN260206C00125000,AMZN,2026-02-06,125.00,call,118.06,108.00,106.05,158,109.95,1,0,25,2026-02-04,0.01488,1.00000,0.00000,-0.01246,0.00000,0.00685
AMZN260206P00125000,AMZN,2026-02-06,125.00,put,0.01,0.01,0.00,0,0.01,999,1,1595,2026-02-04,2.73676,-0.00075,0.00005,-0.03035,0.00044,-0.00001
AMZN260206C00130000,AMZN,2026-02-06,130.00,call,113.00,103.08,101.20,156,104.95,1,0,16,2026-02-04,3.06846,0.99635,0.00021,-0.15712,0.00188,0.00707
