fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-12-31,USD,311671000000,637959000000,326288000000,326288000000,68593000000,11359000000,88544000000,243078000000,None,2271000000,4677000000,2406000000,None,None,None,52795000000,68513000000,9265000000,None,59248000000,None,71020000000,123815000000,59248000000
2023-12-31,USD,270046000000,574785000000,304739000000,304739000000,36852000000,11816000000,85622000000,232427000000,None,-670000000,2493000000,3182000000,None,None,None,48663000000,37557000000,7120000000,None,20079000000,None,36852000000,85515000000,30425000000
2022-12-31,USD,225152000000,513983000000,288831000000,288831000000,12248000000,11891000000,73213000000,501735000000,None,-1378000000,989000000,2367000000,None,-16806000000,None,41921000000,-5936000000,-3217000000,None,-2722000000,None,12248000000,54169000000,-2722000000
2021-12-31,USD,197478000000,469822000000,272344000000,272344000000,24879000000,8823000000,56052000000,444943000000,None,-1361000000,448000000,1809000000,None,14633000000,None,34433000000,38151000000,4791000000,None,33360000000,None,24879000000,59312000000,33364000000
2020-12-31,USD,152757000000,386064000000,233307000000,233307000000,22899000000,6668000000,42740000000,363165000000,None,-1092000000,555000000,1647000000,None,2371000000,None,25180000000,24178000000,2863000000,None,21315000000,None,22899000000,48079000000,21331000000
2019-12-31,USD,114986000000,280522000000,165536000000,165536000000,14541000000,5203000000,35931000000,265981000000,None,-768000000,832000000,1600000000,None,1021000000,None,22824000000,13976000000,2374000000,None,11602000000,None,14541000000,37365000000,11588000000
2018-12-31,USD,93731000000,232887000000,139156000000,139156000000,12421000000,4336000000,28837000000,220466000000,None,-977000000,440000000,1417000000,None,266000000,None,15341000000,11261000000,1354000000,None,10064000000,None,12421000000,27762000000,10073000000
2017-12-31,USD,65932000000,177866000000,111934000000,111934000000,4106000000,3674000000,22620000000,173760000000,None,-646000000,202000000,848000000,None,544000000,None,11478000000,3806000000,1558000000,None,3037000000,None,4106000000,15584000000,3033000000
2016-12-31,USD,14018000000,135987000000,121969000000,121969000000,4186000000,2432000000,16085000000,131801000000,None,-384000000,100000000,484000000,None,94000000,None,8116000000,3892000000,1425000000,None,2467000000,None,4186000000,12302000000,2371000000
2015-12-31,USD,9405000000,107006000000,97601000000,97601000000,2233000000,1747000000,12540000000,104773000000,None,None,680000000,459000000,None,-228000000,None,6281000000,1568000000,950000000,None,618000000,None,2233000000,8514000000,596000000
2014-12-31,USD,6195000000,88988000000,82793000000,82793000000,178000000,1552000000,9275000000,88810000000,None,None,None,210000000,None,-42000000,None,4746000000,-111000000,167000000,None,-278000000,None,178000000,4924000000,-241000000
2013-12-31,USD,5121000000,74452000000,69331000000,69331000000,745000000,1129000000,6565000000,73707000000,None,None,None,141000000,None,-169000000,None,3253000000,506000000,161000000,None,345000000,None,745000000,3998000000,274000000
2012-12-31,USD,4139000000,61093000000,56954000000,56954000000,676000000,896000000,4564000000,60417000000,None,None,None,92000000,None,-195000000,None,2159000000,544000000,428000000,None,116000000,None,676000000,2835000000,-39000000
2011-12-31,USD,3304000000,48077000000,44773000000,44773000000,862000000,658000000,2909000000,47215000000,None,None,None,65000000,None,125000000,None,1083000000,934000000,291000000,None,643000000,None,862000000,1945000000,631000000
2010-12-31,USD,3011000000,34204000000,31193000000,31193000000,1406000000,470000000,1734000000,32798000000,None,None,None,39000000,None,137000000,None,568000000,1497000000,352000000,None,1145000000,None,1406000000,1974000000,1152000000
2009-12-31,USD,2239000000,24509000000,22270000000,22270000000,1129000000,328000000,1240000000,23380000000,None,None,None,34000000,None,60000000,None,378000000,1161000000,253000000,None,908000000,None,1129000000,1507000000,902000000
2008-12-31,USD,1579000000,19166000000,17587000000,17587000000,842000000,279000000,1033000000,18324000000,None,None,None,71000000,None,None,None,287000000,901000000,247000000,None,None,None,842000000,1129000000,645000000
2007-12-31,USD,1243000000,14835000000,13592000000,13592000000,655000000,235000000,818000000,14180000000,None,None,None,77000000,None,None,None,246000000,660000000,184000000,None,None,None,655000000,901000000,476000000
2006-12-31,USD,857000000,10711000000,9854000000,9854000000,389000000,195000000,662000000,10322000000,None,None,None,78000000,None,None,None,205000000,377000000,187000000,None,None,None,389000000,594000000,190000000
2005-12-31,USD,843000000,8490000000,7647000000,7647000000,432000000,166000000,451000000,8058000000,None,None,None,92000000,None,None,None,121000000,428000000,95000000,None,None,None,432000000,553000000,359000000
