title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
"Oppenheimer Raises Amazon.com, Inc. (AMZN) Target as AWS Momentum and Margin Expansion Accelerate",https://uk.finance.yahoo.com/news/oppenheimer-raises-amazon-com-inc-154154491.html,20260205T154511,['Sajjl Nooranne'],"Oppenheimer has raised its price target for Amazon.com, Inc. (AMZN) to $315 from $305, maintaining an Outperform rating. This increase is driven by strong Amazon Web Services (AWS) momentum, with Oppenheimer forecasting 24% AWS revenue growth for FY26, alongside significant margin expansion in Amazon's e-commerce segment due to automation investments. The firm estimates $7 billion in cumulative cost savings by FY27, reinforcing Amazon's position as a top mega-cap opportunity despite Saks Global ending its e-commerce partnership.",https://s.yimg.com/ny/api/res/1.2/00PO0wFp0v_iQ0XrMbmHGw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTY0MA--/https://media.zenfs.com/en/insidermonkey.com/90e386a06858d8b4751ec77797010aed,Yahoo Finance UK,General,Yahoo Finance UK,"[{'topic': 'earnings', 'relevance_score': '0.933626'}, {'topic': 'financial_markets', 'relevance_score': '0.808225'}, {'topic': 'retail_wholesale', 'relevance_score': '0.731175'}, {'topic': 'technology', 'relevance_score': '0.900433'}]",0.441897,Bullish,"[{'ticker': 'AMZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.410501', 'ticker_sentiment_label': 'Bullish'}]"
Here's Why Broadridge Financial (BR) is Poised for a Turnaround After Losing 13.4% in 4 Weeks,https://finviz.com/news/301579/heres-why-broadridge-financial-br-is-poised-for-a-turnaround-after-losing-134-in-4-weeks,20260205T154216,['Zacks Equity Research'],"Broadridge Financial Solutions (BR) has experienced a 13.4% decline in the past four weeks but is now showing signs of a potential turnaround. Technical indicators, specifically an oversold Relative Strength Index (RSI) of 25.73, suggest the selling pressure might be exhausting. Fundamentally, analysts have been raising earnings estimates for BR, and the company holds a Zacks Rank #2 (Buy), further indicating a possible rebound.",https://staticx-tuner.zacks.com/images/articles/charts/yseop/544/BR_RCI14.jpeg,Finviz,General,Finviz,"[{'topic': 'financial_markets', 'relevance_score': '0.922285'}, {'topic': 'earnings', 'relevance_score': '0.820727'}]",0.067233,Neutral,"[{'ticker': 'BR', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.345030', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ATO', 'relevance_score': '0.540876', 'ticker_sentiment_score': '0.009739', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.555758', 'ticker_sentiment_score': '0.039443', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.542322', 'ticker_sentiment_score': '0.048657', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRM', 'relevance_score': '0.517761', 'ticker_sentiment_score': '0.040499', 'ticker_sentiment_label': 'Neutral'}]"
"Dow drops 215 points on losses for shares of Amazon.com Inc., Microsoft",https://www.msn.com/en-us/money/markets/dow-drops-215-points-on-losses-for-shares-of-amazon-com-inc-microsoft/ar-AA1VKlBK,20260205T153711,[],"The Dow Jones Industrial Average dropped by 215 points due to declines in shares of major tech companies, Amazon.com Inc. and Microsoft. This indicates a challenging day for the stock market, particularly for the technology sector.",,MSN,General,MSN,"[{'topic': 'financial_markets', 'relevance_score': '0.935473'}, {'topic': 'technology', 'relevance_score': '0.718008'}, {'topic': 'retail_wholesale', 'relevance_score': '0.641792'}]",-0.648558,Bearish,"[{'ticker': 'AMZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.649993', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'MSFT', 'relevance_score': '0.932549', 'ticker_sentiment_score': '-0.603233', 'ticker_sentiment_label': 'Bearish'}]"
"Border patrol, Canadian ire dampening traffic at Simon malls",https://www.retaildive.com/news/simon-mall-traffic-border-patrol-ice-angry-canadians-tariffs/811175/,20260205T145121,['Daphne Howland'],"Simon Property Group CEO David Simon stated that while tariffs continue to negatively impact retailers, the company views store closures and bankruptcies as opportunities to replace distressed tenants with more productive ones at higher rents. He also noted that border control activity and Canadian dissatisfaction are dampening traffic at northern U.S. border malls, despite overall positive trends in sales and tenant demand post-pandemic.",https://imgproxy.divecdn.com/z4AjKYnfEuHY352VMSjKHzvLzAwl-DIGLEic1mGnWmc/g:nowe:0:83/c:800:451/rs:fill:1200:675:1/Z3M6Ly9kaXZlc2l0ZS1zdG9yYWdlL2RpdmVpbWFnZS83OTExMzk2MTQyX2FmNDRkNzFjNmJfYy5qcGc=.webp,Retail Dive,General,Retail Dive,"[{'topic': 'retail_wholesale', 'relevance_score': '0.939005'}, {'topic': 'earnings', 'relevance_score': '0.849624'}, {'topic': 'real_estate', 'relevance_score': '0.731022'}, {'topic': 'economy_macro', 'relevance_score': '0.635383'}, {'topic': 'economy_fiscal', 'relevance_score': '0.627640'}]",0.139899,Neutral,"[{'ticker': 'SPG', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.138737', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.602332', 'ticker_sentiment_score': '0.126646', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.644513', 'ticker_sentiment_score': '0.109244', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COST', 'relevance_score': '0.634390', 'ticker_sentiment_score': '0.143555', 'ticker_sentiment_label': 'Neutral'}]"
"From Petah Tikva to orbit: Gilat Satellite Networks surges 160%, becoming an investor favorite",https://www.ynetnews.com/business/article/r1fw8rwv11x,20260205T142838,['Tal Shahaf'],"Gilat Satellite Networks, an Israeli company, has seen its share price jump over 160% in the past year due to strategic acquisitions, defense contracts, and major tender wins in the burgeoning satellite communications industry. While companies like Starlink and Amazon focus on deploying satellites, Gilat specializes in providing the crucial ground equipment that connects them, catering to telecom operators and militaries worldwide. CEO Adi Sfadia details the company's transformation from a struggling firm to an investor favorite, now valued at approximately 3.5 billion shekels, with significant growth potential in defense and new satellite platforms.",https://ynet-pic1.yit.co.il/cdn-cgi/image/format=auto/picserver6/crop_images/2026/02/04/SJidlhxPbe/SJidlhxPbe_0_0_1200_628_0_x-large.jpg,ynetnews,General,ynetnews,"[{'topic': 'earnings', 'relevance_score': '0.910958'}, {'topic': 'mergers_and_acquisitions', 'relevance_score': '0.849526'}, {'topic': 'financial_markets', 'relevance_score': '0.711423'}, {'topic': 'technology', 'relevance_score': '1.000000'}, {'topic': 'finance', 'relevance_score': '0.701599'}]",0.550538,Bullish,"[{'ticker': 'GILT', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.708672', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.744659', 'ticker_sentiment_score': '0.434679', 'ticker_sentiment_label': 'Bullish'}]"
Cummins (NYSE:CMI) Posts Better-Than-Expected Sales In Q4 CY2025,https://finviz.com/news/301181/cummins-nyse-cmi-posts-better-than-expected-sales-in-q4-cy2025,20260205T134650,['Kayode Omotosho'],"Cummins (NYSE:CMI) reported better-than-expected revenue in Q4 CY2025, with sales increasing 1.1% year-on-year to $8.54 billion, surpassing analyst estimates. Despite robust sales and record full-year results in its Distribution and Power Systems segments, GAAP EPS missed expectations at $4.27 per share. The company's stock dipped slightly post-announcement, indicating mixed market reaction to the results.",https://news-assets.stockstory.org/cover-images/_1400x700_crop_center-center_none/cummins-cover-image-0f6bc7443fea_2024-06-26-071200_vzzb.jpeg,Finviz,General,Finviz,"[{'topic': 'earnings', 'relevance_score': '1.000000'}, {'topic': 'financial_markets', 'relevance_score': '0.841396'}, {'topic': 'manufacturing', 'relevance_score': '0.735463'}, {'topic': 'economy_macro', 'relevance_score': '0.613212'}, {'topic': 'energy_transportation', 'relevance_score': '0.619962'}]",0.086947,Neutral,"[{'ticker': 'CMI', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.278882', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.556747', 'ticker_sentiment_score': '-0.115645', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.578370', 'ticker_sentiment_score': '0.076066', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.593398', 'ticker_sentiment_score': '0.059415', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.576724', 'ticker_sentiment_score': '0.090027', 'ticker_sentiment_label': 'Neutral'}]"
Apple Becomes Apple Again,https://247wallst.com/apps-software/2026/02/05/apple-becomes-apple-again/,20260205T134540,['Douglas A. McIntyre'],"Apple's stock has surged by 36% in the last six months, significantly outperforming the S&P 500, despite concerns about its lack of a proprietary AI product. This resurgence comes as other major AI companies like Amazon, Meta, and Microsoft face investor skepticism due to high investments and slow integration of AI into paid products. Apple's decision to integrate Google's Gemini AI into ""Apple Intelligence"" through a reported $1 billion annual deal is seen as a remarkably favorable move for the company.",https://247wallst.com/wp-content/uploads/2024/05/imageForEntry28-5sq.jpg,24/7 Wall St.,General,24/7 Wall St.,"[{'topic': 'financial_markets', 'relevance_score': '0.937030'}, {'topic': 'technology', 'relevance_score': '0.823304'}]",-0.12124,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.448021', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.715470', 'ticker_sentiment_score': '-0.221994', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MSFT', 'relevance_score': '0.631529', 'ticker_sentiment_score': '-0.241608', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'ORCL', 'relevance_score': '0.600497', 'ticker_sentiment_score': '-0.309972', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NVDA', 'relevance_score': '0.641881', 'ticker_sentiment_score': '-0.135746', 'ticker_sentiment_label': 'Neutral'}]"
Amazon Earnings Are Imminent; These Most Accurate Analysts Revise Forecasts Ahead Of Earnings Call,https://www.benzinga.com/analyst-stock-ratings/price-target/26/02/50409944/amazon-earnings-are-imminent-these-most-accurate-analysts-revise-forecasts-ahead-of-earnings-call-3,20260205T132745,['Avi Kapoor'],"Amazon.com (NASDAQ: AMZN) will release its fourth-quarter earnings results after market close on Thursday, February 5th. Analysts are forecasting earnings per share of $1.97 and revenue of $211.32 billion. Several top-rated analysts have recently reiterated Buy/Outperform ratings and adjusted price targets for Amazon ahead of the earnings call.",https://cdn.benzinga.com/files/images/story/2026/02/05/Amazon-Layoff-Expansion.jpeg?quality=85&auto=webp&width=850,Benzinga,General,Benzinga,"[{'topic': 'earnings', 'relevance_score': '0.945006'}, {'topic': 'financial_markets', 'relevance_score': '0.837342'}, {'topic': 'retail_wholesale', 'relevance_score': '0.708287'}, {'topic': 'technology', 'relevance_score': '0.611680'}]",0.32053,Somewhat-Bullish,"[{'ticker': 'AMZN', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.336141', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Oracle's Larry Ellison is down an unmatched $49 billion this year after the plunge in software stocks,https://ca.finance.yahoo.com/news/oracles-larry-ellison-down-unmatched-123416309.html,20260205T130127,['Theron Mohamed'],"Oracle cofounder Larry Ellison has seen his net worth drop by an ""unmatched"" $49 billion this year, largely due to a 5% slump in Oracle stock. This decline follows a broader sell-off in software stocks, fueled by fears that new AI tools like Anthropic's Claude Cowork AI agent could reduce corporate demand for traditional software. Despite Oracle's significant investments in the AI boom, some analysts, like Michael Burry, have expressed concerns about the company's aggressive spending and growing debt pile.",https://s.yimg.com/ny/api/res/1.2/0YPcSF_hAh1REO6vk.s_FA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTMyNjtoPTQ4/https://s.yimg.com/os/creatr-uploaded-images/2026-01/455be6f0-f194-11f0-b877-da875de334fc,Yahoo! Finance Canada,General,Yahoo! Finance Canada,"[{'topic': 'financial_markets', 'relevance_score': '0.924755'}, {'topic': 'technology', 'relevance_score': '0.827182'}, {'topic': 'economy_macro', 'relevance_score': '0.620012'}, {'topic': 'finance', 'relevance_score': '0.628115'}]",-0.260009,Somewhat-Bearish,"[{'ticker': 'ORCL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.384035', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'ADBE', 'relevance_score': '0.722452', 'ticker_sentiment_score': '-0.243735', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CRM', 'relevance_score': '0.711087', 'ticker_sentiment_score': '-0.214479', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'INTU', 'relevance_score': '0.636771', 'ticker_sentiment_score': '-0.242162', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.605907', 'ticker_sentiment_score': '-0.209887', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Amazon and Biogen Earnings: Still to Watch This Week,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-02-05-2026/card/amazon-and-biogen-earnings-still-to-watch-this-week-cEzCWJezlOEw5fQXbTbh?gaa_at=eafs&gaa_n=AWEtsqexNYb8KsUWQnrJ_H5O7bCduCkethWiv1AfurXEJ9rhv_p9i6ToR42A&gaa_ts=69846c54&gaa_sig=A6N59xfeoLoHFpFe3krDUvovop-UMjgfBMK10cb2OpnGtBGtqlPxS3tualZpgg5nK8LYkspidLS-rfBu4jf3Mg%3D%3D,20260205T092858,['Xavier Martinez'],"Amazon and Biogen are set to release their earnings reports this week, adding to the ongoing earnings season. Amazon's report will conclude the earnings releases from several Magnificent Seven tech companies, while Biogen's results will contribute to the pharmaceutical industry's reports. The jobs report expected on Friday has been postponed due to a partial government shutdown.",https://images.wsj.net/im-06929341?width=780&height=520,The Wall Street Journal,General,The Wall Street Journal,"[{'topic': 'earnings', 'relevance_score': '0.914722'}, {'topic': 'retail_wholesale', 'relevance_score': '0.741677'}, {'topic': 'life_sciences', 'relevance_score': '0.728170'}, {'topic': 'financial_markets', 'relevance_score': '0.638533'}, {'topic': 'technology', 'relevance_score': '0.613180'}]",0.116517,Neutral,"[{'ticker': 'BIIB', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.110501', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.900951', 'ticker_sentiment_score': '0.149953', 'ticker_sentiment_label': 'Neutral'}]"
