date,shares_outstanding_diluted,shares_outstanding_basic
2025-09-30,10845000000,10845000000
2025-06-30,10806000000,10806000000
2025-03-31,10793000000,10603000000
2024-12-31,10769000000,10551000000
2024-09-30,10735000000,10501000000
2024-06-30,10708000000,10447000000
2024-03-31,10670000000,10393000000
2023-12-31,10612000000,10358000000
2023-09-30,10558000000,10322000000
2023-06-30,10449000000,10285000000
2023-03-31,10347000000,10250000000
2022-12-31,10222000000,10222000000
2022-09-30,10331000000,10191000000
2022-06-30,10175000000,10175000000
2022-03-31,509000000,509000000
2021-12-31,518000000,509000000
2021-09-30,515000000,507000000
2021-06-30,514000000,505000000
2021-03-31,513000000,504000000
2020-12-31,513000000,502000000
2020-09-30,512000000,501000000
2020-06-30,509000000,500000000
2020-03-31,506000000,498000000
2019-12-31,505000000,496000000
2019-09-30,504000000,495000000
2019-06-30,503000000,493000000
2019-03-31,502000000,491000000
2018-12-31,501000000,490000000
2018-09-30,501000000,488000000
2018-06-30,500000000,486000000
2018-03-31,498000000,484000000
2017-12-31,496000000,483000000
2017-09-30,494000000,481000000
2017-06-30,492000000,479000000
2017-03-31,490000000,477000000
2016-12-31,486000000,476000000
2016-09-30,485000000,474000000
2016-06-30,483000000,473000000
2016-03-31,481000000,471000000
2015-12-31,481000000,470000000
2015-09-30,478000000,468000000
2015-06-30,476000000,467000000
2015-03-31,465000000,465000000
2014-12-31,472000000,464000000
2014-09-30,463000000,463000000
2014-06-30,461000000,461000000
2014-03-31,468000000,460000000
2013-12-31,467000000,458000000
2013-09-30,457000000,457000000
2013-06-30,456000000,456000000
2013-03-31,463000000,455000000
2012-12-31,462000000,455000000
2012-09-30,460000000,452000000
2012-06-30,458000000,451000000
2012-03-31,460000000,453000000
2011-12-31,462000000,455000000
2011-09-30,461000000,454000000
2011-06-30,460000000,453000000
2011-03-31,459000000,451000000
2010-12-31,458000000,450000000
2010-09-30,456000000,448000000
2010-06-30,455000000,447000000
2010-03-31,454000000,445000000
2009-12-31,450000000,440000000
2009-09-30,441000000,432000000
2009-06-30,440000000,431000000
2009-03-31,437000000,429000000
2008-12-31,435000000,429000000
2008-09-30,436000000,427000000
2008-06-30,430000000,420000000
