fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-10-31,USD,171092000000,31573000000,16178000000,16178000000,2270000000,7145000000,139519000000,None,None,32273000000,32273000000,97801000000,None,None,None,5980000000,None,89800000000,18514000000,1560000000,None,None,3152000000,71286000000,0,61984000000,3152000000,None,65136000000,3412000000,1423000000,81292000000,None,9761000000,5000000,4889000000
2025-07-31,USD,165621000000,24998000000,10718000000,10718000000,2180000000,6494000000,140623000000,None,None,34344000000,34344000000,97801000000,None,None,None,5606000000,None,92344000000,16704000000,1432000000,None,None,1399000000,75640000000,10000000,62823000000,1396000000,None,64229000000,3158000000,1410000000,73277000000,None,4040000000,5000000,4860000000
2025-04-30,USD,164630000000,22181000000,9472000000,9472000000,2017000000,8797000000,142449000000,None,None,36393000000,36393000000,97801000000,None,None,None,1895000000,None,95044000000,20597000000,1297000000,None,None,5531000000,74447000000,11000000,61744000000,5527000000,None,67282000000,2820000000,1445000000,69586000000,None,2686000000,5000000,4826000000
2025-01-31,USD,165358000000,20990000000,9307000000,9307000000,1908000000,7677000000,144368000000,None,None,38583000000,38583000000,97871000000,None,None,None,2098000000,None,95569000000,20910000000,1905000000,None,None,5653000000,74659000000,22000000,60915000000,5642000000,None,66579000000,2621000000,1467000000,69789000000,None,2729000000,5000000,4836000000
2024-10-31,USD,165645000000,19595000000,9348000000,9348000000,1760000000,4416000000,146050000000,None,None,40583000000,40583000000,97873000000,None,None,None,4071000000,None,97967000000,16697000000,1662000000,None,None,1271000000,81270000000,39000000,66282000000,1245000000,None,67566000000,3649000000,1503000000,67678000000,None,0,5000000,4828000000
2024-07-31,USD,167966000000,19947000000,9952000000,9952000000,1894000000,4665000000,148019000000,None,None,43034000000,43034000000,97873000000,None,None,None,3436000000,None,102315000000,19221000000,1757000000,None,None,3205000000,83094000000,61000000,66781000000,3117000000,None,69959000000,3379000000,1587000000,65651000000,None,-1875000000,5000000,4663000000
2024-04-30,USD,175211000000,25302000000,9809000000,9809000000,1842000000,5500000000,149909000000,None,None,45407000000,45407000000,97873000000,None,None,None,8151000000,None,105250000000,20171000000,1441000000,None,None,2426000000,85079000000,73000000,71569000000,2374000000,None,74016000000,5785000000,1878000000,69961000000,None,0,None,4800000000
2024-01-31,USD,177870000000,27192000000,11864000000,11864000000,1920000000,4969000000,150678000000,None,None,47185000000,47185000000,97586000000,None,None,None,8439000000,None,107586000000,20369000000,1496000000,None,None,2433000000,87217000000,98000000,73429000000,2374000000,None,75901000000,6847000000,1911000000,70284000000,None,0,None,4670000000
2023-10-31,USD,72861000000,20847000000,14189000000,14189000000,1898000000,3154000000,52014000000,None,None,3867000000,3867000000,43653000000,None,None,None,1606000000,None,48873000000,7405000000,1210000000,None,None,1608000000,41468000000,49000000,37621000000,1608000000,None,39229000000,3652000000,3847000000,23988000000,None,2682000000,None,4270000000
2023-07-31,USD,71595000000,18333000000,12055000000,12055000000,1842000000,2914000000,53262000000,2180000000,None,4654000000,4654000000,43619000000,None,None,None,1522000000,None,49516000000,7345000000,992000000,None,None,1119000000,42171000000,50000000,38222000000,1119000000,None,39341000000,4403000000,3949000000,22079000000,None,1178000000,None,4270000000
