fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-10-31,USD,27537000000,None,None,None,None,8775000000,623000000,None,-510000000,None,-580000000,-20127000000,None,None,None,None,11142000000,11142000000,None,None,None,None,-6310000000,None,None,None,23126000000
2024-10-31,USD,19962000000,None,None,None,None,10010000000,548000000,None,150000000,None,-23070000000,-1733000000,None,None,None,None,9814000000,9814000000,None,None,None,None,-12392000000,None,None,None,5895000000
2023-10-31,USD,18085000000,None,None,None,None,3835000000,452000000,None,27000000,None,-689000000,-15623000000,None,None,None,None,7645000000,7645000000,None,None,None,None,-7685000000,None,None,None,14082000000
2022-10-31,USD,16736000000,None,None,None,None,4984000000,424000000,-870000000,-627000000,None,-667000000,-15816000000,None,None,None,None,7032000000,7032000000,None,None,None,None,-8455000000,None,253000000,None,11495000000
2021-10-31,USD,13764000000,None,None,None,None,6041000000,443000000,210000000,-294000000,None,-245000000,-8974000000,None,None,None,None,6212000000,6212000000,None,None,None,None,-1299000000,None,4545000000,None,6736000000
2020-10-31,USD,12061000000,None,None,None,None,6905000000,463000000,None,-31000000,None,-11109000000,1611000000,None,None,None,None,5534000000,5534000000,None,None,None,None,-765000000,None,None,None,2960000000
2019-10-31,USD,9697000000,None,None,None,None,5808000000,432000000,486000000,250000000,None,-15422000000,6488000000,None,None,None,None,4235000000,4235000000,None,None,None,None,-6407000000,None,763000000,None,2724000000
2018-10-31,USD,8880000000,None,None,None,None,4081000000,635000000,None,417000000,None,-4674000000,-11118000000,None,None,None,None,2998000000,2998000000,None,None,None,None,-7258000000,None,None,None,12610000000
2017-10-31,USD,6551000000,None,None,None,None,4737000000,1069000000,None,-39000000,None,-674000000,2230000000,None,None,None,None,1653000000,1653000000,None,None,None,None,17426000000,None,None,None,1894000000
2016-10-31,USD,3411000000,None,None,None,None,3042000000,723000000,None,996000000,None,-9840000000,7704000000,None,None,None,None,750000000,750000000,None,None,None,None,19510000000,None,None,None,-1861000000
2015-10-31,USD,2318000000,None,None,None,None,962000000,593000000,None,62000000,None,-241000000,-1859000000,None,None,None,None,408000000,408000000,None,None,None,None,241000000,None,None,None,1364000000
2014-10-31,USD,1175000000,None,None,None,None,625000000,409000000,None,193000000,None,-5885000000,5329000000,None,None,None,None,284000000,284000000,None,None,None,None,-12000000,None,None,None,245000000
2013-10-31,USD,722000000,None,None,None,None,187000000,236000000,None,-55000000,None,-652000000,-169000000,None,None,None,None,198000000,198000000,None,None,None,None,-95000000,None,None,None,552000000
2012-10-31,USD,693000000,None,None,None,None,155000000,241000000,None,None,None,-244000000,-194000000,None,None,None,None,137000000,137000000,None,None,None,None,-110000000,None,None,None,563000000
2011-10-31,USD,726000000,None,None,None,None,157000000,112000000,None,-5000000,None,-122000000,-336000000,None,None,None,None,86000000,86000000,None,None,None,None,-93000000,None,None,None,552000000
2010-10-31,USD,510000000,None,None,None,None,159000000,79000000,None,-26000000,None,-86000000,-335000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,415000000
2009-10-31,USD,139000000,None,None,None,None,160000000,58000000,None,27000000,None,-63000000,183000000,None,None,None,None,None,None,None,None,None,None,-6000000,None,None,None,-44000000
2008-10-31,USD,208000000,None,None,None,None,159000000,71000000,None,-45000000,None,-94000000,-210000000,None,None,None,None,None,None,None,None,None,None,-7000000,None,None,None,83000000
2007-10-31,USD,146000000,None,None,None,None,176000000,37000000,None,28000000,None,5000000,-114000000,None,None,None,None,None,None,None,None,None,None,-2000000,None,None,None,-159000000
2006-10-31,USD,370000000,None,None,None,None,210000000,59000000,None,28000000,None,-2100000000,2002000000,None,None,None,None,1000000,1000000,None,None,None,None,-249000000,None,None,None,-253000000
