fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-10-31,USD,7703000000,None,None,None,None,2233000000,237000000,None,-90000000,None,-367000000,-1876000000,None,None,None,None,2797000000,2797000000,None,None,None,None,0,None,None,None,8518000000
2025-07-31,USD,7166000000,None,None,None,None,2202000000,142000000,None,-163000000,None,94000000,-6014000000,None,None,None,None,2786000000,2786000000,None,None,None,None,-58000000,None,None,None,4140000000
2025-04-30,USD,6555000000,None,None,None,None,2166000000,144000000,None,-109000000,None,-133000000,-6257000000,None,None,None,None,2785000000,2785000000,None,None,None,None,-4216000000,None,None,None,4965000000
2025-01-31,USD,6113000000,None,None,None,None,2174000000,100000000,None,-148000000,None,-174000000,-5980000000,None,None,None,None,2774000000,2774000000,None,None,None,None,-2036000000,None,None,None,5503000000
2024-10-31,USD,5604000000,None,None,None,None,2611000000,122000000,None,134000000,None,-132000000,-6076000000,None,None,None,None,2484000000,2484000000,None,None,None,None,-1204000000,None,None,None,4324000000
2024-07-31,USD,4963000000,None,None,None,None,2524000000,172000000,None,-52000000,None,3245000000,-8065000000,None,None,None,None,2452000000,2452000000,None,None,None,None,-1350000000,None,None,None,-1875000000
2024-04-30,USD,4580000000,None,None,None,None,2530000000,132000000,None,82000000,None,-706000000,-5929000000,None,None,None,None,2443000000,2443000000,None,None,None,None,-1548000000,None,None,None,2121000000
2024-01-31,USD,4815000000,None,None,None,None,2345000000,122000000,None,-14000000,None,-25477000000,18337000000,None,None,None,None,2435000000,2435000000,None,None,None,None,-8290000000,None,None,None,1274000000
2023-10-31,USD,4828000000,None,None,None,None,932000000,105000000,None,-56000000,None,-124000000,-2570000000,None,None,None,None,1904000000,1904000000,None,None,None,None,-577000000,None,None,None,3524000000
2023-07-31,USD,4719000000,None,None,None,None,932000000,122000000,135000000,44000000,None,-144000000,-4073000000,None,None,None,None,1901000000,1901000000,None,None,None,None,-2167000000,None,502000000,None,3303000000
2023-04-30,USD,4502000000,None,None,None,None,939000000,122000000,185000000,13000000,None,-318000000,-5278000000,None,None,None,None,1914000000,1914000000,None,None,None,None,-3420000000,None,-1094000000,None,3481000000
2023-01-31,USD,4036000000,None,None,None,None,1032000000,103000000,-276000000,26000000,None,-103000000,-3702000000,None,None,None,None,1926000000,1926000000,None,None,None,None,-1521000000,None,231000000,None,3774000000
2022-10-31,USD,4583000000,None,None,None,None,1216000000,122000000,-241000000,-87000000,None,-128000000,-2016000000,None,None,None,None,1782000000,1782000000,None,None,None,None,-274000000,None,2439000000,None,3359000000
2022-07-31,USD,4424000000,None,None,None,None,1217000000,116000000,375000000,-170000000,None,80000000,-3532000000,None,None,None,None,1736000000,1736000000,None,None,None,None,-1792000000,None,972000000,None,3074000000
2022-04-30,USD,4243000000,None,None,None,None,1264000000,85000000,-536000000,-147000000,None,-310000000,-5147000000,None,None,None,None,1750000000,1750000000,None,None,None,None,-3290000000,None,-1214000000,None,2590000000
2022-01-31,USD,3486000000,None,None,None,None,1287000000,101000000,-468000000,-223000000,None,-309000000,-5121000000,None,None,None,None,1764000000,1764000000,None,None,None,None,-3099000000,None,-1944000000,None,2472000000
2021-10-31,USD,3541000000,None,None,None,None,1501000000,88000000,160000000,-137000000,None,50000000,-2533000000,None,None,None,None,1561000000,1561000000,None,None,None,None,-266000000,None,1058000000,None,1989000000
2021-07-31,USD,3541000000,None,None,None,None,1503000000,115000000,191000000,-156000000,None,-47000000,-1907000000,None,None,None,None,1556000000,1556000000,None,None,None,None,-347000000,None,1587000000,None,1876000000
2021-04-30,USD,3569000000,None,None,None,None,1504000000,126000000,106000000,-52000000,None,-126000000,-3477000000,None,None,None,None,1552000000,1552000000,None,None,None,None,-461000000,None,-34000000,None,1493000000
2021-01-31,USD,3113000000,None,None,None,None,1533000000,114000000,-247000000,51000000,None,-122000000,-1057000000,None,None,None,None,1543000000,1543000000,None,None,None,None,-225000000,None,1934000000,None,1378000000
2020-10-31,USD,3348000000,None,None,None,None,1728000000,102000000,None,67000000,None,-100000000,-4487000000,None,None,None,None,1395000000,1395000000,None,None,None,None,-185000000,None,None,None,1324000000
2020-07-31,USD,3178000000,None,None,None,None,1719000000,105000000,542000000,-128000000,None,-46000000,-3482000000,None,None,None,None,1386000000,1386000000,None,None,None,None,-192000000,None,-350000000,None,688000000
2020-04-30,USD,3213000000,None,None,None,None,1730000000,148000000,440000000,-10000000,None,24000000,-474000000,None,None,None,None,1381000000,1381000000,None,None,None,None,-219000000,None,2763000000,None,563000000
2020-01-31,USD,2322000000,None,None,None,None,1728000000,108000000,-392000000,40000000,None,-10987000000,10054000000,None,None,None,None,1372000000,1372000000,None,None,None,None,-169000000,None,1389000000,None,385000000
2019-10-31,USD,2479000000,None,None,None,None,1452000000,96000000,285000000,217000000,None,-88000000,-2798000000,None,None,None,None,1054000000,1054000000,None,None,None,None,-587000000,None,-407000000,None,847000000
2019-07-31,USD,2419000000,None,None,None,None,1450000000,112000000,-60000000,-57000000,None,-35000000,-2250000000,None,None,None,None,1057000000,1057000000,None,None,None,None,-977000000,None,134000000,None,715000000
2019-04-30,USD,2667000000,None,None,None,None,1447000000,125000000,193000000,40000000,None,-106000000,-2326000000,None,None,None,None,1057000000,1057000000,None,None,None,None,-1330000000,None,235000000,None,691000000
2019-01-31,USD,2132000000,None,None,None,None,1459000000,99000000,68000000,50000000,None,-15193000000,13862000000,None,None,None,None,1067000000,1067000000,None,None,None,None,-3513000000,None,801000000,None,471000000
2018-10-31,USD,2635000000,None,None,None,None,968000000,106000000,None,92000000,None,-118000000,-2361000000,None,None,None,None,723000000,723000000,None,None,None,None,-1533000000,None,None,None,1115000000
2018-07-31,USD,2247000000,None,None,None,None,965000000,120000000,None,19000000,None,-174000000,-6124000000,None,None,None,None,754000000,754000000,None,None,None,None,-5411000000,None,None,None,1196000000
2018-04-30,USD,2313000000,None,None,None,None,964000000,189000000,None,56000000,None,-155000000,-1047000000,None,None,None,None,766000000,766000000,None,None,None,None,-347000000,None,None,None,3733000000
