date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2027-10-31,next fiscal year,14.2204,16.8200,9.7100,43.0000,14.0874,14.0011,12.3747,12.1456,4.0000,,9.0000,2.0000,133254358600.00,158879100000.00,87892000000.00,45.00
2026-10-31,historical fiscal year,10.2864,11.8100,9.0700,45.0000,10.2555,10.1094,9.3047,9.2642,5.0000,,10.0000,1.0000,96811644590.00,106480000000.00,83270000000.00,46.00
2026-04-30,next fiscal quarter,2.1456,2.3143,1.9000,35.0000,2.1431,2.1292,2.0292,2.0223,3.0000,,5.0000,2.0000,20262146770.00,21434000000.00,18047000000.00,34.00
2026-01-31,historical fiscal quarter,2.0188,2.1100,1.9000,37.0000,2.0178,2.0074,1.9682,1.9655,2.0000,,2.0000,2.0000,19097571680.00,19895000000.00,17400000000.00,37.00
2025-10-31,historical fiscal year,6.7475,6.9600,6.5300,43.0000,6.7469,6.7518,6.7417,6.7361,3.0000,,3.0000,1.0000,63425639230.00,66951000000.00,63108000000.00,43.00
2025-07-31,historical fiscal quarter,1.6634,1.7300,1.6100,34.0000,1.6620,1.6614,1.6587,1.6662,1.0000,,1.0000,1.0000,15822704300.00,15902217280.00,15742000000.00,34.00
2025-04-30,historical fiscal quarter,1.5708,1.7000,1.5100,32.0000,1.5692,1.5690,1.5668,1.5006,1.0000,,1.0000,1.0000,14974777570.00,15951000000.00,14837000000.00,31.00
2025-01-31,historical fiscal quarter,1.5078,1.5500,1.4800,28.0000,1.5078,1.5101,1.5078,1.4664,0.0000,,0.0000,1.0000,14590725060.00,14826000000.00,13918000000.00,28.00
2024-10-31,historical fiscal year,4.8524,5.2100,4.7200,40.0000,4.8553,4.8553,4.8475,4.8507,1.0000,,1.0000,2.0000,51696392330.00,54864700000.00,51139585130.00,40.00
2024-07-31,historical fiscal quarter,1.2000,1.3300,0.9000,29.0000,1.0800,1.2000,11.0700,11.8500,1.0000,,1.0000,0.0000,12959600000.00,13787000000.00,12518000000.00,28.00
2024-04-30,historical fiscal quarter,10.8400,12.1500,7.8000,28.0000,10.8000,10.7600,10.7600,10.7200,0.0000,,2.0000,1.0000,12027700000.00,12425000000.00,11130000000.00,28.00
2024-01-31,historical fiscal quarter,10.2900,11.5000,9.0200,22.0000,10.2900,10.2600,10.2400,11.2200,1.0000,,2.0000,0.0000,11715800000.00,12602100000.00,11000000000.00,22.00
2023-10-31,historical fiscal year,41.9400,43.9200,37.8200,31.0000,38.2700,42.0400,39.8600,42.0600,0.0000,,1.0000,0.0000,36257700000.00,49614000000.00,35759600000.00,30.00
2023-07-31,historical fiscal quarter,10.4200,11.0400,9.8300,24.0000,10.4200,10.4200,10.4200,10.1400,0.0000,,0.0000,0.0000,8862740000.00,9001920000.00,8849770000.00,23.00
2023-04-30,historical fiscal quarter,10.0800,10.3500,9.1100,23.0000,10.0800,10.0900,10.1300,9.7600,0.0000,,0.0000,1.0000,8707650000.00,8735710000.00,8695000000.00,21.00
2023-01-31,historical fiscal quarter,10.1000,10.3500,8.7700,21.0000,10.1100,10.1200,10.1800,10.1700,0.0000,,0.0000,1.0000,8900070000.00,8959230000.00,8811000000.00,19.00
2022-10-31,historical fiscal year,37.4400,38.0200,36.4900,24.0000,37.4400,37.4400,37.4200,37.4200,0.0000,,0.0000,0.0000,33179000000.00,33296900000.00,33082000000.00,25.00
2022-07-31,historical fiscal quarter,9.5600,9.9600,9.0900,22.0000,9.5600,9.5600,9.5400,9.5400,0.0000,,0.0000,0.0000,8373300000.00,8953000000.00,7203000000.00,21.00
2022-04-30,historical fiscal quarter,8.7000,8.8700,8.5500,23.0000,8.7000,8.7000,8.7000,7.9200,0.0000,,0.0000,0.0000,7898440000.00,7975000000.00,7624000000.00,23.00
2022-01-31,historical fiscal quarter,8.0800,8.3700,7.1800,25.0000,8.0800,8.0800,8.0800,7.5700,1.0000,,1.0000,0.0000,7595230000.00,7646680000.00,7350000000.00,23.00
2021-10-31,historical fiscal year,27.9400,28.5400,27.8000,30.0000,27.9400,27.9400,27.9300,27.8600,1.0000,0.0000,1.0000,0.0000,27413400000.00,27899000000.00,27300000000.00,31.00
2021-07-31,historical fiscal quarter,6.8800,7.3300,6.6600,25.0000,6.8800,6.8800,6.8500,6.8400,0.0000,0.0000,0.0000,,6757120000.00,6789200000.00,6747000000.00,24.00
2021-04-30,historical fiscal quarter,6.4200,6.5600,6.2000,26.0000,6.4200,6.4200,6.4100,6.2300,0.0000,0.0000,0.0000,,6505040000.00,6533000000.00,6500000000.00,25.00
2021-01-31,historical fiscal quarter,6.5500,6.9000,6.4200,27.0000,6.5500,6.5500,6.5500,6.3500,0.0000,0.0000,1.0000,,6614760000.00,6674900000.00,6565000000.00,26.00
2020-10-31,historical fiscal year,22.0100,22.3500,21.3500,30.0000,22.0100,22.0100,22.0100,22.0100,2.0000,0.0000,2.0000,,23854300000.00,24004000000.00,23802000000.00,29.00
2020-07-31,historical fiscal quarter,5.2400,5.9000,5.0200,27.0000,5.2300,5.2300,5.2300,5.3200,1.0000,0.0000,1.0000,,5762230000.00,5995000000.00,5737810000.00,25.00
2020-04-30,historical fiscal quarter,5.1400,5.6400,5.0100,26.0000,5.1400,5.1400,5.1200,5.4000,1.0000,0.0000,1.0000,,5694200000.00,5776000000.00,5556470000.00,25.00
2020-01-31,historical fiscal quarter,5.3300,6.1600,4.7100,25.0000,5.3400,5.3500,5.3300,5.4200,2.0000,1.0000,2.0000,,5999320000.00,6345000000.00,5605000000.00,25.00
2019-10-31,historical fiscal year,21.2700,21.8400,20.9800,30.0000,21.2700,21.2700,21.2700,21.3800,0.0000,0.0000,0.0000,,22546700000.00,22762000000.00,22486000000.00,31.00
2019-07-31,historical fiscal quarter,5.1300,5.6100,4.7900,25.0000,5.1400,5.1400,5.1200,5.7300,0.0000,1.0000,0.0000,,5539210000.00,6160000000.00,5388100000.00,25.00
2019-04-30,historical fiscal quarter,5.1800,5.4600,4.7300,29.0000,5.1800,5.1800,5.1800,5.1800,0.0000,0.0000,0.0000,,5690660000.00,5909800000.00,5447060000.00,27.00
2019-01-31,historical fiscal quarter,5.2300,5.8000,4.8300,29.0000,5.2300,5.2500,5.2600,5.2800,0.0000,1.0000,0.0000,,5820420000.00,6129000000.00,5400000000.00,27.00
2018-10-31,historical fiscal year,20.5100,20.6400,19.5500,36.0000,20.5100,20.5300,20.5500,20.0000,0.0000,1.0000,2.0000,,20881200000.00,23114000000.00,20741900000.00,32.00
