contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AVGO260204C00180000,AVGO,2026-02-04,180.00,call,0.00,128.38,126.70,3,130.05,7,0,0,2026-02-04,4.73671,0.98903,0.00038,-1.12058,0.00466,0.00483
AVGO260204P00180000,AVGO,2026-02-04,180.00,put,0.00,0.01,0.00,0,0.71,1,0,0,2026-02-04,3.29285,-0.00068,0.00004,-0.06243,0.00038,-0.00001
AVGO260204C00190000,AVGO,2026-02-04,190.00,call,0.00,118.17,116.30,5,120.05,6,0,0,2026-02-04,3.73186,0.99495,0.00024,-0.45804,0.00235,0.00516
AVGO260204P00190000,AVGO,2026-02-04,190.00,put,0.01,0.01,0.00,0,0.05,1,1,13,2026-02-04,2.98066,-0.00075,0.00005,-0.06182,0.00041,-0.00001
AVGO260204C00200000,AVGO,2026-02-04,200.00,call,0.00,108.15,106.30,6,110.00,6,0,0,2026-02-04,3.27333,0.99544,0.00025,-0.37148,0.00215,0.00544
AVGO260204P00200000,AVGO,2026-02-04,200.00,put,0.01,0.01,0.00,0,0.01,8,7,24,2026-02-04,2.67823,-0.00081,0.00006,-0.05992,0.00045,-0.00001
AVGO260204C00210000,AVGO,2026-02-04,210.00,call,0.00,98.17,96.30,6,100.05,8,0,0,2026-02-04,3.00993,0.99399,0.00035,-0.43410,0.00275,0.00570
AVGO260204P00210000,AVGO,2026-02-04,210.00,put,0.01,0.01,0.00,0,0.01,5,11,11,2026-02-04,2.39531,-0.00091,0.00008,-0.05934,0.00050,-0.00001
AVGO260204C00220000,AVGO,2026-02-04,220.00,call,109.50,88.30,86.60,4,90.00,6,0,1,2026-02-04,2.99042,0.98711,0.00069,-0.82255,0.00536,0.00591
AVGO260204P00220000,AVGO,2026-02-04,220.00,put,0.01,0.01,0.00,0,0.01,5,8,7,2026-02-04,2.12214,-0.00101,0.00010,-0.05814,0.00055,-0.00001
AVGO260204C00230000,AVGO,2026-02-04,230.00,call,0.00,78.33,76.95,6,79.70,6,0,0,2026-02-04,2.68798,0.98413,0.00092,-0.88363,0.00641,0.00616
AVGO260204P00230000,AVGO,2026-02-04,230.00,put,0.01,0.01,0.00,0,0.05,1,1,1,2026-02-04,1.85874,-0.00113,0.00013,-0.05656,0.00061,-0.00001
AVGO260204C00240000,AVGO,2026-02-04,240.00,call,0.00,68.33,66.95,10,69.70,10,0,0,2026-02-04,2.34653,0.98190,0.00118,-0.86489,0.00717,0.00641
