fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-10-31,USD,43294000000,63887000000,20593000000,20593000000,25484000000,4211000000,10977000000,17810000000,None,-2863000000,347000000,3210000000,None,None,None,8775000000,22729000000,-397000000,None,23126000000,None,25939000000,34714000000,23126000000
2024-10-31,USD,32509000000,51574000000,19065000000,19065000000,13463000000,4959000000,9310000000,19046000000,None,-3492000000,461000000,3953000000,None,None,None,10010000000,9916000000,3748000000,None,6168000000,None,13869000000,23879000000,5895000000
2023-10-31,USD,24690000000,35819000000,11129000000,11129000000,16207000000,1592000000,5253000000,8483000000,None,-1622000000,535000000,1622000000,None,None,None,3835000000,15097000000,1015000000,None,14082000000,None,16719000000,20554000000,14082000000
2022-10-31,USD,22095000000,33203000000,11108000000,11108000000,14225000000,1382000000,4919000000,7813000000,None,-1737000000,100000000,1737000000,None,-54000000,None,4984000000,12434000000,939000000,None,11495000000,None,14171000000,19155000000,11495000000
2021-10-31,USD,16844000000,27450000000,10606000000,10606000000,8519000000,1347000000,4854000000,8325000000,None,-1885000000,16000000,1885000000,None,131000000,None,6041000000,6765000000,29000000,None,6736000000,None,8650000000,14691000000,6736000000
2020-10-31,USD,13516000000,23888000000,10372000000,10372000000,4014000000,1935000000,4968000000,9502000000,None,-1777000000,53000000,1777000000,None,None,None,6905000000,2443000000,-518000000,None,2961000000,None,4220000000,11125000000,2960000000
2019-10-31,USD,12483000000,22597000000,10114000000,10114000000,3444000000,1709000000,4696000000,9039000000,None,-1346000000,98000000,1444000000,None,226000000,None,5781000000,2226000000,-510000000,None,2736000000,None,3670000000,9451000000,2724000000
2018-10-31,USD,10733000000,20848000000,10115000000,10115000000,5135000000,1056000000,3768000000,5598000000,None,-514000000,114000000,628000000,None,None,None,4060000000,4545000000,-8084000000,None,12629000000,None,5173000000,9233000000,12259000000
2017-10-31,USD,8509000000,17636000000,9127000000,9127000000,2371000000,787000000,3292000000,6138000000,None,-410000000,44000000,454000000,None,None,None,4726000000,1825000000,35000000,None,1790000000,None,2279000000,7005000000,1692000000
2016-10-31,USD,5940000000,13240000000,7300000000,7300000000,-409000000,806000000,2674000000,6349000000,None,-575000000,10000000,585000000,None,None,None,3038000000,-1107000000,642000000,None,-1749000000,None,-522000000,2516000000,-1739000000
2015-10-31,USD,3553000000,6824000000,3271000000,3271000000,1632000000,486000000,1049000000,1921000000,None,None,183000000,191000000,None,None,None,962000000,1467000000,76000000,None,1391000000,None,1658000000,2620000000,1364000000
2014-10-31,USD,1877000000,4269000000,2392000000,2392000000,438000000,407000000,695000000,1439000000,None,None,None,110000000,None,None,None,625000000,342000000,33000000,None,309000000,None,452000000,1077000000,263000000
2013-10-31,USD,1198000000,2520000000,1322000000,1322000000,552000000,222000000,398000000,646000000,None,None,None,2000000,None,None,None,187000000,568000000,16000000,None,None,None,570000000,757000000,552000000
2012-10-31,USD,1142000000,2364000000,1222000000,1222000000,582000000,199000000,335000000,555000000,None,None,None,1000000,None,None,None,155000000,585000000,22000000,None,None,None,587000000,742000000,563000000
2011-10-31,USD,1147000000,2336000000,1189000000,1189000000,584000000,220000000,317000000,559000000,None,None,None,4000000,None,None,None,157000000,561000000,9000000,None,None,None,565000000,722000000,552000000
2010-10-31,USD,966000000,2093000000,1127000000,1127000000,470000000,196000000,280000000,497000000,None,None,None,34000000,None,None,None,159000000,406000000,-9000000,None,None,None,440000000,599000000,415000000
2009-10-31,USD,560000000,1484000000,924000000,924000000,48000000,169000000,245000000,512000000,None,None,None,77000000,None,None,None,160000000,-36000000,8000000,None,None,None,41000000,201000000,-44000000
2008-10-31,USD,655000000,1699000000,1044000000,1044000000,160000000,196000000,265000000,495000000,None,None,None,86000000,None,None,None,159000000,60000000,3000000,None,None,None,146000000,305000000,83000000
2007-10-31,USD,362000000,1527000000,1165000000,1165000000,-105000000,193000000,205000000,467000000,None,None,None,109000000,None,None,None,176000000,-212000000,8000000,None,None,None,-103000000,73000000,-159000000
2006-10-31,USD,389000000,1513000000,1124000000,1124000000,-90000000,None,209000000,479000000,None,None,None,143000000,None,None,None,210000000,-248000000,5000000,None,None,None,-105000000,105000000,-251000000
