date,shares_outstanding_diluted,shares_outstanding_basic
2025-11-02,4889000000,4733000000
2025-08-03,4860000000,4714000000
2025-05-04,4826000000,4707000000
2025-02-02,4836000000,4695000000
2024-11-03,4826000000,4678000000
2024-08-04,4663000000,4663000000
2024-05-05,480000000,465000000
2024-02-04,467000000,452000000
2023-10-29,427000000,415000000
2023-07-30,427000000,413000000
2023-04-30,427000000,415000000
2023-01-29,429000000,418000000
2022-10-30,387000000,412000000
2022-07-31,430000000,405000000
2022-05-01,424000000,408000000
2022-01-30,429000000,412000000
2021-10-31,429000000,413000000
2021-08-01,429000000,411000000
2021-05-02,429000000,409000000
2021-01-31,428000000,407000000
2020-11-01,424000000,405000000
2020-08-02,422000000,403000000
2020-05-03,417000000,401000000
2020-02-02,420000000,398000000
2019-11-03,416000000,395000000
2019-08-04,418000000,398000000
2019-05-05,422000000,397000000
2019-02-03,419000000,401000000
2018-11-04,425000000,412000000
2018-08-05,441000000,430000000
2018-05-06,448000000,421000000
2018-02-04,426000000,410000000
2017-10-29,358000000,411000000
2017-07-30,445000000,407000000
2017-04-30,442000000,403000000
