timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-02-04,319.51,319.51,295.3,308.05,308.05,43330322,0.0,1.0
2026-02-03,336.74,338.9,308.65,320.33,320.33,36489438,0.0,1.0
2026-02-02,326.11,336.055,325.75,331.11,331.11,17278166,0.0,1.0
2026-01-30,332.44,338.2,328.33,331.3,331.3,28313039,0.0,1.0
2026-01-29,332.56,335.95,320.28,330.73,330.73,20447467,0.0,1.0
2026-01-28,338.85,339.99,326.7,333.24,333.24,23001670,0.0,1.0
2026-01-27,329.76,334.76,327.02,332.79,332.79,23634625,0.0,1.0
2026-01-26,319.8,328.68,317.6,324.85,324.85,25006396,0.0,1.0
2026-01-23,319.3,321.99,314.11,320.05,320.05,30259482,0.0,1.0
2026-01-22,335.35,336.99,324.89,325.49,325.49,24275398,0.0,1.0
2026-01-21,335.505,335.8,324.2001,328.8,328.8,32006555,0.0,1.0
2026-01-20,344.1,345.4,331.8,332.6,332.6,31888371,0.0,1.0
2026-01-16,346.265,354.51,344.05,351.71,351.71,31291206,0.0,1.0
2026-01-15,349.12,349.68,341.67,343.02,343.02,22218787,0.0,1.0
2026-01-14,348.97,350.69,334.42,339.89,339.89,30094734,0.0,1.0
2026-01-13,352.88,359.49,350.91,354.61,354.61,18307969,0.0,1.0
2026-01-12,340.95,353.9,340.95,352.21,352.21,20949634,0.0,1.0
2026-01-09,337.92,347.39,333.5,344.97,344.97,22482508,0.0,1.0
2026-01-08,342.78,343.68,330.5,332.48,332.48,24385175,0.0,1.0
2026-01-07,341.7,349.7,335.88,343.5,343.5,20249259,0.0,1.0
2026-01-06,343.6,349.05,338.0,343.77,343.77,27135526,0.0,1.0
2026-01-05,354.74,355.03,336.5,343.42,343.42,31136049,0.0,1.0
2026-01-02,352.775,360.66,345.56,347.62,347.62,25398633,0.0,1.0
2025-12-31,349.73,349.88,345.42,346.1,346.1,15346052,0.0,1.0
2025-12-30,349.97,352.68,349.3,349.85,349.85,16633607,0.0,1.0
2025-12-29,348.72,350.33,344.69,349.39,349.39,21946856,0.0,1.0
2025-12-26,351.06,353.25,347.75,352.13,352.13,15028133,0.0,1.0
2025-12-24,350.685,352.86,347.14,350.22,350.22,11424403,0.0,1.0
2025-12-23,340.81,350.11,338.54,349.32,349.32,28232577,0.0,1.0
2025-12-22,346.03,346.24,337.22,341.45,341.45,28739578,0.65,1.0
2025-12-19,333.335,343.45,332.5775,340.36,339.713306050862,159095200,0.0,1.0
2025-12-18,336.0,336.025,323.63,329.88,329.253218357206,54501918,0.0,1.0
2025-12-17,346.61,346.61,321.42,326.02,325.400552470038,73300901,0.0,1.0
2025-12-16,336.02,347.4999,335.06,341.3,340.651520023385,58061051,0.0,1.0
2025-12-15,361.89,362.0,337.51,339.81,339.16435106694,65894902,0.0,1.0
2025-12-12,379.96,382.0,355.15,359.93,359.246122478807,95588458,0.0,1.0
2025-12-11,404.825,409.3,394.19,406.37,405.59788512131,45681617,0.0,1.0
2025-12-10,402.2,414.61,399.56,412.97,412.185344928384,31530976,0.0,1.0
2025-12-09,398.745,406.93,395.51,406.29,405.518037123648,23236022,0.0,1.0
2025-12-08,402.48,407.285,397.4,401.1,400.337898275358,30108366,0.0,1.0
2025-12-05,386.165,393.53,385.1452,390.24,389.498532592809,24779924,0.0,1.0
2025-12-04,380.68,383.89,376.53,381.03,380.306031862029,15845862,0.0,1.0
2025-12-03,380.0,382.3,370.65,380.61,379.886829874306,21336367,0.0,1.0
2025-12-02,388.31,393.5,379.79,381.57,380.845005846244,22206951,0.0,1.0
2025-12-01,394.85,395.42,385.1,386.08,385.346436714411,23251969,0.0,1.0
