,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,42180027000.0,-9318258000.0,40355463000.0,-106402787000.0
Repurchase Of Capital Stock,-568728000.0,0.0,-224377000.0,-666702000.0
Repayment Of Debt,-63444563000.0,-92261242000.0,-70935669000.0,-96023060000.0
Issuance Of Debt,63735057000.0,106389734000.0,111488599000.0,114351791000.0
Capital Expenditure,-8048458000.0,-9140630000.0,-9412240000.0,-4410115000.0
End Cash Position,208023801000.0,186790580000.0,126185421000.0,71386319000.0
Beginning Cash Position,186790580000.0,126185421000.0,71386319000.0,190820989000.0
Effect Of Exchange Rate Changes,-305225000.0,239325000.0,892293000.0,3475438000.0
Changes In Cash,21538446000.0,60365834000.0,53906809000.0,-122910108000.0
Financing Cash Flow,-23676490000.0,-23062770000.0,21917788000.0,-1608760000.0
Cash Flow From Continuing Financing Activities,-23676490000.0,-23062770000.0,21917788000.0,-1608760000.0
Net Other Financing Charges,-439572000.0,-44182000.0,-209470000.0,-253768000.0
Interest Paid Cff,-22958684000.0,-37147080000.0,-18201295000.0,-19017021000.0
Cash Dividends Paid,0.0,0.0,0.0,0.0
Net Common Stock Issuance,-568728000.0,0.0,-224377000.0,-666702000.0
Common Stock Payments,-568728000.0,0.0,-224377000.0,-666702000.0
Net Issuance Payments Of Debt,290494000.0,14128492000.0,40552930000.0,18328731000.0
Net Long Term Debt Issuance,290494000.0,14128492000.0,40552930000.0,18328731000.0
Long Term Debt Payments,-63444563000.0,-92261242000.0,-70935669000.0,-96023060000.0
Long Term Debt Issuance,63735057000.0,106389734000.0,111488599000.0,114351791000.0
Investing Cash Flow,-5013549000.0,83606232000.0,-17778682000.0,-19308676000.0
Cash Flow From Continuing Investing Activities,-5013549000.0,83606232000.0,-17778682000.0,-19308676000.0
Net Other Investing Changes,614125000.0,640484000.0,442888000.0,608200000.0
Interest Received Cfi,26763769000.0,45540986000.0,50719425000.0,17799378000.0
Dividends Received Cfi,479427000.0,978932000.0,720069000.0,763698000.0
Net Investment Purchase And Sale,-25201842000.0,44321167000.0,-60221272000.0,-34415267000.0
Sale Of Investment,133171731000.0,153621240000.0,174307911000.0,174673382000.0
Purchase Of Investment,-158373573000.0,-109300073000.0,-234529183000.0,-209088649000.0
Net Business Purchase And Sale,-211140000.0,-84767000.0,-623966000.0,-183172000.0
Purchase Of Business,-211140000.0,-84767000.0,-623966000.0,-183172000.0
Net Intangibles Purchase And Sale,-5752383000.0,-7187567000.0,-6971601000.0,-3253248000.0
Purchase Of Intangibles,-5752383000.0,-7187567000.0,-6971601000.0,-3253248000.0
Net PPE Purchase And Sale,-1705505000.0,-603003000.0,-1844225000.0,-628265000.0
Sale Of PPE,590570000.0,1350060000.0,596414000.0,528602000.0
Purchase Of PPE,-2296075000.0,-1953063000.0,-2440639000.0,-1156867000.0
Operating Cash Flow,50228485000.0,-177628000.0,49767703000.0,-101992672000.0
Cash Flow From Continuing Operating Activities,50228485000.0,-177628000.0,49767703000.0,-101992672000.0
Taxes Refund Paid,-7130346000.0,-7383749000.0,-9292937000.0,-6707736000.0
Interest Received Cfo,102544122000.0,102617786000.0,101166625000.0,72045757000.0
Interest Paid Cfo,-80755464000.0,-88961324000.0,-72121352000.0,-29926361000.0
Change In Working Capital,-56086550000.0,-99715518000.0,-60067791000.0,-219291796000.0
Change In Other Working Capital,141565286000.0,69228100000.0,113866900000.0,-28335545000.0
Change In Other Current Liabilities,56371933000.0,25391847000.0,36223928000.0,19820868000.0
Change In Other Current Assets,-65848252000.0,-47499078000.0,-55230652000.0,-19501121000.0
Other Non Cash Items,42945456000.0,48795682000.0,41606495000.0,36489431000.0
Asset Impairment Charge,889156000.0,1940035000.0,-2579233000.0,255975000.0
Depreciation Amortization Depletion,6734480000.0,6520116000.0,5663220000.0,5772900000.0
Depreciation And Amortization,6734480000.0,6520116000.0,5663220000.0,5772900000.0
Amortization Cash Flow,4110451000.0,3894031000.0,3132310000.0,3060180000.0
Amortization Of Intangibles,4110451000.0,3894031000.0,3132310000.0,3060180000.0
Depreciation,2624029000.0,2626085000.0,2530910000.0,2712720000.0
Operating Gains Losses,-2449660000.0,-4375996000.0,-5575002000.0,-2841443000.0
Earnings Losses From Equity Investments,-1531585000.0,-2101681000.0,-1355926000.0,-421504000.0
Gain Loss On Investment Securities,-1031353000.0,-1841022000.0,-2663816000.0,1081393000.0
Net Foreign Currency Exchange Gain Loss,305225000.0,-239325000.0,-892293000.0,-3475438000.0
Gain Loss On Sale Of PPE,-206129000.0,-139024000.0,-12649000.0,228971000.0
Gain Loss On Sale Of Business,9572000.0,14350000.0,-422188000.0,-15366000.0
Net Income From Continuing Operations,16900515000.0,10208351000.0,24621610000.0,32852367000.0
