Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2025-10-29 17:00:00-04:00,0.59,0.59,-0.03
2025-07-30 18:00:00-04:00,0.57,0.63,11.53
2025-05-07 18:00:00-04:00,0.51,0.55,7.73
2025-02-07 06:00:00-05:00,0.5,0.5,0.29
2024-10-31 06:00:00-04:00,0.48,0.49,1.45
2024-08-05 07:00:00-04:00,0.41,0.41,0.65
2024-05-02 07:00:00-04:00,0.37,0.4,6.49
2024-02-07 05:00:00-05:00,0.43,0.38,-11.38
2023-11-08 19:00:00-05:00,0.45,0.33,-25.91
2023-08-02 20:00:00-04:00,0.41,0.42,1.34
2023-05-03 20:00:00-04:00,0.35,0.4,15.25
2023-02-09 16:00:00-05:00,0.42,0.17,-59.64
2022-11-08 17:00:00-05:00,0.64,0.49,-23.33
2022-08-03 20:00:00-04:00,0.64,0.64,0.66
2022-05-05 18:00:00-04:00,0.64,0.64,-0.75
2022-02-07 19:00:00-05:00,0.66,0.62,-6.88
2021-11-04 17:00:00-04:00,0.61,0.64,3.97
2021-08-03 18:00:00-04:00,0.62,0.59,-4.31
2021-05-04 18:00:00-04:00,0.58,0.64,10.17
2021-02-02 19:00:00-05:00,0.52,0.64,22.53
2020-10-29 07:00:00-04:00,0.43,0.47,8.32
2020-07-30 05:00:00-04:00,0.39,0.36,-6.98
2020-04-30 06:00:00-04:00,0.56,0.31,-44.54
2020-02-05 01:00:00-05:00,0.62,0.62,0.16
2019-11-01 14:00:00-04:00,0.61,0.54,-10.38
