,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1959087820.0,-2093530280.0,-296486763.0,-1113605454.879705
Tax Rate For Calcs,0.34,0.34,0.129,0.288307
Total Unusual Items,-5762023000.0,-6157442000.0,-2298347000.0,-3862570000.0
Total Unusual Items Excluding Goodwill,-5762023000.0,-6157442000.0,-2298347000.0,-3862570000.0
Net Income From Continuing Operation Net Minority Interest,17252900000.0,14251329000.0,21223264000.0,23172322000.0
Reconciled Depreciation,6734480000.0,6520116000.0,5663220000.0,5772900000.0
Net Interest Income,67454564000.0,55082419000.0,69811272000.0,83102023000.0
Interest Expense,144279153000.0,156376055000.0,130801913000.0,55121323000.0
Interest Income,211733717000.0,211458474000.0,200613185000.0,138223346000.0
Normalized Income,21055835180.0,18315240720.0,23225124237.0,25921286545.120296
Net Income From Continuing And Discontinued Operation,17252900000.0,14251329000.0,21223264000.0,23172322000.0
Rent Expense Supplemental,138169000.0,50968000.0,116775000.0,151838000.0
Diluted Average Shares,10614140000.0,10642171000.0,10676156229.0,10677193645.0
Basic Average Shares,10614140000.0,10642171000.0,10676156229.0,10677193645.0
Diluted EPS,1.55,1.27,1.87,2.072727
Basic EPS,1.55,1.27,1.87,2.072727
Diluted NI Availto Com Stockholders,8215667000.0,6786352000.0,10106323000.0,23172322000.0
Net Income Common Stockholders,8215667000.0,6786352000.0,10106323000.0,23172322000.0
Preferred Stock Dividends,9037233000.0,7464977000.0,11116941000.0,
Net Income,17252900000.0,14251329000.0,21223264000.0,23172322000.0
Minority Interests,-289253000.0,-251436000.0,-233506000.0,-208482000.0
Net Income Including Noncontrolling Interests,17542153000.0,14502765000.0,21456770000.0,23380804000.0
Net Income Continuous Operations,17542153000.0,14502765000.0,21456770000.0,23380804000.0
Tax Provision,-641639000.0,-4294414000.0,3164840000.0,9471563000.0
Pretax Income,16900514000.0,10208351000.0,24621610000.0,32852367000.0
Other Non Operating Income Expenses,-1215611000.0,121428000.0,-4122991000.0,-4834098000.0
Special Income Charges,-5762023000.0,-6157442000.0,-2298347000.0,-3862570000.0
Other Special Charges,5762023000.0,6157442000.0,2298347000.0,3862570000.0
Gain On Sale Of Security,-2107639000.0,10796783000.0,6062404000.0,-12354183000.0
Depreciation Amortization Depletion Income Statement,6371096000.0,6025244000.0,5306442000.0,5772900000.0
Depreciation And Amortization In Income Statement,6371096000.0,6025244000.0,5306442000.0,5772900000.0
Amortization,3806020000.0,3463989000.0,2829915000.0,3060180000.0
Amortization Of Intangibles Income Statement,3806020000.0,3463989000.0,2829915000.0,3060180000.0
Depreciation Income Statement,2565076000.0,2561255000.0,2476527000.0,2712720000.0
Selling General And Administration,43100778000.0,40645411000.0,39941825000.0,39085479000.0
Selling And Marketing Expense,5419384000.0,4638993000.0,5182781000.0,4418736000.0
General And Administrative Expense,37681394000.0,36006418000.0,34759044000.0,34666743000.0
Other Gand A,14453354000.0,14357138000.0,14038496000.0,13830359000.0
Insurance And Claims,812561000.0,783854000.0,714721000.0,670854000.0
Rent And Landing Fees,138169000.0,50968000.0,116775000.0,151838000.0
Salaries And Wages,22277310000.0,20814458000.0,19889052000.0,20013692000.0
Total Revenue,105330174000.0,98334177000.0,108847040000.0,102428576000.0
Operating Revenue,105330174000.0,98334177000.0,108847040000.0,102428576000.0
Professional Expense And Contract Services Expense,5953971000.0,6351410000.0,2961314000.0,3888464000.0
Other Non Interest Expense,6874960000.0,7343849000.0,7565683000.0,7084432000.0
