,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-746887180.0,-1478371680.0,-83216966.049681,-497998000.0,-185287587.116073,
Tax Rate For Calcs,0.34,0.34,0.063873,0.34,0.113164,
Total Unusual Items,-2196727000.0,-4348152000.0,-1302853000.0,-1464700000.0,-1637340000.0,
Total Unusual Items Excluding Goodwill,-2196727000.0,-4348152000.0,-1302853000.0,-1464700000.0,-1637340000.0,
Net Income From Continuing Operation Net Minority Interest,5500665000.0,6066721000.0,5604829000.0,4146188000.0,4869616000.0,
Reconciled Depreciation,1755648000.0,1827158000.0,1670985000.0,1756363000.0,1689927000.0,
Net Interest Income,16013346000.0,16508667000.0,22345460000.0,18692073000.0,13625941000.0,
Interest Expense,52694311000.0,46219670000.0,40083757000.0,36550307000.0,37292629000.0,
Interest Income,68707657000.0,62728337000.0,62429217000.0,55242380000.0,50918570000.0,
Normalized Income,6950504820.0,8936501320.0,6824465033.950319,5112890000.0,6321668412.883927,
Net Income From Continuing And Discontinued Operation,5500665000.0,6066721000.0,5604829000.0,4146188000.0,4869616000.0,
Rent Expense Supplemental,24106000.0,26104000.0,24931000.0,76787000.0,22686000.0,
Diluted Average Shares,,11030401818.0,10584506000.0,,11067309091.0,11124737838.0
Basic Average Shares,,11030401818.0,10584506000.0,,11067309091.0,11124737838.0
Diluted EPS,,0.55,0.5,,0.44,0.37
Basic EPS,,0.55,0.5,,0.44,0.37
Diluted NI Availto Com Stockholders,5500665000.0,6066721000.0,5604829000.0,-4891045000.0,4869616000.0,
Net Income Common Stockholders,5500665000.0,6066721000.0,5604829000.0,-4891045000.0,4869616000.0,
Net Income,5500665000.0,6066721000.0,5604829000.0,4146188000.0,4869616000.0,
Minority Interests,-67351000.0,-72544000.0,-70833000.0,-62707000.0,-75467000.0,
Net Income Including Noncontrolling Interests,5568016000.0,6139265000.0,5675662000.0,4208895000.0,4945083000.0,
Net Income Continuous Operations,5568016000.0,6139265000.0,5675662000.0,4208895000.0,4945083000.0,
Tax Provision,-687672000.0,-1809861000.0,387256000.0,-913750000.0,631012000.0,
Pretax Income,4880344000.0,4329404000.0,6062918000.0,3295145000.0,5576095000.0,
Other Non Operating Income Expenses,515439000.0,-43539000.0,-912561000.0,-1805395000.0,154443000.0,
Special Income Charges,-2196727000.0,-4348152000.0,-1302853000.0,-1464700000.0,-1637340000.0,
Other Special Charges,2196727000.0,4348152000.0,1302853000.0,1464700000.0,1637340000.0,
Gain On Sale Of Security,872117000.0,2963369000.0,-852808000.0,-649018000.0,891844000.0,
Depreciation Amortization Depletion Income Statement,1755648000.0,1827158000.0,1670985000.0,1693587000.0,1609400000.0,
Depreciation And Amortization In Income Statement,1755648000.0,1827158000.0,1670985000.0,1693587000.0,1609400000.0,
Amortization,1142244000.0,1173741000.0,1132254000.0,1070951000.0,938892000.0,
Amortization Of Intangibles Income Statement,1142244000.0,1173741000.0,1132254000.0,1070951000.0,938892000.0,
Depreciation Income Statement,613404000.0,653417000.0,538731000.0,622636000.0,670508000.0,
Selling General And Administration,11387158000.0,10378326000.0,11071773000.0,11737504000.0,10722946000.0,
Selling And Marketing Expense,1424587000.0,1299716000.0,1328456000.0,1545651000.0,1272895000.0,
General And Administrative Expense,9962571000.0,9078610000.0,9743317000.0,10191853000.0,9450051000.0,
Other Gand A,3754748000.0,2891740000.0,3641538000.0,3892677000.0,3801428000.0,
Insurance And Claims,,211893000.0,205340000.0,205593000.0,202866000.0,203144000.0
Rent And Landing Fees,24106000.0,26104000.0,24931000.0,76787000.0,22686000.0,
Salaries And Wages,6183717000.0,5948873000.0,5871508000.0,6016796000.0,5625937000.0,
Total Revenue,27979078000.0,30305722000.0,30161798000.0,29701491000.0,24913149000.0,
Operating Revenue,27979078000.0,30305722000.0,30161798000.0,29701491000.0,24913149000.0,
Professional Expense And Contract Services Expense,,,,1552784000.0,1710196000.0,1274796000.0
Other Non Interest Expense,1836784000.0,2181016000.0,2073779000.0,1001848000.0,2823440000.0,
