,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,82408800.0,42358800.0,10000000.0,
Ordinary Shares Number,11423711128.0,11463761128.0,11496119928.0,11506119928.0
Share Issued,11506119928.0,11506119928.0,11506119928.0,11506119928.0
Net Debt,,4368292000.0,74507641000.0,55545415000.0
Total Debt,42279088000.0,37701586000.0,25913938000.0,17052059000.0
Tangible Book Value,53309188000.0,45140897000.0,37668380000.0,33215116000.0
Invested Capital,99745606000.0,87083392000.0,68285705000.0,54431806000.0
Net Tangible Assets,53309188000.0,45140897000.0,37668380000.0,33215116000.0
Common Stock Equity,57466518000.0,49381806000.0,42371767000.0,37379747000.0
Total Capitalization,99745606000.0,87083392000.0,68285705000.0,54431806000.0
Total Equity Gross Minority Interest,63533870000.0,53535468000.0,46613311000.0,40514843000.0
Minority Interest,6067352000.0,4153662000.0,4241544000.0,3135096000.0
Stockholders Equity,57466518000.0,49381806000.0,42371767000.0,37379747000.0
Treasury Stock,633959000.0,532428000.0,231252000.0,0.0
Capital Stock,15760364000.0,15760364000.0,15760364000.0,15760364000.0
Common Stock,15760364000.0,15760364000.0,15760364000.0,15760364000.0
Total Liabilities Net Minority Interest,583307936000.0,439697381000.0,403998777000.0,305627825000.0
Derivative Product Liabilities,20490985000.0,25500862000.0,13755596000.0,8122302000.0
Long Term Debt And Capital Lease Obligation,42279088000.0,37701586000.0,25913938000.0,17052059000.0
Payables,71121258000.0,44740866000.0,34819366000.0,16339874000.0
Other Payable,61263976000.0,36818673000.0,28916211000.0,10299161000.0
Dividends Payable,1761724000.0,1470266000.0,1364124000.0,1044039000.0
Total Tax Payable,6020107000.0,4052884000.0,1526451000.0,1949670000.0
Accounts Payable,2075451000.0,2399043000.0,3012580000.0,3047004000.0
Total Assets,646841806000.0,493232849000.0,450612088000.0,346142668000.0
Investments And Advances,222233410000.0,208933530000.0,145997481000.0,168458919000.0
Investmentin Financial Assets,213101366000.0,201654633000.0,138603246000.0,160934987000.0
Held To Maturity Securities,11368565000.0,9391853000.0,8816055000.0,5215330000.0
Available For Sale Securities,38266297000.0,30884804000.0,23253468000.0,57771784000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,139274555000.0,140700441000.0,92488585000.0,86441724000.0
Trading Securities,,,,88209394000.0
Long Term Equity Investment,9132044000.0,7278897000.0,7394235000.0,7523932000.0
Investment Properties,1334326000.0,719938000.0,570835000.0,560845000.0
Goodwill And Other Intangible Assets,4157330000.0,4240909000.0,4703387000.0,4164631000.0
Other Intangible Assets,4157330000.0,4240909000.0,4703387000.0,4164631000.0
Net PPE,647908000.0,515092000.0,508618000.0,348870000.0
Accumulated Depreciation,-716195000.0,-605443000.0,-494049000.0,-386040000.0
Gross PPE,1364103000.0,1120535000.0,1002667000.0,734910000.0
Other Properties,1350960000.0,1096927000.0,993763000.0,725174000.0
Properties,13143000.0,23608000.0,8904000.0,9736000.0
Prepaid Assets,1949531000.0,1419358000.0,1416685000.0,1202255000.0
Receivables,91293884000.0,37729312000.0,71257788000.0,41775171000.0
Taxes Receivable,3909360000.0,2878421000.0,1632120000.0,1707188000.0
Cash And Cash Equivalents,45081537000.0,33333294000.0,35604148000.0,20085429000.0
Cash Financial,4614304000.0,2439095000.0,3068946000.0,3219641000.0
Cash Cash Equivalents And Federal Funds Sold,143858679000.0,103212213000.0,103911355000.0,21667192000.0
