,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,9776570000.0,-24605895000.0,-12679929000.0,-1702631000.0,18072447000.0,
Repurchase Of Capital Stock,-108745000.0,,,-101531000.0,0.0,0.0
Repayment Of Debt,,,-3739031000.0,-813928000.0,1172652000.0,311755000.0
Issuance Of Debt,3991671000.0,,,4055747000.0,14043248000.0,3720725000.0
Capital Expenditure,-33553000.0,-209978000.0,-1177502000.0,,-204833000.0,-292231000.0
End Cash Position,81187614000.0,68914337000.0,84402355000.0,102525846000.0,101922962000.0,
Beginning Cash Position,68914337000.0,84402355000.0,102525847000.0,101922962000.0,69283560000.0,
Effect Of Exchange Rate Changes,352906000.0,336487000.0,199882000.0,-343652000.0,-296080000.0,
Changes In Cash,11920371000.0,-15824505000.0,-18323374000.0,946536000.0,32935482000.0,
Financing Cash Flow,2215698000.0,8505098000.0,-5617100000.0,2836719000.0,14916591000.0,
Net Other Financing Charges,689022000.0,-8093000.0,-158251000.0,-303569000.0,1250691000.0,
Interest Paid Cff,,,-1719818000.0,,-1550000000.0,0.0
Cash Dividends Paid,-2300000000.0,0.0,-1719818000.0,0.0,-1550000000.0,
Common Stock Dividend Paid,-2300000000.0,0.0,-1719818000.0,0.0,-1550000000.0,
Net Common Stock Issuance,-108745000.0,,,-101531000.0,0.0,0.0
Common Stock Payments,-108745000.0,,,-101531000.0,0.0,0.0
Net Issuance Payments Of Debt,3991671000.0,8530968000.0,-3739031000.0,3241819000.0,15215900000.0,
Net Long Term Debt Issuance,3991671000.0,8530968000.0,-3739031000.0,3241819000.0,15215900000.0,
Long Term Debt Payments,,,-3739031000.0,-813928000.0,1172652000.0,311755000.0
Long Term Debt Issuance,3991671000.0,,,4055747000.0,14043248000.0,3720725000.0
Investing Cash Flow,-105450000.0,66314000.0,-1203847000.0,150613000.0,-258389000.0,
Dividends Received Cfi,9597000.0,222002000.0,327930000.0,201558000.0,7133000.0,
Net Investment Purchase And Sale,-81494000.0,54290000.0,-354275000.0,,,84166000.0
Net Business Purchase And Sale,,,,-440746000.0,-14634000.0,0.0
Purchase Of Business,,,,,,0.0
Net Intangibles Purchase And Sale,-1944000.0,-238707000.0,-1048625000.0,456879000.0,-197911000.0,
Net PPE Purchase And Sale,-31609000.0,28729000.0,-128877000.0,-118714000.0,-6922000.0,
Operating Cash Flow,9810123000.0,-24395917000.0,-11502427000.0,-2040796000.0,18277280000.0,
Change In Working Capital,3385637000.0,-28146089000.0,-18219605000.0,-6968997000.0,13760803000.0,
Change In Other Current Liabilities,1812391000.0,9282842000.0,-366155000.0,49829476000.0,227808000.0,
Change In Other Current Assets,-1226218000.0,-1268076000.0,-5693657000.0,-748097000.0,1648338000.0,
Change In Receivables,,,,-55373802000.0,12765818000.0,-9719823000.0
Other Non Cash Items,631633000.0,-1129743000.0,2319864000.0,598068000.0,718865000.0,
Provisionand Write Offof Assets,1710789000.0,1198394000.0,1659743000.0,1183651000.0,450763000.0,
Deferred Tax,-387633000.0,-569466000.0,-611109000.0,,,
Depreciation And Amortization,262675000.0,265880000.0,312637000.0,302624000.0,283616000.0,
Depreciation,262675000.0,265880000.0,312637000.0,302624000.0,283616000.0,
Net Foreign Currency Exchange Gain Loss,-380010000.0,-281058000.0,-199882000.0,409469000.0,360405000.0,
Net Income From Continuing Operations,4337375000.0,4009226000.0,3209920000.0,3124045000.0,3068285000.0,
