Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2025-11-10 19:00:00-05:00,1.06,1.19,12.33
2025-08-12 05:00:00-04:00,0.91,1.05,15.5
2025-05-12 06:00:00-04:00,0.87,0.88,0.7
2025-02-10 16:00:00-05:00,0.88,0.86,-2.67
2024-11-12 04:00:00-05:00,0.79,0.81,1.75
2024-08-14 06:00:00-04:00,0.79,0.77,-2.02
2024-05-13 06:00:00-04:00,0.75,0.76,1.18
2024-02-05 05:00:00-05:00,0.73,0.75,2.46
2023-11-08 13:00:00-05:00,0.7,0.72,2.96
2023-08-09 06:00:00-04:00,0.63,0.68,7.41
2023-05-08 06:00:00-04:00,0.58,0.59,0.89
2023-02-13 05:00:00-05:00,0.57,0.46,-19.83
2022-11-08 03:00:00-05:00,0.55,0.6,8.92
2022-08-09 06:00:00-04:00,0.51,0.57,11.76
2022-05-09 06:00:00-04:00,0.45,0.54,19.12
2022-02-16 05:00:00-05:00,0.44,0.46,4.55
2021-11-09 04:00:00-05:00,0.42,0.47,11.02
2021-08-10 12:00:00-04:00,0.34,0.45,30.67
2021-05-11 10:00:00-04:00,0.3,0.32,8.02
2021-02-09 06:00:00-05:00,0.28,0.35,25.79
2020-11-10 04:00:00-05:00,0.24,0.28,15.46
2020-08-11 07:00:00-04:00,0.18,0.27,53.52
2020-05-12 08:00:00-04:00,0.33,0.23,-31.32
2020-02-14 05:00:00-05:00,0.29,0.29,-1.14
2019-11-05 04:00:00-05:00,0.28,0.31,10.81
