,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.133458,0.109778,0.133099,0.180745
Net Income From Continuing Operation Net Minority Interest,11789387000.0,9924566000.0,7841837000.0,6342154000.0
Reconciled Depreciation,1128129000.0,990460000.0,833666000.0,113474000.0
Net Interest Income,23596321000.0,21421049000.0,19762340000.0,9703311000.0
Interest Expense,42362998000.0,48322361000.0,50000966000.0,18288443000.0
Interest Income,65959319000.0,69743410000.0,69763306000.0,27991754000.0
Normalized Income,11789387000.0,9924566000.0,7841837000.0,6342154000.0
Net Income From Continuing And Discontinued Operation,11789387000.0,9924566000.0,7841837000.0,6342154000.0
Diluted NI Availto Com Stockholders,11789387000.0,9924566000.0,7841837000.0,6342154000.0
Net Income Common Stockholders,11789387000.0,9924566000.0,7841837000.0,6342154000.0
Net Income,11789387000.0,9924566000.0,7841837000.0,6342154000.0
Minority Interests,-491934000.0,-401639000.0,-398470000.0,-90632000.0
Net Income Including Noncontrolling Interests,12281321000.0,10326205000.0,8240307000.0,6432786000.0
Net Income Continuous Operations,12281321000.0,10326205000.0,8240307000.0,6432786000.0
Tax Provision,2324052000.0,1590849000.0,1581338000.0,1858288000.0
Pretax Income,17414151000.0,14491458000.0,11880929000.0,10281281000.0
Other Non Operating Income Expenses,6102000.0,-22307000.0,245303000.0,948509000.0
Gain On Sale Of Security,2110116000.0,1904247000.0,1642363000.0,400755000.0
Operating Expense,18247866000.0,16221493000.0,13441964000.0,8253710000.0
Other Operating Expenses,4674235000.0,4468539000.0,3280024000.0,1501285000.0
Depreciation And Amortization In Income Statement,1128129000.0,990460000.0,833666000.0,338818000.0
Amortization,0.0,0.0,0.0,225344000.0
Depreciation Income Statement,1128129000.0,990460000.0,833666000.0,113474000.0
Selling General And Administration,8491428000.0,7270458000.0,6164998000.0,4334267000.0
Selling And Marketing Expense,600948000.0,667268000.0,666627000.0,355385000.0
General And Administrative Expense,7890480000.0,6603190000.0,5498371000.0,3978882000.0
Rent And Landing Fees,278936000.0,262762000.0,225320000.0,122601000.0
Total Revenue,37783193000.0,32229615000.0,29400308000.0,17068497000.0
Operating Revenue,37783193000.0,32229615000.0,29400308000.0,17068497000.0
