,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.173564,0.092977,0.170453,0.114873,0.133739,
Total Unusual Items,,,,,,42224000.0
Total Unusual Items Excluding Goodwill,,,,,,42224000.0
Net Income From Continuing Operation Net Minority Interest,4337375000.0,4009226000.0,3209920000.0,3124045000.0,3068285000.0,
Reconciled Depreciation,262675000.0,265880000.0,312637000.0,302624000.0,283616000.0,
Net Interest Income,9350006000.0,7025699000.0,6863121000.0,6162190000.0,6443513000.0,
Interest Expense,16235614000.0,16001818000.0,14052042000.0,10723605000.0,11702138000.0,
Interest Income,25585620000.0,23027517000.0,20915163000.0,16885795000.0,18145651000.0,
Normalized Income,4337375000.0,4009226000.0,3209920000.0,3124045000.0,3068285000.0,
Net Income From Continuing And Discontinued Operation,4337375000.0,4009226000.0,3209920000.0,3124045000.0,3068285000.0,
Diluted NI Availto Com Stockholders,4337375000.0,4009226000.0,3209920000.0,3124045000.0,3068285000.0,
Net Income Common Stockholders,4337375000.0,4009226000.0,3209920000.0,3124045000.0,3068285000.0,
Net Income,4337375000.0,4009226000.0,3209920000.0,3124045000.0,3068285000.0,
Minority Interests,-296456000.0,-169731000.0,-201332000.0,-96061000.0,-295249000.0,
Net Income Including Noncontrolling Interests,4633831000.0,4178957000.0,3411252000.0,3220106000.0,3363534000.0,
Net Income Continuous Operations,4633831000.0,4178957000.0,3411252000.0,3220106000.0,3363534000.0,
Tax Provision,1181528000.0,529706000.0,845748000.0,521058000.0,632651000.0,
Pretax Income,6807455000.0,5697166000.0,4961769000.0,4535947000.0,4730473000.0,
Other Non Operating Income Expenses,1671000.0,28575000.0,-34262000.0,-11587000.0,17380000.0,
Special Income Charges,,,,,,42224000.0
Other Special Charges,,,,,,-42224000.0
Gain On Sale Of Security,1120698000.0,1058953000.0,978432000.0,577755000.0,533298000.0,
Operating Expense,5552823000.0,5761043000.0,4861453000.0,5881267000.0,4589954000.0,
Other Operating Expenses,1751958000.0,2093696000.0,1396247000.0,2615148000.0,1055089000.0,
Depreciation And Amortization In Income Statement,262675000.0,291043000.0,287474000.0,302624000.0,283616000.0,
Amortization,0.0,0.0,0.0,0.0,0.0,
Depreciation Income Statement,262675000.0,291043000.0,287474000.0,302624000.0,283616000.0,
Selling General And Administration,2413825000.0,2387203000.0,2122139000.0,1949136000.0,2261276000.0,
Selling And Marketing Expense,146447000.0,131283000.0,181881000.0,132282000.0,149941000.0,
General And Administrative Expense,2267378000.0,2255920000.0,1940258000.0,1816854000.0,2111335000.0,
Rent And Landing Fees,77275000.0,74006000.0,76824000.0,75529000.0,71546000.0,
Total Revenue,14022597000.0,12513904000.0,11543232000.0,9585795000.0,9881770000.0,
Operating Revenue,14022597000.0,12513904000.0,11543232000.0,9585795000.0,9881770000.0,
