fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-12-31,USD,1153881000000,434397000000,47729000000,47729000000,24008000000,76188000000,719484000000,228772000000,None,35774000000,35774000000,83880000000,None,604558000000,286472000000,12086000000,None,502226000000,73111000000,49485000000,None,None,23626000000,429115000000,None,122324000000,2438000000,None,143527000000,15310000000,None,649368000000,None,696218000000,8000000,2156580000
2023-12-31,USD,1069978000000,211841000000,38022000000,38022000000,24159000000,44200000000,93009000000,221870000000,None,29327000000,29327000000,84626000000,None,536285000000,129619000000,-24159000000,None,499208000000,8253000000,49351000000,None,None,5335000000,490955000000,None,122936000000,5335000000,None,128271000000,-5335000000,None,561273000000,None,607350000000,8000000,2173319709
2022-12-31,USD,948452000000,176886000000,35811000000,35811000000,25366000000,48301000000,672509000000,201940000000,None,29187000000,29187000000,78119000000,None,454745000000,92774000000,26543000000,None,467835000000,62502000000,49816000000,None,None,2429000000,197335000000,None,120315000000,2429000000,None,122744000000,8618000000,None,472360000000,None,511602000000,8000000,2203312898
2021-12-31,USD,958784000000,186284000000,88184000000,88184000000,20954000000,39565000000,683083000000,196373000000,None,28486000000,28486000000,73875000000,None,443063000000,58535000000,21805000000,None,443854000000,45234000000,46072000000,None,None,2351000000,202154000000,None,111911000000,2351000000,None,114262000000,4529000000,283520000000,506199000000,-59795000000,534421000000,8000000,2265268867
2020-12-31,USD,873729000000,174142000000,47990000000,47990000000,19208000000,35852000000,615897000000,187017000000,None,30684000000,30684000000,73734000000,None,37713000000,90300000000,19884000000,None,422393000000,45626000000,44503000000,None,None,3348000000,187645000000,None,113547000000,3348000000,None,116895000000,5648000000,422393000000,443164000000,-32853000000,444626000000,8000000,2391702304
2019-12-31,USD,817729000000,163832000000,64175000000,64175000000,19852000000,35835000000,578027000000,174341000000,None,31646000000,31646000000,81882000000,None,53717000000,63822000000,20454000000,None,389166000000,44441000000,42319000000,None,None,4686000000,170762000000,None,968000000,4686000000,None,103368000000,8080000000,242511000000,424791000000,-8125000000,402493000000,8000000,2450917775
2018-12-31,USD,707794000000,166788000000,30361000000,30361000000,19069000000,35230000000,489859000000,166706000000,None,32148000000,32148000000,81025000000,None,53503000000,81506000000,19691000000,None,355294000000,44883000000,37186000000,None,None,4373000000,149085000000,None,2452000000,4373000000,None,97490000000,7808000000,218166000000,348703000000,-3109000000,321112000000,8000000,2465691267
2017-12-31,USD,702095000000,167014000000,31583000000,31583000000,17366000000,28578000000,485576000000,148288000000,None,32518000000,32518000000,81258000000,None,223276000000,84371000000,22482000000,None,350141000000,44820000000,35903000000,None,None,6320000000,152874000000,None,2172000000,6320000000,None,102587000000,8999000000,209479000000,348296000000,-1763000000,255786000000,8000000,2466921267
2016-12-31,USD,620854000000,142636000000,27520000000,27520000000,15727000000,27097000000,430073000000,143084000000,None,33481000000,33481000000,78105000000,None,176053000000,47338000000,24954000000,None,334495000000,42880000000,35042000000,None,None,2094000000,177494000000,None,2890000000,2094000000,None,101644000000,9427000000,194919000000,283001000000,-1763000000,211777000000,8000000,2465737767
2015-12-31,USD,552257000000,119824000000,60049000000,60049000000,11916000000,23303000000,383842000000,135819000000,None,14598000000,14598000000,61366000000,None,172338000000,4569000000,19987000000,None,293630000000,37023000000,31271000000,None,None,1989000000,145426000000,None,3836000000,84289000000,None,84289000000,7387000000,174234000000,255550000000,-1763000000,187703000000,8000000,2464773268
