fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-09-30,USD,1225963000000,489779000000,76306000000,76306000000,25319000000,82787000000,736184000000,230565000000,None,35118000000,35118000000,84525000000,None,None,305367000000,None,None,525522000000,10052000000,56817000000,None,None,26280000000,515470000000,None,124204000000,None,None,150484000000,-83097000000,None,700441000000,None,743987000000,8000000,2158773000
2025-06-30,USD,1163968000000,448980000000,100486000000,100486000000,24371000000,80518000000,714988000000,227863000000,None,35170000000,35170000000,84251000000,None,551935000000,243605000000,-395887000000,None,493692000000,58122000000,55136000000,None,None,2986000000,435570000000,None,124034000000,2986000000,None,127020000000,-2986000000,None,667989000000,None,713191000000,8000000,2158773000
2025-03-31,USD,1164532000000,451538000000,42180000000,42180000000,24034000000,79823000000,712994000000,224758000000,None,35441000000,35441000000,84007000000,None,615415000000,305501000000,None,None,507790000000,71063000000,54762000000,None,None,16301000000,436727000000,None,124006000000,1921000000,None,140307000000,100626000000,None,654471000000,None,700821000000,8000000,2157335000
2024-12-31,USD,1153881000000,434397000000,47729000000,47729000000,24008000000,76188000000,719484000000,222929000000,None,35774000000,35774000000,83880000000,None,604558000000,286472000000,12086000000,None,502226000000,73111000000,49485000000,None,None,23626000000,429115000000,None,122324000000,2438000000,None,143527000000,15310000000,None,649368000000,None,696218000000,8000000,2157034000
2024-09-30,USD,1147251000000,427981000000,37181000000,37181000000,23617000000,79152000000,719270000000,222272000000,None,36244000000,36244000000,84608000000,None,605856000000,288031000000,13047000000,None,515445000000,73139000000,56247000000,None,None,16892000000,442306000000,None,122483000000,2024000000,None,139375000000,107221000000,None,629069000000,None,676524000000,8000000,2155185000
2024-06-30,USD,1108860000000,378994000000,42324000000,42324000000,23498000000,78554000000,729866000000,None,None,36356000000,36356000000,84411000000,None,566356000000,234618000000,13073000000,None,500889000000,55638000000,53316000000,None,None,2254000000,445251000000,None,121374000000,2254000000,None,123628000000,101695000000,None,601697000000,None,650273000000,8000000,2155185000
2024-03-31,USD,1070035000000,290933000000,35549000000,35549000000,23670000000,78270000000,779102000000,None,None,36749000000,36749000000,84549000000,None,536060000000,153444000000,14169000000,None,492250000000,54595000000,51937000000,None,None,2658000000,437655000000,None,120096000000,2658000000,None,122754000000,95946000000,None,571490000000,None,619925000000,8000000,2159055000
2023-12-31,USD,1069978000000,211841000000,38022000000,38022000000,24159000000,44200000000,866831000000,None,None,29327000000,29327000000,84626000000,None,536285000000,129619000000,-24159000000,None,499208000000,5335000000,49351000000,None,None,5335000000,215945000000,None,122936000000,5335000000,None,128271000000,-5335000000,None,561273000000,None,607350000000,8000000,2173319709
2023-09-30,USD,1019933000000,258731000000,30840000000,30840000000,24755000000,76735000000,761202000000,211498000000,None,37204000000,37204000000,85652000000,None,494953000000,126401000000,13897000000,None,485206000000,57403000000,54879000000,None,None,2524000000,427803000000,None,122257000000,2524000000,None,124781000000,85991000000,None,525330000000,None,569776000000,8000000,2170388000
2023-06-30,USD,1041573000000,225282000000,50055000000,50055000000,25295000000,51657000000,728115000000,209188000000,None,29819000000,29819000000,85853000000,None,500577000000,97322000000,26248000000,None,489812000000,148310000000,51924000000,None,None,3066000000,215292000000,None,122281000000,3066000000,None,126170000000,96386000000,None,539883000000,None,582543000000,8000000,2174313670
2023-03-31,USD,997072000000,231747000000,26747000000,26747000000,25499000000,75632000000,765325000000,205855000000,None,38736000000,38736000000,83502000000,None,48969000000,103869000000,26554000000,None,480812000000,55755000000,52238000000,None,None,3517000000,425057000000,None,120701000000,2923000000,None,123624000000,86493000000,218457000000,504554000000,-72265000000,546631000000,8000000,2184657000
2022-12-31,USD,948465000000,225444000000,35811000000,35811000000,25366000000,71493000000,723021000000,196965000000,None,30479000000,30479000000,78119000000,None,454745000000,92774000000,26543000000,None,466784000000,58880000000,44635000000,None,None,14245000000,407904000000,None,120315000000,2429000000,None,127683000000,1193000000,None,473424000000,None,511127000000,8000000,2195134000
2022-09-30,USD,902296000000,180889000000,32626000000,32626000000,25102000000,45368000000,647545000000,192989000000,None,27738000000,27738000000,73335000000,None,47316000000,76332000000,26563000000,None,438549000000,123941000000,47710000000,None,None,1815000000,199927000000,None,114681000000,1815000000,None,116496000000,74155000000,199927000000,463747000000,-64972000000,493438000000,8000000,2205864397
2022-06-30,USD,909860000000,196341000000,30608000000,30608000000,24560000000,66370000000,713519000000,192413000000,None,29104000000,29104000000,73618000000,None,441095000000,74803000000,10558000000,None,440207000000,49204000000,46963000000,None,None,2241000000,391003000000,None,116840000000,2241000000,None,119081000000,77885000000,196278000000,461229000000,-63934000000,496126000000,8000000,2205864000
2022-03-31,USD,969506000000,150616000000,39113000000,39113000000,22572000000,43055000000,790790000000,191760000000,None,28211000000,28211000000,73822000000,None,393140000000,67145000000,1185000000,None,452641000000,69329000000,46005000000,None,None,23324000000,187451000000,None,96337000000,23324000000,None,140830000000,-69329000000,195861000000,508141000000,-62906000000,539881000000,8000000,2212053394
2021-12-31,USD,958784000000,222078000000,88184000000,88184000000,20954000000,39565000000,736706000000,196373000000,None,28486000000,28486000000,73875000000,None,443063000000,58535000000,35794000000,None,443854000000,50802000000,40804000000,None,None,2351000000,202154000000,None,111911000000,2351000000,None,114262000000,841000000,283520000000,506199000000,-59795000000,534421000000,8000000,2254518373
2021-09-30,USD,920758000000,203577000000,69989000000,69989000000,20191000000,41601000000,717181000000,188875000000,None,29805000000,29805000000,73770000000,None,347830000000,79209000000,12778000000,None,439683000000,49397000000,47132000000,None,None,2265000000,194948000000,None,286000000,2265000000,None,114965000000,82664000000,277300000000,472480000000,-53072000000,494775000000,8000000,2254518373
2021-06-30,USD,912493000000,223624000000,42298000000,42298000000,19393000000,60173000000,688869000000,188311000000,None,30033000000,30033000000,73758000000,None,446704000000,101760000000,20341000000,None,433693000000,48325000000,45403000000,None,None,2922000000,385368000000,None,112301000000,2922000000,None,115223000000,82073000000,272571000000,470409000000,-45446000000,484431000000,8000000,2279363000
2021-03-31,USD,884393000000,190116000000,60054000000,60054000000,18886000000,39052000000,694277000000,187356000000,None,29184000000,29184000000,73695000000,None,365600000000,85385000000,5625000000,None,428217000000,47181000000,43693000000,None,None,3488000000,187435000000,None,577000000,3488000000,None,114531000000,77074000000,269416000000,447987000000,-39418000000,456337000000,8000000,2299924850
2020-12-31,USD,161705000000,63922000000,47990000000,47990000000,19208000000,35852000000,97783000000,187017000000,None,30684000000,30684000000,73734000000,None,377130000000,90300000000,-110220000000,None,422393000000,76657000000,38913000000,None,None,3348000000,187645000000,None,113547000000,3348000000,None,116895000000,73309000000,422393000000,443164000000,-32853000000,444626000000,8000000,2299924850
2020-09-30,USD,829946000000,221483000000,26817000000,26817000000,19361000000,56399000000,608463000000,176253000000,None,30212000000,30212000000,71865000000,None,400810000000,118906000000,20242000000,None,410731000000,47277000000,43917000000,None,None,3360000000,363454000000,None,104331000000,3360000000,None,107691000000,75791000000,None,415155000000,-24075000000,408791000000,8000000,2380046000
2020-06-30,USD,788133000000,665411000000,36074000000,36074000000,19277000000,36766000000,122722000000,174789000000,None,29847000000,29847000000,71753000000,None,363420000000,110518000000,482053000000,None,390880000000,43823000000,40665000000,None,None,3158000000,164801000000,None,1565000000,3158000000,None,106689000000,63006000000,241961000000,393495000000,-14815000000,378654000000,8000000,2417638791
2020-03-31,USD,147658000000,38717000000,42640000000,42640000000,20172000000,37957000000,108941000000,173421000000,None,31277000000,31277000000,81659000000,None,354060000000,94623000000,-136503000000,None,385213000000,68342000000,39614000000,None,None,3555000000,153249000000,None,2361000000,3555000000,None,104233000000,25173000000,239005000000,371565000000,-9700000000,352359000000,8000000,2434332283
2019-12-31,USD,817729000000,53541000000,64175000000,64175000000,19852000000,35835000000,764188000000,174341000000,None,31646000000,31646000000,81882000000,None,537170000000,63822000000,-110291000000,None,389166000000,20102000000,42319000000,None,None,4686000000,170762000000,None,968000000,4686000000,None,103368000000,15416000000,242511000000,424791000000,-8125000000,402493000000,8000000,2434332283
2019-09-30,USD,788482000000,110187000000,74776000000,74776000000,19951000000,38152000000,678295000000,171490000000,None,31401000000,31401000000,81228000000,None,538420000000,53378000000,-56119000000,None,386924000000,46644000000,41189000000,None,None,4499000000,163190000000,None,1236000000,4499000000,None,102194000000,956000000,242305000000,397609000000,-5937000000,373334000000,8000000,2449501775
2019-06-30,USD,760108000000,81171000000,44634000000,44634000000,19834000000,37582000000,678937000000,169460000000,None,31658000000,31658000000,81269000000,None,539770000000,77745000000,-78790000000,None,373717000000,45581000000,40588000000,None,None,4261000000,160414000000,None,1470000000,4261000000,None,99907000000,41320000000,231752000000,382544000000,-5242000000,356846000000,8000000,2452441774
2019-03-31,USD,738724000000,42521000000,26139000000,26139000000,19454000000,37170000000,696203000000,167424000000,None,31904000000,31904000000,81220000000,None,531550000000,88029000000,-108817000000,None,366133000000,34815000000,39807000000,None,None,3910000000,155206000000,None,1682000000,3910000000,None,97193000000,30905000000,227451000000,368877000000,-4799000000,342773000000,8000000,2459730270
2018-12-31,USD,707794000000,42404000000,30361000000,30361000000,19069000000,35230000000,665390000000,166706000000,None,32148000000,32148000000,81025000000,None,535030000000,81506000000,-104693000000,None,355294000000,19600000000,37186000000,None,None,4373000000,149085000000,None,2452000000,7839000000,None,97490000000,15227000000,218166000000,348703000000,-3109000000,321112000000,8000000,2459730270
2018-09-30,USD,736459000000,36699000000,41438000000,41438000000,16793000000,31884000000,699760000000,154744000000,None,32954000000,32954000000,81327000000,None,502010000000,62205000000,-98828000000,None,357040000000,20763000000,40199000000,None,None,3517000000,153463000000,None,1869000000,None,None,97640000000,17246000000,217332000000,375606000000,-2691000000,346503000000,8000000,2465332767
