fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-12-31,USD,30592000000,None,None,None,None,12855000000,18976000000,None,591000000,None,-10287000000,-10360000000,None,None,None,None,None,None,None,None,None,None,-2918000000,None,None,None,89561000000
2023-12-31,USD,49196000000,None,None,None,None,12486000000,19409000000,None,1426000000,None,-32663000000,-14405000000,None,None,None,None,None,None,None,None,None,None,-9171000000,None,None,None,97147000000
2022-12-31,USD,37224000000,None,None,None,None,10899000000,15464000000,None,-4779000000,None,-87601000000,-1662000000,None,None,None,None,None,None,None,None,None,None,-7854000000,None,None,None,-22058000000
2021-12-31,USD,39421000000,None,None,None,None,10718000000,13276000000,-5834000000,-1862000000,None,29392000000,-28508000000,None,None,None,None,None,None,None,None,None,None,-27061000000,None,40305000000,None,90807000000
2020-12-31,USD,39773000000,None,None,None,None,10596000000,13012000000,-1609000000,681000000,None,-37757000000,-18344000000,None,None,None,None,None,None,None,None,None,None,-24706000000,None,-16328000000,None,43253000000
2019-12-31,USD,38687000000,None,None,None,None,10064000000,15979000000,-2303000000,681000000,None,-5621000000,730000000,None,None,None,None,None,None,None,None,None,None,-4850000000,None,33796000000,None,81792000000
2018-12-31,USD,37400000000,None,None,None,None,9779000000,14537000000,-3443000000,None,None,-32849000000,-5812000000,None,None,None,None,None,None,None,None,None,None,-1346000000,None,-1261000000,None,4322000000
2017-12-31,USD,45776000000,None,None,None,None,9188000000,11708000000,None,None,None,-41091000000,-1398000000,None,None,None,None,None,None,None,None,None,None,-31583000000,None,3535000000,248000000,45353000000
2016-12-31,USD,32535000000,None,None,None,None,8901000000,12954000000,-3302000000,None,None,-84267000000,12791000000,None,None,None,None,None,None,None,None,None,None,-28048000000,None,-39113000000,-172000000,24427000000
2015-12-31,USD,31491000000,None,None,None,None,7779000000,16082000000,-1650000000,None,None,-26668000000,3803000000,None,None,None,None,3938000000,3938000000,None,None,None,None,-71730000000,None,8461000000,-165000000,24414000000
2014-12-31,USD,32010000000,None,None,None,None,7370000000,15185000000,-1890000000,None,None,-19369000000,2731000000,None,None,None,None,None,None,None,None,None,None,-63269000000,None,15083000000,-289000000,20170000000
2013-12-31,USD,27704000000,None,None,None,None,6508000000,11087000000,1035000000,None,None,-27535000000,961000000,None,None,None,None,None,None,None,None,None,None,-48186000000,None,1194000000,64000000,19845000000
2012-12-31,USD,20950000000,None,None,None,None,5146000000,9775000000,-1610000000,None,None,-10574000000,-806000000,None,None,None,None,None,None,None,None,None,None,-1296000000,None,9693000000,123000000,15312000000
2011-12-31,USD,20476000000,None,None,None,None,4683000000,8191000000,None,None,None,-19189000000,-2217000000,None,None,None,None,None,None,None,None,None,None,-37299000000,None,None,None,10746000000
2010-12-31,USD,17895000000,None,None,None,None,4279000000,5980000000,None,None,None,-18277000000,8125000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13494000000
2009-12-31,USD,15846000000,None,None,None,None,3127000000,4937000000,None,None,None,-11161000000,233000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8441000000
2008-12-31,USD,11252000000,None,None,None,None,2810000000,6138000000,None,None,None,-32066000000,2286000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4994000000
2007-12-31,USD,12550000000,None,None,None,None,2407000000,5373000000,None,None,None,-13428000000,1366000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13213000000
2006-12-31,USD,10195000000,None,None,None,None,2066000000,4571000000,None,None,None,-14077000000,2490000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11015000000
2005-12-31,USD,9446000000,None,None,None,None,982000000,2195000000,None,None,None,-13841000000,5628000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8528000000
