fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-09-30,USD,13789000000,None,None,None,None,3333000000,5586000000,None,-891000000,None,-39052000000,835000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30796000000
2025-06-30,USD,10085000000,None,None,None,None,3329000000,4858000000,None,-225000000,None,49358000000,-1166000000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,12370000000
2025-03-31,USD,10903000000,None,None,None,None,3265000000,4281000000,None,103000000,None,-16401000000,53000000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,4672000000
2024-12-31,USD,4621000000,None,None,None,None,3283000000,5347000000,None,359000000,None,4268000000,1653000000,None,None,None,None,None,None,None,None,None,None,2918000000,None,None,None,19751000000
2024-09-30,USD,1803000000,None,None,None,None,3206000000,4701000000,None,-224000000,None,-3904000000,-3065000000,None,None,None,None,None,None,None,None,None,None,-2918000000,None,None,None,26480000000
2024-06-30,USD,13602000000,None,None,None,None,3198000000,4535000000,None,-60000000,None,-7448000000,854000000,None,None,None,None,None,None,None,None,None,None,-356000000,None,None,None,30498000000
2024-03-31,USD,10566000000,None,None,None,None,3168000000,4393000000,None,516000000,None,-3203000000,-9802000000,None,None,None,None,None,None,None,None,None,None,-2562000000,None,None,None,12832000000
2023-12-31,USD,14400000000,None,None,None,None,3129000000,5708000000,None,1151000000,None,-7351000000,-136000000,None,None,None,None,None,None,None,None,None,None,-2193000000,None,None,None,37758000000
2023-09-30,USD,13669000000,None,None,None,None,3210000000,5303000000,None,-230000000,None,-28048000000,-4636000000,None,None,None,None,None,None,None,None,None,None,-1128000000,None,None,None,-12567000000
2023-06-30,USD,12434000000,None,None,None,None,3096000000,4685000000,None,520000000,None,10655000000,289000000,None,None,None,None,None,None,None,None,None,None,-1400000000,None,None,None,36199000000
2023-03-31,USD,8693000000,None,None,None,None,3051000000,3713000000,-922000000,-15000000,None,-7919000000,-9922000000,None,None,None,None,None,None,None,None,None,None,-4450000000,None,-9148000000,None,35757000000
2022-12-31,USD,10201000000,None,None,None,None,2758000000,4557000000,None,-4779000000,None,-6092000000,-1351000000,None,None,None,None,None,None,None,None,None,None,-2608000000,None,None,None,18321000000
2022-09-30,USD,11662000000,None,None,None,None,2728000000,4074000000,-1155000000,-918000000,None,-7336000000,-1918000000,None,None,None,None,None,None,None,None,None,None,-1055000000,None,2408000000,None,-2588000000
2022-06-30,USD,8532000000,None,None,None,None,2710000000,3743000000,-2903000000,-2238000000,None,-15607000000,-1036000000,None,None,None,None,None,None,None,None,None,None,-1011000000,None,-8111000000,None,-43242000000
2022-03-31,USD,6826000000,None,None,None,None,2703000000,3090000000,-3469000000,-1842000000,None,-58566000000,2643000000,None,None,None,None,None,None,None,None,None,None,-3180000000,None,-49094000000,None,5705000000
2021-12-31,USD,7795000000,None,None,None,None,2705000000,4032000000,976000000,-1862000000,None,17311000000,-7144000000,None,None,None,None,None,None,None,None,None,None,-6869000000,None,17962000000,None,39898000000
2021-09-30,USD,12067000000,None,None,None,None,2668000000,3581000000,-1985000000,None,None,23514000000,-7786000000,None,None,None,None,None,None,None,None,None,None,-7632000000,None,27795000000,None,10644000000
2021-06-30,USD,10253000000,None,None,None,None,2672000000,3144000000,-1385000000,None,None,-22629000000,-5229000000,None,None,None,None,None,None,None,None,None,None,-5980000000,None,-17605000000,None,28425000000
2021-03-31,USD,9306000000,None,None,None,None,2673000000,2519000000,-3440000000,None,None,11196000000,-8349000000,None,None,None,None,None,None,None,None,None,None,-6580000000,None,12153000000,None,11840000000
2020-12-31,USD,10546000000,None,None,None,None,2904000000,3496000000,None,None,None,16649000000,-6668000000,None,None,None,None,None,None,None,None,None,None,-8994000000,None,None,None,36130000000
2020-09-30,USD,11761000000,None,None,None,None,2583000000,3329000000,None,None,None,-11855000000,-8856000000,None,None,None,None,None,None,None,None,None,None,-8973000000,None,None,None,30413000000
