date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2026-12-31,next fiscal year,24.1908,31.5900,19.9400,4.0000,24.1908,24.1908,24.0183,21.7244,1.0000,,2.0000,2.0000,384905900000.00,389385000000.00,380426800000.00,2.00
2026-03-31,next fiscal quarter,5.2349,5.5097,4.9600,2.0000,5.5097,5.5097,5.5097,5.4939,1.0000,,1.0000,0.0000,95608000000.00,95608000000.00,95608000000.00,1.00
2025-12-31,historical fiscal year,21.2958,21.6400,20.9600,3.0000,21.2792,21.2792,21.0625,20.6572,1.0000,,1.0000,0.0000,371986300000.00,371986300000.00,371986300000.00,1.00
2025-09-30,historical fiscal quarter,5.7347,5.8893,5.5800,2.0000,5.5772,5.5744,5.5744,5.2735,1.0000,,1.0000,0.0000,96976000000.00,96976000000.00,96976000000.00,1.00
2025-06-30,historical fiscal quarter,5.0366,5.0632,5.0100,2.0000,5.0028,4.9956,5.2886,5.2842,1.0000,,1.0000,0.0000,82222967150.00,82222967150.00,82222967150.00,1.00
2025-03-31,historical fiscal quarter,4.7223,4.8945,4.5500,2.0000,4.6807,4.8114,4.7631,4.7631,1.0000,,1.0000,0.0000,81590106850.00,81590106850.00,81590106850.00,1.00
2024-12-31,historical fiscal year,19.7342,20.0700,19.4527,3.0000,20.0685,20.0685,20.1235,20.6141,0.0000,,0.0000,1.0000,366787294340.00,420751000000.00,322873577370.00,4.00
2024-09-30,historical fiscal quarter,5.0600,5.7700,4.3500,2.0000,5.0600,4.9900,4.9900,5.0300,1.0000,,2.0000,0.0000,83272200000.00,83272200000.00,83272200000.00,1.00
2024-06-30,historical fiscal quarter,4.6100,4.7700,4.5000,3.0000,4.6300,4.5700,4.5700,4.5700,0.0000,,1.0000,0.0000,81878300000.00,81878300000.00,81878300000.00,1.00
2024-03-31,historical fiscal quarter,4.2500,4.5500,3.9400,2.0000,4.2700,4.4500,4.6500,4.4800,0.0000,,1.0000,0.0000,74632800000.00,74632800000.00,74632800000.00,1.00
