fiscalDateEnding,reportedEPS
2025-12-31,19.3289
2024-12-31,21.9947
2023-12-31,17.19
2022-12-31,13.98
2021-12-31,12.12
2020-12-31,9.14
2019-12-31,9.64
2018-12-31,10.04
2017-12-31,5.86
2016-12-31,7.14
2015-12-31,7.05
2014-12-31,6.72
2013-12-31,6.14
2012-12-31,5.09
2011-12-31,4.35
2010-12-31,4.52
2009-12-31,3.2533
2008-12-31,4.1487
2007-12-31,4.1546
2006-12-31,4.0239
2005-12-31,2.5447
2004-12-31,2.1887
2003-12-31,2.354
2002-12-31,1.6954
2001-12-31,0.1747
2000-12-31,1.0657
1999-12-31,0.6839
1998-12-31,1.5112
