fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2025-09-30,2025-11-01,6.26,5.7,0.56,9.8246,pre-market
2025-06-30,2025-08-02,8.6,4.99,3.61,72.3447,pre-market
2025-03-31,2025-05-02,4.4689,4.7223,-0.2534,-5.366,pre-market
2024-12-31,2025-02-24,6.7347,4.1911,2.5436,60.6905,pre-market
2024-09-30,2024-11-02,4.68,5.06,-0.38,-7.5099,pre-market
2024-06-30,2024-08-05,5.38,4.81,0.57,11.8503,pre-market
2024-03-31,2024-05-04,5.2,4.58,0.62,13.5371,pre-market
2023-12-31,2024-02-24,3.92,3.97,-0.05,-1.2594,pre-market
2023-09-30,2023-11-04,4.96,4.59,0.37,8.061,pre-market
2023-06-30,2023-08-05,4.62,3.87,0.75,19.3798,pre-market
2023-03-31,2023-05-06,3.69,3.5,0.19,5.4286,pre-market
2022-12-31,2023-02-25,3.06,3.63,-0.57,-15.7025,pre-market
2022-09-30,2022-11-05,3.53,2.67,0.86,32.2097,pre-market
2022-06-30,2022-08-08,4.21,3.33,0.88,26.4264,pre-market
2022-03-31,2022-04-30,3.18,2.8,0.38,13.5714,pre-market
2021-12-31,2022-02-28,3.27,2.88,0.39,13.5417,pre-market
2021-09-30,2021-11-07,2.87,2.99,-0.12,-4.0134,post-market
2021-06-30,2021-08-07,2.93,2.6,0.33,12.6923,pre-market
2021-03-31,2021-05-01,3.05,2.53,0.52,20.5534,pre-market
2020-12-31,2021-02-27,2.15,2.27,-0.12,-5.2863,pre-market
2020-09-30,2020-11-07,2.3,2.42,-0.12,-4.9587,pre-market
2020-06-30,2020-08-08,2.28,2.24,0.04,1.7857,pre-market
2020-03-31,2020-05-02,2.41,2.51,-0.1,-3.9841,pre-market
2019-12-31,2020-02-22,1.81,2.34,-0.53,-22.6496,pre-market
2019-09-30,2019-11-03,3.07,2.84,0.23,8.0986,post-market
2019-06-30,2019-08-03,2.5,2.58,-0.08,-3.1008,pre-market
2019-03-31,2019-05-04,2.26,2.29,-0.03,-1.31,pre-market
2018-12-31,2019-02-23,2.32,1.85,0.47,25.4054,pre-market
2018-09-30,2018-11-03,2.79,2.49,0.3,12.0482,pre-market
2018-06-30,2018-08-04,2.79,2.24,0.55,24.5536,pre-market
2018-03-31,2018-05-05,2.14,2.07,0.07,3.3816,pre-market
2017-12-31,2018-02-24,1.35,1.76,-0.41,-23.2955,pre-market
2017-09-30,2017-11-03,1.4,1.58,-0.18,-11.3924,post-market
2017-06-30,2017-08-04,1.67,1.88,-0.21,-11.1702,post-market
2017-03-31,2017-05-05,1.44,1.76,-0.32,-18.1818,post-market
2016-12-31,2017-02-25,1.78,1.83,-0.05,-2.7322,pre-market
2016-09-30,2016-11-04,1.97,1.99,-0.02,-1.005,post-market
2016-06-30,2016-08-05,1.87,1.86,0.01,0.5376,post-market
2016-03-31,2016-05-06,1.52,1.81,-0.29,-16.0221,post-market
2015-12-31,2016-02-27,1.9,1.75,0.15,8.5714,pre-market
2015-09-30,2015-11-06,1.85,1.85,0,0,post-market
2015-06-30,2015-08-07,1.58,2.03,-0.45,-22.1675,post-market
2015-03-31,2015-05-01,1.72,1.62,0.1,6.1728,post-market
2014-12-31,2015-02-28,1.61,1.77,-0.16,-9.0395,pre-market
2014-09-30,2014-11-07,1.92,1.68,0.24,14.2857,post-market
2014-06-30,2014-08-01,1.76,1.71,0.05,2.924,pre-market
2014-03-31,2014-05-02,1.43,1.45,-0.02,-1.3793,pre-market
2013-12-31,2014-03-01,1.53,1.42,0.11,7.7465,pre-market
2013-09-30,2013-11-01,1.49,1.54,-0.05,-3.2468,pre-market
2013-06-30,2013-08-02,1.59,1.42,0.17,11.9718,pre-market
2013-03-31,2013-05-03,1.53,1.24,0.29,23.3871,pre-market
2012-12-31,2013-03-01,1.14,1.13,0.01,0.885,pre-market
2012-09-30,2012-11-02,1.37,1.38,-0.01,-0.7246,pre-market
2012-06-30,2012-08-03,1.5,1.25,0.25,20,pre-market
2012-03-31,2012-05-04,1.08,1.24,-0.16,-12.9032,pre-market
2011-12-31,2012-02-27,1.08,1.16,-0.08,-6.8966,pre-market
2011-09-30,2011-11-04,1.54,1.17,0.37,31.6239,pre-market
2011-06-30,2011-08-05,1.09,1.2,-0.11,-9.1667,pre-market
2011-03-31,2011-05-06,0.64,0.64,0,0,pre-market
2010-12-31,2011-02-26,1.22,1.2,0.02,1.6667,pre-market
2010-09-30,2010-11-05,1.13,1.31,-0.18,-13.7405,pre-market
2010-06-30,2010-08-06,1.24,1.01,0.23,22.7723,pre-market
2010-03-31,2010-05-07,0.93,0.71,0.22,30.9859,pre-market
2009-12-31,2010-02-27,0.872,0.8056,0.0664,8.2423,pre-market
2009-09-30,2009-11-06,0.8833,0.8722,0.0111,1.2726,pre-market
2009-06-30,2009-08-07,0.7647,0.8256,-0.0609,-7.3765,pre-market
2009-03-31,2009-05-08,0.7333,0.962,-0.2287,-23.7734,pre-market
2008-12-31,2009-02-25,1.45,0.991,0.459,46.3169,pre-market
2008-09-30,2008-11-07,0.8907,0.9528,-0.0621,-6.5176,pre-market
2008-06-30,2008-08-08,0.9767,0.9136,0.0631,6.9067,pre-market
2008-03-31,2008-05-02,0.8313,0.9847,-0.1534,-15.5783,pre-market
2007-12-31,2008-02-29,1.012,1.0707,-0.0587,-5.4824,pre-market
2007-09-30,2007-11-02,1.1033,1.0062,0.0971,9.6502,pre-market
2007-06-30,2007-08-03,1.0833,0.9719,0.1114,11.4621,pre-market
2007-03-31,2007-05-04,0.956,0.9648,-0.0088,-0.9121,pre-market
2006-12-31,2007-03-01,1.2393,0.9682,0.2711,28.0004,pre-market
2006-09-30,2006-11-03,1.1233,0.8291,0.2942,35.4843,pre-market
2006-06-30,2006-08-04,0.888,0.7227,0.1653,22.8726,pre-market
2006-03-31,2006-05-05,0.7733,0.7347,0.0386,5.2538,pre-market
2005-12-31,2006-03-04,0.7973,0.6217,0.1756,28.2451,pre-market
2005-09-30,2005-11-04,0.46,0.6707,-0.2107,-31.4149,pre-market
2005-06-30,2005-08-05,0.6967,0.6277,0.069,10.9925,pre-market
2005-03-31,2005-05-09,0.5907,0.6067,-0.016,-2.6372,pre-market
2004-12-31,2005-03-15,0.798,0.6093,0.1887,30.97,pre-market
2004-09-30,2004-11-05,0.268,0.499,-0.231,-46.2926,pre-market
2004-06-30,2004-08-06,0.6307,0.563,0.0677,12.0249,pre-market
2004-03-31,2004-05-07,0.492,0.616,-0.124,-20.1299,pre-market
2003-12-31,2004-03-01,0.6693,0.578,0.0913,15.7958,pre-market
2003-09-30,2003-11-07,0.5873,0.5247,0.0626,11.9306,pre-market
2003-06-30,2003-08-08,0.5747,0.5197,0.055,10.583,pre-market
2003-03-31,2003-05-09,0.5227,0.47,0.0527,11.2128,pre-market
2002-12-31,2003-03-08,0.4067,0.4783,-0.0716,-14.9697,pre-market
2002-09-30,2002-11-08,0.484,0.402,0.082,20.398,pre-market
2002-06-30,2002-08-09,0.4487,0.3667,0.082,22.3616,pre-market
2002-03-31,2002-05-10,0.356,0.2977,0.0583,19.5835,pre-market
2001-12-31,2002-03-12,0.1467,-0.2667,0.4134,155.0056,pre-market
2001-09-30,2001-11-09,-0.3907,0.2067,-0.5974,-289.0179,pre-market
2001-06-30,2001-08-10,0.154,0.1933,-0.0393,-20.3311,pre-market
2001-03-31,2001-03-31,0.2647,None,0,None,pre-market
2000-12-31,2000-12-31,0.4733,None,0,None,pre-market
2000-09-30,2000-11-10,0.1313,0.108,0.0233,21.5741,pre-market
2000-06-30,2000-08-11,0.1073,0.12,-0.0127,-10.5833,pre-market
2000-03-31,2000-03-31,0.3538,None,0,None,pre-market
1999-12-31,1999-12-31,0.0113,None,0,None,pre-market
1999-09-30,1999-09-30,0.1842,None,0,None,pre-market
1999-06-30,1999-06-30,0.2509,None,0,None,pre-market
1999-03-31,1999-03-31,0.2375,None,0,None,pre-market
1998-12-31,1998-12-31,0.296,None,0,None,pre-market
