fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2024-12-31,USD,86578000000,371433000000,284855000000,284855000000,59436000000,32711000000,None,27142000000,None,-5200000000,21825000000,5200000000,None,None,None,12855000000,110376000000,20815000000,None,89561000000,None,115576000000,128431000000,88995000000
2023-12-31,USD,208840000000,439337000000,230497000000,230497000000,120166000000,31495000000,None,88674000000,None,-4866000000,14284000000,5003000000,None,None,None,12486000000,120166000000,23019000000,None,77566000000,None,125169000000,137655000000,96223000000
2022-12-31,USD,177770000000,302089000000,124319000000,124319000000,37323000000,5550000000,None,264766000000,None,-4352000000,66036000000,4352000000,None,None,None,10899000000,-30576000000,-8518000000,None,-22058000000,None,-26985000000,-16086000000,-22819000000
2021-12-31,USD,354636000000,354636000000,114138000000,114138000000,111686000000,4201000000,None,242950000000,None,-4172000000,7465000000,4172000000,None,79537000000,None,10718000000,111686000000,20879000000,None,90807000000,None,-82425000000,-71707000000,89795000000
2020-12-31,USD,286256000000,245510000000,101091000000,101091000000,59044000000,3520000000,None,74294000000,None,-4083000000,8092000000,4083000000,None,41472000000,None,10596000000,55693000000,12440000000,None,43253000000,None,59044000000,69640000000,42521000000
2019-12-31,USD,327223000000,254616000000,107041000000,107041000000,106282000000,4003000000,None,105712000000,None,-3961000000,9240000000,3961000000,None,73783000000,None,10064000000,102696000000,20904000000,None,81792000000,None,106282000000,116346000000,81417000000
2018-12-31,USD,247837000000,247837000000,106083000000,106083000000,26456000000,4061000000,None,221381000000,None,-3853000000,7678000000,3853000000,None,-24622000000,None,9779000000,4001000000,-321000000,None,4322000000,None,7553000000,17332000000,4021000000
2017-12-31,USD,242137000000,242137000000,133832000000,133832000000,23838000000,16241000000,None,218299000000,None,-5394000000,6582000000,5394000000,None,2938000000,None,9188000000,23838000000,-21515000000,None,45353000000,None,28819000000,38007000000,44940000000
2016-12-31,USD,223604000000,223604000000,125396000000,125396000000,33667000000,1739000000,None,189937000000,None,-3497000000,6180000000,3497000000,None,923000000,None,8901000000,33667000000,9240000000,None,24427000000,None,36811000000,45712000000,24074000000
2015-12-31,USD,210821000000,210821000000,117594000000,117594000000,34946000000,13723000000,None,175875000000,None,None,None,3515000000,None,None,None,7779000000,34946000000,10532000000,None,24414000000,None,38130000000,45909000000,24083000000
2014-12-31,USD,194673000000,194673000000,111009000000,111009000000,28105000000,1523000000,None,166568000000,None,None,None,3253000000,None,None,None,7370000000,28105000000,7935000000,None,20170000000,None,31060000000,38430000000,19872000000
2013-12-31,USD,182150000000,182150000000,102210000000,102210000000,28796000000,11917000000,None,153354000000,None,None,None,2801000000,None,None,None,6508000000,28796000000,8951000000,None,19845000000,None,31228000000,37736000000,19476000000
2012-12-31,USD,162463000000,162463000000,75222000000,75222000000,22236000000,10503000000,None,140227000000,None,None,None,2744000000,None,None,None,5146000000,22236000000,6924000000,None,15312000000,None,24492000000,29638000000,14824000000
2011-12-31,USD,-1698000000,143688000000,145386000000,145386000000,15314000000,8670000000,None,-17012000000,None,None,None,2664000000,None,None,None,5492000000,15314000000,4568000000,None,None,None,17978000000,23470000000,10254000000
2010-12-31,USD,58060000000,136185000000,78125000000,78125000000,19051000000,7704000000,None,39009000000,None,None,None,2558000000,None,None,None,4279000000,19051000000,5607000000,None,None,None,21609000000,25888000000,12967000000
2009-12-31,USD,-12989000000,112493000000,125482000000,125482000000,11552000000,8117000000,None,-24541000000,None,None,None,1992000000,None,None,None,3127000000,11552000000,3538000000,None,None,None,13544000000,16671000000,8055000000
2008-12-31,USD,30848000000,107786000000,76938000000,76938000000,7574000000,8052000000,None,23274000000,None,None,None,1963000000,None,None,None,2810000000,7574000000,1978000000,None,None,None,9537000000,12347000000,4994000000
2007-12-31,USD,42359000000,118245000000,75886000000,75886000000,20161000000,7098000000,None,22198000000,None,None,None,1910000000,None,None,None,2407000000,20161000000,6594000000,None,None,None,22071000000,24478000000,13213000000
2006-12-31,USD,41437000000,98539000000,57102000000,57102000000,16778000000,5932000000,None,24659000000,None,None,None,1724000000,None,None,None,2066000000,16778000000,5505000000,None,None,None,18502000000,20568000000,11015000000
2005-12-31,USD,26259000000,81663000000,55404000000,55404000000,12791000000,5328000000,None,13468000000,None,None,None,723000000,None,None,None,982000000,12791000000,4159000000,None,None,None,13514000000,14496000000,8528000000
