fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-12-31,None,595281000000,206038000000,30708000000,30708000000,None,62886000000,389243000000,None,None,None,None,33380000000,None,None,96135000000,16309000000,None,180016000000,102745000000,12200000000,None,None,None,77271000000,None,None,None,None,59291000000,74436000000,None,415265000000,None,324055000000,None,12230000000
2024-12-31,USD,450256000000,163711000000,23466000000,23466000000,None,52340000000,286545000000,None,None,None,None,31885000000,None,37982000000,72191000000,15714000000,None,125172000000,89122000000,7987000000,None,None,2887000000,36050000000,14578000000,10883000000,None,None,25461000000,64430000000,4694000000,325084000000,None,245084000000,84800000000,12447000000
2023-12-31,USD,402392000000,171530000000,24048000000,24048000000,None,47964000000,230862000000,148436000000,None,None,None,29198000000,None,31008000000,86868000000,12650000000,None,119013000000,81814000000,7493000000,None,None,2791000000,37199000000,16634000000,11870000000,None,None,27121000000,64645000000,1616000000,283379000000,None,211247000000,76534000000,12722000000
2022-12-31,USD,365264000000,164795000000,21879000000,21879000000,2670000000,40258000000,200469000000,112668000000,None,2084000000,2084000000,28960000000,None,30492000000,91883000000,8105000000,None,109120000000,69300000000,5128000000,None,None,2477000000,39820000000,16822000000,12857000000,None,None,29679000000,48529000000,24605000000,256144000000,None,195563000000,68184000000,13159000000
2021-12-31,USD,359268000000,188143000000,20945000000,20945000000,1170000000,39304000000,171125000000,97599000000,None,1417000000,1417000000,22956000000,None,29549000000,118704000000,8020000000,None,107633000000,64254000000,6037000000,None,None,2189000000,43379000000,11389000000,14817000000,None,None,28395000000,51932000000,23305000000,251635000000,None,191484000000,61774000000,13553480000
2020-12-31,USD,319616000000,174296000000,26465000000,26465000000,728000000,31384000000,145320000000,84749000000,None,1445000000,1445000000,21175000000,None,20703000000,110229000000,5490000000,None,97072000000,56834000000,5589000000,None,None,1694000000,40238000000,11146000000,13932000000,None,None,26772000000,45523000000,22745000000,222544000000,None,163401000000,58510000000,13740560000
2019-12-31,USD,275909000000,152578000000,18498000000,18498000000,999000000,27492000000,123331000000,84587000000,None,1979000000,1979000000,20624000000,None,13078000000,101177000000,4412000000,None,74467000000,45221000000,5561000000,None,None,1199000000,29246000000,12009000000,3958000000,None,None,15967000000,36279000000,22991000000,201442000000,None,152122000000,50552000000,13971120000
2018-12-31,USD,232792000000,135676000000,16701000000,16701000000,1107000000,21193000000,97116000000,59719000000,None,2220000000,2220000000,17888000000,None,13859000000,92439000000,4236000000,None,55164000000,34620000000,4378000000,None,None,69000000,20544000000,62000000,3950000000,None,None,4081000000,28389000000,15268000000,177628000000,None,134885000000,45049000000,14066813595
2017-12-31,USD,197295000000,124308000000,10715000000,10715000000,749000000,18705000000,72987000000,42383000000,None,2692000000,2692000000,16747000000,None,7813000000,91156000000,2983000000,None,44793000000,24183000000,3137000000,None,None,16740000000,20610000000,26000000,3943000000,3969000000,None,20709000000,2874000000,15871000000,152502000000,0,113247000000,40247000000,14068883261
2016-12-31,USD,167497000000,105408000000,12918000000,12918000000,268000000,14232000000,62089000000,34234000000,None,3307000000,3307000000,16468000000,None,5878000000,73415000000,4575000000,None,28461000000,16756000000,2041000000,None,None,554000000,11705000000,0,3935000000,3935000000,None,4489000000,13062000000,7342000000,139036000000,0,105131000000,36307000000,13987786146
