fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-12-31,None,164713000000,None,None,None,None,21136000000,91447000000,None,None,None,-120291000000,-37388000000,None,None,None,None,10049000000,10049000000,None,None,None,None,None,None,None,None,132170000000
2024-12-31,USD,125299000000,None,None,None,None,15311000000,52535000000,None,None,None,-45536000000,-79733000000,None,None,None,None,7363000000,7363000000,None,None,None,None,-62222000000,None,None,None,100118000000
2023-12-31,USD,101746000000,None,None,None,None,11946000000,32251000000,None,2276000000,None,-27063000000,-72093000000,None,None,None,None,0,0,None,None,None,None,-61504000000,None,None,None,73795000000
2022-12-31,USD,91495000000,None,None,None,None,15928000000,31485000000,-2317000000,None,None,-20298000000,-69757000000,None,None,None,None,0,0,None,None,None,None,-59296000000,None,1440000000,None,59972000000
2021-12-31,USD,91652000000,None,None,None,None,12441000000,24640000000,-9095000000,7140000000,None,-35523000000,-61362000000,None,None,None,None,None,None,None,None,None,None,-50274000000,None,-5233000000,None,76033000000
2020-12-31,USD,65124000000,None,None,None,None,13697000000,22281000000,-6524000000,5813000000,None,-32773000000,-24408000000,None,None,None,None,None,None,None,None,None,None,-31149000000,None,7943000000,None,40269000000
2019-12-31,USD,54520000000,None,None,None,None,11781000000,23548000000,-4340000000,7822000000,None,-29491000000,-23209000000,None,None,None,None,None,None,None,None,None,None,-18396000000,None,1820000000,None,34343000000
2018-12-31,USD,47971000000,None,None,None,None,9035000000,25139000000,-2169000000,7890000000,None,-28504000000,-13179000000,None,None,None,None,None,None,None,None,None,None,-9075000000,None,5986000000,-302000000,30736000000
2017-12-31,USD,37091000000,None,None,None,None,6915000000,13184000000,-3768000000,3682000000,None,-31401000000,-8298000000,None,None,None,None,0,0,None,None,None,None,-4846000000,None,-2203000000,405000000,12662000000
2016-12-31,USD,36036000000,None,None,None,None,6144000000,10212000000,-2578000000,2420000000,None,-31165000000,-8332000000,None,None,None,None,0,0,None,None,None,None,-3693000000,None,-3631000000,-170000000,19478000000
2015-12-31,USD,26024000000,None,None,None,None,5063000000,9915000000,-2094000000,1618000000,None,-23711000000,-3677000000,None,None,None,None,0,0,None,None,None,None,-1780000000,None,-1798000000,-434000000,16348000000
2014-12-31,USD,22376000000,None,None,None,None,4979000000,10959000000,None,1461000000,None,-21055000000,-1439000000,None,None,None,None,0,0,None,None,None,None,-2069000000,None,None,None,14444000000
2013-12-31,USD,18659000000,None,None,None,None,3939000000,7358000000,None,-234000000,None,-13679000000,-857000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12920000000
2012-12-31,USD,16619000000,None,None,None,None,2962000000,3273000000,None,301000000,None,-13056000000,1229000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10737000000
2011-12-31,USD,14565000000,None,None,None,None,1851000000,3438000000,None,792000000,None,-19041000000,807000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9737000000
2010-12-31,USD,11081000000,None,None,None,None,1396000000,4018000000,None,545000000,None,-10680000000,3050000000,None,None,None,None,None,None,None,None,None,None,-801000000,None,None,None,8505000000
2009-12-31,USD,9316198000,None,None,None,None,1524308000,809888000,None,662842000,None,-8019205000,233412000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6520448000
2008-12-31,USD,7852857000,None,None,None,None,1499887000,2358461000,None,205775000,None,-5319422000,87567000,None,None,None,None,None,None,None,None,None,None,-71521000,None,None,None,4226858000
2007-12-31,USD,5775410000,None,None,None,None,967658000,2402840000,None,270526000,None,-3681589000,403067000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4203720000
2006-12-31,USD,3580508000,None,None,None,None,571939000,1902798000,None,None,None,-6899150000,2966398000,None,None,None,None,None,None,None,None,None,None,2064000000,None,None,None,3077446000
