date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2027-12-31,next fiscal year,12.9843,14.1000,11.6540,43.0000,12.9614,12.8680,12.7914,12.6035,0.0000,,11.0000,4.0000,518442686530.00,546309000000.00,475293000000.00,47.00
2026-12-31,historical fiscal year,11.2100,13.1100,10.3000,57.0000,11.2001,11.1834,11.1339,11.0378,3.0000,,14.0000,5.0000,457574664400.00,492818000000.00,430887000000.00,58.00
2026-06-30,next fiscal quarter,2.7073,2.9600,2.5100,35.0000,2.6995,2.6831,2.6766,2.6627,2.0000,,11.0000,4.0000,110552971970.00,113056523980.00,107353000000.00,31.00
2026-03-31,historical fiscal quarter,2.5380,2.7700,2.3600,38.0000,2.5308,2.5216,2.5156,2.5033,1.0000,,9.0000,4.0000,103897702150.00,106662000000.00,101169245000.00,35.00
2025-12-31,historical fiscal year,10.5870,11.0400,9.5000,58.0000,10.5877,10.5831,10.5717,10.5157,3.0000,,10.0000,2.0000,400356590490.00,413919000000.00,392268000000.00,59.00
2025-09-30,historical fiscal quarter,2.2620,2.4800,1.9719,48.0000,2.2878,2.3173,2.3274,2.3341,2.0000,,7.0000,11.0000,100140059280.00,107687000000.00,97600000000.00,44.00
2025-06-30,historical fiscal quarter,2.1852,2.4200,2.0000,46.0000,2.1730,2.1641,2.1631,2.1110,9.0000,,16.0000,0.0000,93976425500.00,95649400000.00,91693806000.00,39.00
2025-03-31,historical fiscal quarter,2.0058,2.3700,1.9000,42.0000,2.0101,2.0208,2.0219,2.0259,0.0000,,2.0000,11.0000,89152056270.00,90501000000.00,86782000000.00,35.00
2024-12-31,historical fiscal year,7.9953,8.3100,7.5200,59.0000,7.9913,7.9880,7.9790,7.9965,6.0000,,10.0000,7.0000,350056850670.00,353000000000.00,347355000000.00,53.00
2024-09-30,historical fiscal quarter,1.8400,1.9800,1.6400,41.0000,1.8400,1.8300,1.8300,1.8300,1.0000,,9.0000,1.0000,86302900000.00,87600000000.00,84875000000.00,38.00
2024-06-30,historical fiscal quarter,1.8400,2.0100,1.6600,38.0000,1.8400,1.8400,1.8300,1.6800,3.0000,,10.0000,0.0000,84191000000.00,85476400000.00,82392400000.00,36.00
2024-03-31,historical fiscal quarter,1.5100,1.6600,1.3500,40.0000,1.5100,1.5100,1.5100,1.4900,2.0000,,7.0000,0.0000,78591300000.00,79890000000.00,77037000000.00,35.00
2023-12-31,historical fiscal year,5.7400,6.1000,5.2600,48.0000,5.7400,5.7400,5.7400,5.7400,1.0000,,8.0000,1.0000,305827000000.00,308324000000.00,288493000000.00,46.00
2023-09-30,historical fiscal quarter,1.4500,1.5500,1.2700,37.0000,1.4500,1.4400,1.4400,1.3400,3.0000,,9.0000,0.0000,75943800000.00,77922700000.00,72863000000.00,32.00
2023-06-30,historical fiscal quarter,1.3400,1.5000,1.0600,37.0000,1.3400,1.3400,1.3400,1.2800,1.0000,,7.0000,0.0000,72817600000.00,74329000000.00,70692600000.00,32.00
2023-03-31,historical fiscal quarter,1.0700,1.2100,0.8700,36.0000,1.0700,1.0600,1.0800,1.1700,1.0000,,3.0000,3.0000,68904000000.00,71359000000.00,67270600000.00,31.00
2022-12-31,historical fiscal year,4.7000,4.8700,4.4500,44.0000,4.7000,4.7100,4.7200,4.7100,0.0000,,3.0000,3.0000,283358000000.00,285450000000.00,280587000000.00,41.00
2022-09-30,historical fiscal quarter,1.2500,1.5000,1.0600,36.0000,1.2700,1.2700,1.2700,1.3900,0.0000,,3.0000,1.0000,70605700000.00,73015000000.00,66467000000.00,31.00
2022-06-30,historical fiscal quarter,1.3000,1.5400,1.1200,34.0000,26.2500,26.4500,26.5500,27.8000,0.0000,,0.0000,3.0000,69987600000.00,72102000000.00,66847000000.00,31.00
2022-03-31,historical fiscal quarter,25.9600,31.6600,22.9400,34.0000,25.7300,25.8300,25.8500,25.0800,0.0000,,6.0000,1.0000,68096400000.00,70717500000.00,65585000000.00,32.00
2021-12-31,historical fiscal year,108.3900,113.5600,98.2400,41.0000,108.3900,108.6400,108.6900,100.9100,1.0000,1.0000,5.0000,0.0000,254084000000.00,257361000000.00,250300000000.00,39.00
2021-09-30,historical fiscal quarter,23.4800,30.6700,19.5000,32.0000,23.4400,23.4000,23.4800,20.2400,3.0000,0.0000,5.0000,,63335700000.00,67870000000.00,56500000000.00,31.00
2021-06-30,historical fiscal quarter,19.2100,24.4300,12.7100,32.0000,19.2100,19.2100,19.2400,15.5000,0.0000,0.0000,1.0000,,56018100000.00,58188000000.00,52563000000.00,30.00
2021-03-31,historical fiscal quarter,15.8200,19.4400,13.3300,32.0000,15.7400,15.8500,15.9300,13.8000,3.0000,1.0000,8.0000,,51701000000.00,55454500000.00,48534000000.00,29.00
2020-12-31,historical fiscal year,51.9400,55.1900,47.6500,35.0000,51.7300,51.5500,51.6700,51.7700,1.0000,1.0000,9.0000,,178792000000.00,180862000000.00,174900000000.00,34.00
2020-09-30,historical fiscal quarter,11.2900,14.6700,9.4300,34.0000,11.1800,11.1800,11.1500,10.6600,3.0000,0.0000,10.0000,,42898700000.00,44383000000.00,39929500000.00,31.00
2020-06-30,historical fiscal quarter,8.2100,10.2400,5.7300,33.0000,8.2300,8.1100,8.0600,8.0600,0.0000,2.0000,11.0000,,37367000000.00,38249200000.00,36254000000.00,28.00
2020-03-31,historical fiscal quarter,11.0600,14.4600,8.7800,36.0000,11.2700,12.1400,12.2300,12.2000,0.0000,6.0000,1.0000,,41288400000.00,43744000000.00,38236000000.00,30.00
2019-12-31,historical fiscal year,46.3000,47.5900,43.8100,42.0000,46.3100,46.3300,46.3300,46.2800,1.0000,1.0000,3.0000,,162760000000.00,163552000000.00,162222000000.00,39.00
2019-09-30,historical fiscal quarter,12.4200,15.0700,10.8300,37.0000,12.4000,12.4500,12.4500,12.4200,2.0000,0.0000,3.0000,,40324700000.00,41673000000.00,39667900000.00,32.00
2019-06-30,historical fiscal quarter,11.3000,13.3800,10.2800,37.0000,11.3000,11.2500,11.2500,11.4600,2.0000,2.0000,4.0000,,38149300000.00,39093100000.00,37450000000.00,32.00
2019-03-31,historical fiscal quarter,10.5600,11.8000,9.3200,32.0000,10.5600,10.5900,10.5900,10.4700,0.0000,2.0000,2.0000,,37336600000.00,37942000000.00,36908200000.00,28.00
2018-12-31,historical fiscal year,41.7800,43.8800,37.9400,34.0000,41.8100,41.9000,41.7400,41.7400,0.0000,5.0000,3.0000,,136478000000.00,136998000000.00,135572000000.00,35.00
2018-09-30,historical fiscal quarter,10.4200,11.9000,9.2000,35.0000,10.4300,10.4600,10.4500,10.4300,0.0000,2.0000,1.0000,,34044500000.00,34412000000.00,33565900000.00,31.00
2018-06-30,historical fiscal quarter,9.9000,10.6700,8.9700,36.0000,9.9300,9.9300,9.9300,9.7700,0.0000,1.0000,2.0000,,31695700000.00,33051000000.00,30809000000.00,29.00
2018-03-31,historical fiscal quarter,9.3100,10.0700,8.2400,36.0000,9.3300,9.3300,9.3300,9.2500,1.0000,1.0000,1.0000,,30309000000.00,31518000000.00,29542000000.00,29.00
2017-12-31,historical fiscal year,32.3100,34.6000,29.9200,39.0000,32.3300,32.2900,32.3000,32.0500,0.0000,2.0000,5.0000,,110396000000.00,110961000000.00,109808000000.00,34.00
2017-09-30,historical fiscal quarter,8.3300,9.0700,7.4900,37.0000,8.3500,8.3200,8.3400,8.4500,3.0000,1.0000,8.0000,,27200400000.00,27682000000.00,26753300000.00,29.00
2017-06-30,historical fiscal quarter,8.2500,8.6900,7.5400,19.0000,8.2500,8.2500,8.2400,8.0800,0.0000,12.0000,2.0000,,25640200000.00,26134000000.00,25174000000.00,32.00
