contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
GOOGL260206C00100000,GOOGL,2026-02-06,100.00,call,233.51,232.90,230.60,1,235.20,1,3,1,2026-02-04,0.01488,1.00000,0.00000,-0.00997,0.00000,0.00548
GOOGL260206P00100000,GOOGL,2026-02-06,100.00,put,0.00,0.01,0.00,0,0.01,1000,0,9,2026-02-04,4.99037,-0.00029,0.00001,-0.03281,0.00026,-0.00001
GOOGL260206C00105000,GOOGL,2026-02-06,105.00,call,228.37,228.40,226.45,1,230.35,1,9,0,2026-02-04,6.79520,0.99456,0.00009,-0.66271,0.00384,0.00563
GOOGL260206P00105000,GOOGL,2026-02-06,105.00,put,0.00,0.01,0.00,0,0.01,1000,0,0,2026-02-04,4.79525,-0.00030,0.00001,-0.03286,0.00027,-0.00001
GOOGL260206C00110000,GOOGL,2026-02-06,110.00,call,223.32,223.30,221.25,1,225.35,1,17,2,2026-02-04,6.24887,0.99569,0.00008,-0.49880,0.00312,0.00593
GOOGL260206P00110000,GOOGL,2026-02-06,110.00,put,0.00,0.01,0.00,0,0.01,1000,0,0,2026-02-04,4.60989,-0.00032,0.00001,-0.03296,0.00029,-0.00001
GOOGL260206C00115000,GOOGL,2026-02-06,115.00,call,218.36,218.32,216.45,1,220.20,1,6,0,2026-02-04,6.06351,0.99526,0.00009,-0.52696,0.00340,0.00620
GOOGL260206P00115000,GOOGL,2026-02-06,115.00,put,0.00,0.01,0.00,0,0.01,1000,0,0,2026-02-04,4.43428,-0.00033,0.00001,-0.03318,0.00030,-0.00001
GOOGL260206C00120000,GOOGL,2026-02-06,120.00,call,213.36,213.40,211.45,1,215.35,1,8,1,2026-02-04,6.03424,0.99395,0.00012,-0.64900,0.00422,0.00645
GOOGL260206P00120000,GOOGL,2026-02-06,120.00,put,0.00,0.01,0.00,0,0.01,1000,0,1,2026-02-04,4.25868,-0.00034,0.00001,-0.03274,0.00031,-0.00001
GOOGL260206C00125000,GOOGL,2026-02-06,125.00,call,208.37,208.35,206.35,1,210.35,1,5,0,2026-02-04,5.69279,0.99440,0.00011,-0.57304,0.00394,0.00673
GOOGL260206P00125000,GOOGL,2026-02-06,125.00,put,0.00,0.01,0.00,0,0.01,1000,0,1,2026-02-04,4.09283,-0.00035,0.00001,-0.03251,0.00032,-0.00001
GOOGL260206C00130000,GOOGL,2026-02-06,130.00,call,203.36,203.35,201.35,1,205.35,1,10,1,2026-02-04,5.46840,0.99425,0.00012,-0.56490,0.00404,0.00700
GOOGL260206P00130000,GOOGL,2026-02-06,130.00,put,0.01,0.01,0.00,0,0.01,1000,1,1,2026-02-04,3.93673,-0.00037,0.00001,-0.03257,0.00033,-0.00001
GOOGL260206C00135000,GOOGL,2026-02-06,135.00,call,198.42,198.00,195.65,1,200.35,1,4,1,2026-02-04,0.01488,1.00000,0.00000,-0.01346,0.00000,0.00740
GOOGL260206P00135000,GOOGL,2026-02-06,135.00,put,0.06,0.01,0.00,0,0.05,2,1,0,2026-02-04,3.78064,-0.00038,0.00001,-0.03206,0.00034,-0.00001
GOOGL260206C00140000,GOOGL,2026-02-06,140.00,call,0.00,193.02,190.70,1,195.35,1,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.01396,0.00000,0.00767
