fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-12-31,None,240301000000,402836000000,162535000000,162535000000,129039000000,21482000000,61087000000,111262000000,None,None,None,None,None,None,None,None,158826000000,26656000000,None,None,None,None,129039000000,132170000000
2024-12-31,USD,203712000000,350018000000,146306000000,146306000000,112390000000,14188000000,49326000000,91322000000,None,4214000000,4482000000,268000000,None,None,None,15311000000,119815000000,19697000000,None,100118000000,None,120083000000,135394000000,100118000000
2023-12-31,USD,174062000000,307394000000,133332000000,133332000000,84293000000,16425000000,45427000000,89769000000,None,3085000000,3414000000,308000000,None,None,None,11946000000,85717000000,11922000000,None,66732000000,None,86025000000,97971000000,73795000000
2022-12-31,USD,156633000000,282836000000,126203000000,126203000000,74842000000,15724000000,39500000000,81791000000,None,1817000000,2174000000,357000000,None,-3514000000,None,13475000000,71328000000,11356000000,None,59972000000,None,71685000000,85160000000,59972000000
2021-12-31,USD,146698000000,257637000000,110939000000,110939000000,78714000000,13510000000,31562000000,67984000000,None,1153000000,1499000000,346000000,None,12020000000,None,12441000000,90734000000,14701000000,None,76033000000,None,91080000000,103521000000,76033000000
2020-12-31,USD,97795000000,182527000000,84732000000,84732000000,41224000000,11052000000,27573000000,56571000000,None,1730000000,1865000000,135000000,None,6858000000,None,13697000000,48082000000,7813000000,None,40269000000,None,48217000000,61914000000,40269000000
2019-12-31,USD,89961000000,161857000000,71896000000,71896000000,34231000000,9551000000,26018000000,55730000000,None,2327000000,2427000000,100000000,None,5394000000,None,11781000000,39625000000,5282000000,None,34343000000,None,39725000000,51506000000,34343000000
2018-12-31,USD,77270000000,136819000000,59549000000,59549000000,27524000000,6923000000,21419000000,49746000000,None,1764000000,1878000000,114000000,None,8592000000,None,9035000000,34913000000,4177000000,None,30736000000,None,35027000000,44062000000,30736000000
2017-12-31,USD,65272000000,110855000000,45583000000,45583000000,26178000000,6840000000,16625000000,39094000000,None,1203000000,1312000000,109000000,None,1047000000,None,6915000000,27193000000,14531000000,None,12662000000,None,27302000000,34217000000,12662000000
2016-12-31,USD,55134000000,90272000000,35138000000,35138000000,23716000000,6985000000,13948000000,31418000000,None,1096000000,1220000000,124000000,None,434000000,None,6144000000,24150000000,4672000000,None,19478000000,None,24274000000,30418000000,19478000000
2015-12-31,USD,46825000000,74989000000,28164000000,28164000000,19360000000,6136000000,12282000000,27465000000,None,None,35000000,104000000,None,291000000,None,5063000000,19651000000,3303000000,None,16348000000,None,19755000000,24818000000,16348000000
2014-12-31,USD,40310000000,66001000000,25691000000,25691000000,16496000000,5851000000,9832000000,23814000000,None,None,None,101000000,None,None,None,4979000000,17259000000,3639000000,None,13620000000,None,17360000000,22339000000,14136000000
2013-12-31,USD,33526000000,55519000000,21993000000,21993000000,15403000000,4432000000,7137000000,18123000000,None,None,None,81000000,None,None,None,3939000000,15899000000,2739000000,None,None,None,15980000000,19919000000,12733000000
2012-12-31,USD,28863000000,46039000000,17176000000,17176000000,13834000000,3481000000,6083000000,15029000000,None,None,None,85000000,None,None,None,2962000000,14469000000,2916000000,None,None,None,14554000000,17516000000,10737000000
2011-12-31,USD,24717000000,37905000000,13188000000,13188000000,11742000000,2724000000,5162000000,12975000000,None,None,None,58000000,None,None,None,1851000000,12326000000,2589000000,None,None,None,12384000000,14235000000,9737000000
2010-12-31,USD,18904000000,29321000000,10417000000,10417000000,10381000000,1962000000,3762000000,8523000000,None,None,None,5000000,None,None,None,1396000000,10796000000,2291000000,None,None,None,10801000000,12197000000,8505000000
2009-12-31,USD,14807000000,23651000000,8844000000,8844000000,8312000000,1668000000,2843000000,6495000000,None,None,None,229673000,None,None,None,1524000000,8381000000,1861000000,None,None,None,8381000000,9905000000,6520000000
2008-12-31,USD,13174000000,21796000000,8622000000,8622000000,6632000000,1803000000,2793000000,6542000000,None,None,None,389533000,None,None,None,1500000000,5853000000,1626000000,None,None,None,6632000000,8132000000,4227000000
2007-12-31,USD,9944901000,16593986000,6649085000,6649085000,5084400000,1279250000,2119985000,4860501000,None,None,None,1203000,None,None,None,967658000,5673980000,1470260000,None,None,None,5084400000,6052058000,4203720000
2006-12-31,USD,6379890000,10604917000,4225027000,4225027000,3549996000,751787000,1228589000,2829894000,None,None,None,0,None,None,None,571939000,4011040000,933594000,None,None,None,3549996000,4121935000,3077446000
