title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
"Why Alphabet (GOOGL) stock crashed today, Feb 5: what happened to Alphabet shares as the US stock market t",https://m.economictimes.com/news/international/us/why-alphabet-googl-stock-crashed-today-feb-5-what-happened-to-alphabet-shares-as-the-us-stock-market-turned-deep-in-red/articleshow/127942899.cms,20260205T153636,['Piyush Shukla'],"Alphabet (GOOGL) stock plummeted today, February 5th, following a massive $185 billion capital expenditure forecast for 2026, which nearly doubles its previous spending and ignited fears over profitability despite beating revenue estimates. This aggressive ""AI-first"" pivot, aimed at bolstering AI infrastructure, caused a widespread selloff felt across the US stock market, including the S&P 500, Dow Jones, and Nasdaq Composite, as investors questioned if AI returns could justify such historic costs. The decline also impacted other tech stocks, commodities like silver and gold, and even Bitcoin, reflecting broader market concerns about valuations and future economic growth amidst higher-than-expected jobless claims.","https://img.etimg.com/thumb/msid-127943141,width-300,height-225,imgsize-80308,resizemode-75/why-alphabet-googl-stock-crashed-today-feb-5-what-happened-to-alphabet-shares-as-the-us-stock-market-turned-deep-in-red.jpg",The Economic Times,General,The Economic Times,"[{'topic': 'earnings', 'relevance_score': '0.930429'}, {'topic': 'financial_markets', 'relevance_score': '0.932468'}, {'topic': 'economy_macro', 'relevance_score': '0.826810'}, {'topic': 'technology', 'relevance_score': '0.807231'}]",-0.394496,Bearish,"[{'ticker': 'GOOGL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.409164', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'QCOM', 'relevance_score': '0.746550', 'ticker_sentiment_score': '-0.333267', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'EL', 'relevance_score': '0.621111', 'ticker_sentiment_score': '-0.423527', 'ticker_sentiment_label': 'Bearish'}]"
2 Fidelity ETFs To Buy In February,https://247wallst.com/investing/2026/02/05/2-fidelity-etfs-to-buy-in-february/,20260205T144844,['Vandita Jadeja'],"This article recommends two Fidelity ETFs, the Fidelity Blue Chip Growth ETF (FBCG) and the Fidelity Disruptive Technology ETF (FDTX), as strong buys for February. FBCG focuses on large-cap growth stocks, particularly in the tech sector, with strong returns over the past three years. FDTX invests in disruptive technology companies, showing significant growth since its 2020 launch and concentrating on the semiconductor and software industries.",https://247wallst.com/wp-content/uploads/2015/12/fidelityinvestmentslogo-e1451507178449.jpg,24/7 Wall St.,General,24/7 Wall St.,"[{'topic': 'financial_markets', 'relevance_score': '0.935298'}, {'topic': 'technology', 'relevance_score': '0.818634'}, {'topic': 'finance', 'relevance_score': '0.702504'}, {'topic': 'earnings', 'relevance_score': '0.619226'}]",0.399905,Bullish,"[{'ticker': 'FDTX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.380761', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.707033', 'ticker_sentiment_score': '0.440519', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.666988', 'ticker_sentiment_score': '0.435601', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.623907', 'ticker_sentiment_score': '0.344565', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Envestnet Asset Management Inc. Decreases Holdings in American Electric Power Company, Inc. $AEP",https://www.marketbeat.com/instant-alerts/filing-envestnet-asset-management-inc-decreases-holdings-in-american-electric-power-company-inc-aep-2026-02-05/,20260205T131835,['MarketBeat'],"Envestnet Asset Management Inc. reduced its stake in American Electric Power Company, Inc. (NASDAQ:AEP) by 0.4% in the third quarter, now owning 3,359,755 shares valued at $377.97 million. This comes as American Electric Power declared a quarterly dividend of $0.95 per share, providing an annualized yield of 3.2%. Analysts currently maintain a consensus ""Moderate Buy"" rating for AEP with an average price target of $127.39.",https://www.marketbeat.com/logos/american-electric-power-company-inc-logo-1200x675.png?v=20231214130144,MarketBeat,General,MarketBeat,"[{'topic': 'financial_markets', 'relevance_score': '0.912030'}, {'topic': 'earnings', 'relevance_score': '0.818386'}, {'topic': 'energy_transportation', 'relevance_score': '0.718959'}]",0.161763,Somewhat-Bullish,"[{'ticker': 'AEP', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.226483', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSN', 'relevance_score': '0.586754', 'ticker_sentiment_score': '0.244849', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NOW', 'relevance_score': '0.582055', 'ticker_sentiment_score': '0.253236', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.538027', 'ticker_sentiment_score': '0.035626', 'ticker_sentiment_label': 'Neutral'}]"
The 5 Biggest Changes You'll Notice At Kroger In 2026,https://www.tastingtable.com/2093474/kroger-changes-coming-2026/,20260205T130710,['Deepak Narayanan'],"Kroger is poised for significant changes in 2026, including a new partnership with Uber for faster grocery delivery, an expanded Simple Truth brand focusing on high-protein products, and the integration of AI-powered personal shopping assistants. The company will also introduce a Verified Savings Program for discounts to those in need and plans to open more Kroger Marketplace stores after strategic closures in 2025. These initiatives aim to enhance customer experience, promote healthier eating, and expand Kroger's market presence following its failed merger with Albertsons.",https://www.tastingtable.com/img/gallery/kroger-changes-coming-2026/intro-1770242085.jpg,Tasting Table,General,Tasting Table,"[{'topic': 'retail_wholesale', 'relevance_score': '0.938412'}, {'topic': 'technology', 'relevance_score': '0.834782'}, {'topic': 'mergers_and_acquisitions', 'relevance_score': '0.727337'}]",0.271411,Somewhat-Bullish,"[{'ticker': 'KR', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.347709', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'UBER', 'relevance_score': '0.748408', 'ticker_sentiment_score': '0.305051', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WMT', 'relevance_score': '0.608666', 'ticker_sentiment_score': '0.106816', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.648724', 'ticker_sentiment_score': '0.200906', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Form FWP JPMorgan Chase Financial Filed by: JPMorgan Chase Financial Co. LLC,https://www.streetinsider.com/SEC+Filings/Form+FWP+JPMorgan+Chase+Financial+Filed+by%3A+JPMorgan+Chase+Financial+Co.+LLC/25949930.html,20260205T112132,[],"JPMorgan Chase Financial Company LLC has filed a Form FWP (Free Writing Prospectus) with the SEC regarding its 2-year RTY/SPX Uncapped Accelerated Barrier Notes. These notes are linked to the Russell 2000 Index and the S&P 500 Index, offering accelerated returns with a barrier feature, but investors are exposed to the credit risk of JPMorgan Chase Financial Company LLC and JPMorgan Chase & Co. and could lose principal. The document provides a summary of terms, hypothetical returns, selected risks, and additional SEC filing information.",,StreetInsider,General,StreetInsider,"[{'topic': 'financial_markets', 'relevance_score': '0.903406'}, {'topic': 'finance', 'relevance_score': '0.742297'}]",-0.155893,Somewhat-Bearish,"[{'ticker': 'JPM', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.038057', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMD', 'relevance_score': '0.705550', 'ticker_sentiment_score': '-0.312267', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'QCOM', 'relevance_score': '0.642139', 'ticker_sentiment_score': '-0.223291', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'GOOGL', 'relevance_score': '0.611390', 'ticker_sentiment_score': '-0.116967', 'ticker_sentiment_label': 'Neutral'}]"
"After Earnings, Is Tesla Stock a Buy, a Sell, or Fairly Valued?",https://www.morningstar.com/stocks/after-earnings-is-tesla-stock-buy-sell-or-fairly-valued-11,20260205T110642,"['Seth Goldstein', 'CFA']","Morningstar maintains a narrow economic moat rating and a ""Very High"" uncertainty rating for Tesla. Following its Q4 earnings, Morningstar raised its fair value estimate for Tesla to $400 per share from $300, driven by robotaxi valuation, autonomous driving software adoption, and the humanoid robot business. Despite this, Tesla shares are currently considered fairly valued, trading about 10% above the fair value estimate, placing them in 3-star territory due to expected volatility as new products progress.",https://cloudfront-us-east-1.images.arcpublishing.com/morningstar/ECL2DOEB4ZHYZJZBQBIMCKZ2HM.jpg,Morningstar,General,Morningstar,"[{'topic': 'earnings', 'relevance_score': '0.904075'}, {'topic': 'financial_markets', 'relevance_score': '0.812188'}, {'topic': 'energy_transportation', 'relevance_score': '0.744727'}, {'topic': 'technology', 'relevance_score': '0.614442'}]",0.055042,Neutral,"[{'ticker': 'TSLA', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.065749', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.615629', 'ticker_sentiment_score': '-0.115125', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.557477', 'ticker_sentiment_score': '0.056886', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GM', 'relevance_score': '0.578167', 'ticker_sentiment_score': '0.085930', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'F', 'relevance_score': '0.554200', 'ticker_sentiment_score': '0.095354', 'ticker_sentiment_label': 'Neutral'}]"
Alphabet Inc. $GOOGL Shares Sold by First Business Financial Services Inc.,https://www.marketbeat.com/instant-alerts/filing-alphabet-inc-googl-shares-sold-by-first-business-financial-services-inc-2026-02-05/,20260205T105746,['MarketBeat'],"First Business Financial Services Inc. reduced its stake in Alphabet Inc. (NASDAQ:GOOGL) by 5.8% in Q3, selling 2,372 shares to hold 38,376 shares valued at $9.3 million. Other institutional investors also adjusted their positions, with hedge funds and institutional investors collectively owning 40.03% of the company's stock. Analysts maintain a ""Moderate Buy"" rating for Alphabet, with a consensus target price of $336.60, despite recent insider selling and concerns about high capital expenditure projections for 2026.",https://www.marketbeat.com/logos/google-inc-logo-1200x675.png,MarketBeat,General,MarketBeat,"[{'topic': 'earnings', 'relevance_score': '0.909425'}, {'topic': 'financial_markets', 'relevance_score': '0.805610'}, {'topic': 'technology', 'relevance_score': '0.810711'}]",0.149055,Neutral,"[{'ticker': 'FBIZ', 'relevance_score': '0.313339', 'ticker_sentiment_score': '0.020193', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.905202', 'ticker_sentiment_score': '0.333199', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AVGO', 'relevance_score': '0.644763', 'ticker_sentiment_score': '0.126067', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.633172', 'ticker_sentiment_score': '0.148566', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.622747', 'ticker_sentiment_score': '0.229981', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Academy Capital Management Sells 14,381 Shares of Alphabet Inc. $GOOG",https://www.marketbeat.com/instant-alerts/filing-academy-capital-management-sells-14381-shares-of-alphabet-inc-goog-2026-02-05/,20260205T104725,['MarketBeat'],"Academy Capital Management reduced its holdings in Alphabet Inc. (NASDAQ:GOOG) by 6.4% in the third quarter, selling 14,381 shares and now owning 209,850 shares valued at $51.1 million. This reduction comes amidst mixed sentiment for Alphabet, with positive signs from strong Q4 earnings, accelerating Cloud growth, and significant Waymo funding, contrasted by high 2026 capital expenditure forecasts and some insider selling. Despite Academy Capital Management's sale, many other institutional investors increased their stakes in Alphabet during recent quarters.",https://www.marketbeat.com/logos/google-inc-logo-1200x675.png,MarketBeat,General,MarketBeat,"[{'topic': 'earnings', 'relevance_score': '1.000000'}, {'topic': 'financial_markets', 'relevance_score': '0.940980'}, {'topic': 'technology', 'relevance_score': '0.824663'}]",0.048794,Neutral,"[{'ticker': 'GOOGL', 'relevance_score': '0.335038', 'ticker_sentiment_score': '0.035800', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.041896', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.645836', 'ticker_sentiment_score': '0.116742', 'ticker_sentiment_label': 'Neutral'}]"
"Allianz Asset Management GmbH Purchases 69,290 Shares of Expeditors International of Washington, Inc. $EXPD",https://www.marketbeat.com/instant-alerts/filing-allianz-asset-management-gmbh-purchases-69290-shares-of-expeditors-international-of-washington-inc-expd-2026-02-05/,20260205T092415,['MarketBeat'],"Allianz Asset Management GmbH increased its stake in Expeditors International of Washington (NASDAQ:EXPD) by 14.0% in the third quarter, acquiring an additional 69,290 shares and now owning 565,430 shares valued at $69.32 million. The company's stock trades at $165.03 with a market capitalization of $22.12 billion, and institutional investors collectively own 94.02% of its shares. Analysts have a ""Reduce"" consensus rating with an average target price of $134.10, despite some recent price target increases.",https://www.marketbeat.com/logos/expeditors-international-of-washington-inc-logo-1200x675.png?v=20221104115253,MarketBeat,General,MarketBeat,"[{'topic': 'financial_markets', 'relevance_score': '1.000000'}, {'topic': 'earnings', 'relevance_score': '0.914737'}, {'topic': 'energy_transportation', 'relevance_score': '0.826028'}, {'topic': 'finance', 'relevance_score': '0.733919'}, {'topic': 'economy_macro', 'relevance_score': '0.629112'}]",0.134347,Neutral,"[{'ticker': 'EXPD', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.054661', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'STZ', 'relevance_score': '0.607756', 'ticker_sentiment_score': '0.295002', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CVX', 'relevance_score': '0.663710', 'ticker_sentiment_score': '0.088200', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.603023', 'ticker_sentiment_score': '0.329879', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JPM', 'relevance_score': '0.551367', 'ticker_sentiment_score': '-0.126241', 'ticker_sentiment_label': 'Neutral'}]"
Alphabet Earnings: Continued Momentum on Cloud and Search as Capital Expenses Set to Mount,https://global.morningstar.com/en-ca/stocks/alphabet-earnings-continued-momentum-cloud-search-capital-expenses-set-mount,20260205T085856,"['Malik Ahmed Khan', 'CFA']","Alphabet reported strong fourth-quarter earnings with sales up 18%, driven significantly by Google Cloud's 48% growth, illustrating the company's success in integrating AI. Despite upbeat results, management projects substantial capital expenditures of USD 180 billion in 2026, a 97% year-over-year increase, primarily due to AI investments. Morningstar maintains a USD 340 fair value estimate for Alphabet, viewing it as a clear AI leader with a fairly valued stock.",https://cloudfront-us-east-1.images.arcpublishing.com/morningstar/4FVFILWRQFBBXNN46NLDWT4K4M.jpg,Morningstar Canada,General,Morningstar Canada,"[{'topic': 'earnings', 'relevance_score': '1.000000'}, {'topic': 'technology', 'relevance_score': '0.917648'}, {'topic': 'financial_markets', 'relevance_score': '0.722034'}]",0.192665,Somewhat-Bullish,"[{'ticker': 'GOOGL', 'relevance_score': '0.954696', 'ticker_sentiment_score': '0.333527', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.967219', 'ticker_sentiment_score': '0.321639', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ABBV', 'relevance_score': '0.554762', 'ticker_sentiment_score': '-0.238157', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'META', 'relevance_score': '0.522606', 'ticker_sentiment_score': '0.259534', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
