date,shares_outstanding_diluted,shares_outstanding_basic
2025-12-31,12228000000,12228000000
2025-09-30,12203000000,12203000000
2025-06-30,12198000000,12198000000
2025-03-31,12291000000,12183000000
2024-12-31,12348000000,12229000000
2024-09-30,12419000000,12290000000
2024-06-30,12495000000,12343000000
2024-03-31,13396000000,12415000000
2023-12-31,13476000000,12489000000
2023-09-30,13571000000,12581000000
2023-06-30,13643000000,12668000000
2023-03-31,13706000000,12781000000
2022-12-31,13833000000,12898000000
2022-09-30,13982000000,13018000000
2022-06-30,14126000000,13133000000
2022-03-31,712086000,660171000
2021-12-31,717347000,662664000
2021-09-30,721923000,665758000
2021-06-30,725304000,668958000
2021-03-31,727911000,673220000
2020-12-31,728899000,675581000
2020-09-30,731959000,679449000
2020-06-30,733379000,681768000
2020-03-31,738691000,686465000
2019-12-31,741654000,688804000
2019-09-30,744714000,692741000
2019-06-30,746479000,693969000
2019-03-31,747461000,694869000
2018-12-31,747593000,695239000
2018-09-30,750744000,695634000
2018-06-30,750162000,694935000
2018-03-31,752090000,694752000
2017-12-31,752098000,694605000
2017-09-30,750794000,693485000
2017-06-30,750636000,691959000
2017-03-31,749337000,691555000
2016-12-31,748021000,689815000
2016-09-30,746953000,687561000
2016-06-30,746075000,686219000
2016-03-31,749226000,687518000
2015-12-31,747681000,687536000
2015-09-30,745688000,686435000
2015-06-30,742992000,683617000
2015-03-31,742344000,680915000
2014-12-31,742130000,678941000
2014-09-30,742838000,677097000
