,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,31758933.0,494748.0,3703423.0,27469273.0
Ordinary Shares Number,11076326415.0,11107590601.0,11104381925.0,11080616075.0
Share Issued,11108085348.0,11108085349.0,11108085348.0,11108085348.0
Net Debt,249403000000.0,220120000000.0,213312000000.0,91049000000.0
Total Debt,516840000000.0,451834000000.0,427962000000.0,321219000000.0
Tangible Book Value,187093000000.0,166813000000.0,144603000000.0,131754000000.0
Invested Capital,724249000000.0,638709000000.0,591750000000.0,468759000000.0
Net Tangible Assets,187093000000.0,166813000000.0,144603000000.0,131754000000.0
Capital Lease Obligations,3681000000.0,3302000000.0,3929000000.0,5324000000.0
Common Stock Equity,211090000000.0,190177000000.0,167717000000.0,152864000000.0
Total Capitalization,489078000000.0,451685000000.0,433591000000.0,342747000000.0
Total Equity Gross Minority Interest,221284000000.0,199050000000.0,177107000000.0,164476000000.0
Minority Interest,10194000000.0,8873000000.0,9390000000.0,11612000000.0
Stockholders Equity,211090000000.0,190177000000.0,167717000000.0,152864000000.0
Gains Losses Not Affecting Retained Earnings,121270000000.0,99459000000.0,77059000000.0,62663000000.0
Other Equity Adjustments,121270000000.0,99459000000.0,77059000000.0,62663000000.0
Treasury Stock,909000000.0,11000000.0,71000000.0,528000000.0
Retained Earnings,,,,0.0
Capital Stock,90729000000.0,90729000000.0,90729000000.0,90729000000.0
Common Stock,90729000000.0,90729000000.0,90729000000.0,90729000000.0
Total Liabilities Net Minority Interest,2633191000000.0,2344050000000.0,2143959000000.0,1904730000000.0
Derivative Product Liabilities,85413000000.0,52475000000.0,76861000000.0,63204000000.0
Employee Benefits,17579000000.0,15833000000.0,15098000000.0,12306000000.0
Non Current Pension And Other Postretirement Benefit Plans,2361000000.0,2772000000.0,2320000000.0,2209000000.0
Non Current Deferred Liabilities,1861000000.0,1876000000.0,3082000000.0,3558000000.0
Non Current Deferred Revenue,1258000000.0,1316000000.0,2737000000.0,3278000000.0
Non Current Deferred Taxes Liabilities,603000000.0,560000000.0,345000000.0,280000000.0
Long Term Debt And Capital Lease Obligation,281669000000.0,264810000000.0,269803000000.0,195207000000.0
Long Term Capital Lease Obligation,3681000000.0,3302000000.0,3929000000.0,5324000000.0
Long Term Debt,277988000000.0,261508000000.0,265874000000.0,189883000000.0
Long Term Provisions,24137000000.0,23942000000.0,23159000000.0,24792000000.0
Current Debt And Capital Lease Obligation,235171000000.0,187024000000.0,158159000000.0,126012000000.0
Current Debt,235171000000.0,187024000000.0,158159000000.0,126012000000.0
Other Current Borrowings,235171000000.0,187024000000.0,158159000000.0,126012000000.0
Current Provisions,2260000000.0,1865000000.0,2055000000.0,2348000000.0
Payables And Accrued Expenses,16216000000.0,12685000000.0,11709000000.0,9606000000.0
Payables,16216000000.0,12685000000.0,11709000000.0,9606000000.0
Other Payable,5076000000.0,3435000000.0,4730000000.0,3183000000.0
Total Tax Payable,11140000000.0,9250000000.0,6979000000.0,6423000000.0
Income Tax Payable,11140000000.0,9250000000.0,6979000000.0,6423000000.0
Total Assets,2854475000000.0,2543100000000.0,2321066000000.0,2069206000000.0
Defined Pension Benefit,301000000.0,343000000.0,411000000.0,493000000.0
Investments And Advances,994440000000.0,894310000000.0,708903000000.0,606823000000.0
Available For Sale Securities,853911000000.0,736323000000.0,556743000000.0,477862000000.0
Trading Securities,24152000000.0,18655000000.0,17969000000.0,17218000000.0
Long Term Equity Investment,10074000000.0,9293000000.0,7443000000.0,6121000000.0
Goodwill And Other Intangible Assets,23997000000.0,23364000000.0,23114000000.0,21110000000.0
Other Intangible Assets,15648000000.0,15529000000.0,15564000000.0,13288000000.0
Goodwill,8349000000.0,7835000000.0,7550000000.0,7822000000.0
Net PPE,13263000000.0,12486000000.0,11630000000.0,12009000000.0
Accumulated Depreciation,-16290000000.0,-15293000000.0,-15619000000.0,-15068000000.0
Gross PPE,29553000000.0,27779000000.0,27249000000.0,27077000000.0
Other Properties,16291000000.0,15357000000.0,6772000000.0,19705000000.0
Machinery Furniture Equipment,3524000000.0,3347000000.0,13345000000.0,
Buildings And Improvements,7741000000.0,7036000000.0,5933000000.0,6245000000.0
Land And Improvements,1997000000.0,2039000000.0,1199000000.0,1127000000.0
Prepaid Assets,8503000000.0,7714000000.0,6338000000.0,5243000000.0
Receivables,100246000000.0,96514000000.0,78372000000.0,66297000000.0
Other Receivables,96166000000.0,92730000000.0,74762000000.0,62458000000.0
Accounts Receivable,4080000000.0,3784000000.0,3610000000.0,3839000000.0
Other Short Term Investments,106303000000.0,130039000000.0,126748000000.0,105622000000.0
Cash And Cash Equivalents,263756000000.0,228412000000.0,210721000000.0,224846000000.0
Cash Financial,36127000000.0,32001000000.0,35381000000.0,44512000000.0
Cash Cash Equivalents And Federal Funds Sold,520678000000.0,480077000000.0,446149000000.0,407488000000.0
