,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,74014000000.0,12112000000.0,-13542000000.0,-6972000000.0,-37784000000.0,
Repurchase Of Capital Stock,-1911000000.0,0.0,-83000000.0,-555000000.0,0.0,
Repayment Of Debt,-8538000000.0,-206000000.0,-627000000.0,-4118000000.0,-1682000000.0,
Issuance Of Debt,0.0,4986000000.0,4415000000.0,2781000000.0,4100000000.0,
Issuance Of Capital Stock,1000000.0,7000000.0,940000000.0,15000000.0,10000000.0,
Capital Expenditure,-1690000000.0,-1786000000.0,-1828000000.0,-2088000000.0,-1879000000.0,
Interest Paid Supplemental Data,30996000000.0,57184000000.0,67150000000.0,,,29740000000.0
End Cash Position,183679000000.0,131896000000.0,105355000000.0,117286000000.0,138318000000.0,
Beginning Cash Position,131896000000.0,105355000000.0,117286000000.0,125713000000.0,135639000000.0,
Effect Of Exchange Rate Changes,-928000000.0,-1424000000.0,-3606000000.0,-1216000000.0,-2492000000.0,
Changes In Cash,52710000000.0,27966000000.0,-8325000000.0,-16919000000.0,5171000000.0,
Financing Cash Flow,-17698000000.0,4066000000.0,-16255000000.0,-2047000000.0,-1770000000.0,
Cash Flow From Continuing Financing Activities,-17805000000.0,4072000000.0,-16255000000.0,-2047000000.0,-1770000000.0,
Net Other Financing Charges,-303000000.0,-245000000.0,-512000000.0,276000000.0,409000000.0,
Cash Dividends Paid,-6947000000.0,-476000000.0,-20388000000.0,-446000000.0,-4607000000.0,
Net Common Stock Issuance,-1910000000.0,7000000.0,857000000.0,-540000000.0,10000000.0,
Common Stock Payments,-1911000000.0,0.0,-83000000.0,-555000000.0,0.0,
Common Stock Issuance,1000000.0,7000000.0,940000000.0,15000000.0,10000000.0,
Net Issuance Payments Of Debt,-8538000000.0,4780000000.0,3788000000.0,-1337000000.0,2418000000.0,
Net Long Term Debt Issuance,-8538000000.0,4780000000.0,3788000000.0,-1337000000.0,2418000000.0,
Long Term Debt Payments,-8538000000.0,-206000000.0,-627000000.0,-4118000000.0,-1682000000.0,
Long Term Debt Issuance,0.0,4986000000.0,4415000000.0,2781000000.0,4100000000.0,
Investing Cash Flow,-5296000000.0,10002000000.0,19644000000.0,-9988000000.0,42846000000.0,
Cash Flow From Continuing Investing Activities,-5294000000.0,10000000000.0,19644000000.0,-9988000000.0,42845000000.0,
Net Other Investing Changes,98000000.0,40000000.0,60000000.0,133000000.0,138000000.0,
Dividends Received Cfi,211000000.0,156000000.0,159000000.0,294000000.0,-92000000.0,
Net Investment Purchase And Sale,-3915000000.0,11592000000.0,21253000000.0,-8671000000.0,44679000000.0,
Sale Of Investment,5312000000.0,,,-80143000000.0,40682000000.0,6951000000.0
Purchase Of Investment,-9227000000.0,-6480000000.0,0.0,71472000000.0,3997000000.0,
Net Intangibles Purchase And Sale,-1444000000.0,-1558000000.0,-1560000000.0,-1566000000.0,-1514000000.0,
Purchase Of Intangibles,-1444000000.0,-1558000000.0,-1560000000.0,-1566000000.0,-1514000000.0,
Net PPE Purchase And Sale,-246000000.0,-228000000.0,-268000000.0,-178000000.0,-365000000.0,
Sale Of PPE,,,,344000000.0,74000000.0,119000000.0
Purchase Of PPE,-246000000.0,,,-522000000.0,-365000000.0,-481000000.0
Operating Cash Flow,75704000000.0,13898000000.0,-11714000000.0,-4884000000.0,-35905000000.0,
Cash Flow From Continuing Operating Activities,75713000000.0,13886000000.0,-11712000000.0,-4884000000.0,-35143000000.0,
Taxes Refund Paid,-2252000000.0,-1565000000.0,-4261000000.0,-1891000000.0,-1311000000.0,
Change In Working Capital,50218000000.0,-12202000000.0,-22370000000.0,-1899000000.0,-57497000000.0,
Change In Other Working Capital,3251000000.0,-9172000000.0,-40128000000.0,70636000000.0,51179000000.0,
Change In Other Current Liabilities,-10337000000.0,4189000000.0,284000000.0,-1224000000.0,10282000000.0,
Change In Other Current Assets,2987000000.0,-14505000000.0,-606000000.0,-10796000000.0,-4539000000.0,
Change In Payables And Accrued Expense,10639000000.0,3282000000.0,-2274000000.0,,,-1018000000.0
Change In Payable,10639000000.0,3282000000.0,-2274000000.0,,,-1018000000.0
Change In Tax Payable,10639000000.0,3282000000.0,-2274000000.0,,,-1018000000.0
Change In Income Tax Payable,10639000000.0,3282000000.0,-2274000000.0,,,-1018000000.0
Change In Receivables,-684000000.0,-1064000000.0,302000000.0,,,413000000.0
Other Non Cash Items,5366000000.0,7576000000.0,-12232000000.0,-26827000000.0,1730000000.0,
Stock Based Compensation,269000000.0,301000000.0,-669000000.0,240000000.0,164000000.0,
Deferred Tax,-296000000.0,-3094000000.0,1704000000.0,2549000000.0,-175000000.0,
Deferred Income Tax,-296000000.0,-3094000000.0,1704000000.0,2549000000.0,-175000000.0,
Depreciation Amortization Depletion,2242000000.0,1632000000.0,1665000000.0,1141000000.0,1655000000.0,
Depreciation And Amortization,2242000000.0,1632000000.0,1665000000.0,1141000000.0,1655000000.0,
Operating Gains Losses,1067000000.0,-7537000000.0,13742000000.0,965000000.0,3610000000.0,
Earnings Losses From Equity Investments,-382000000.0,-369000000.0,-324000000.0,-197000000.0,-329000000.0,
Gain Loss On Investment Securities,700000000.0,966000000.0,902000000.0,-54000000.0,1634000000.0,
Net Foreign Currency Exchange Gain Loss,928000000.0,1424000000.0,3606000000.0,1216000000.0,2492000000.0,
Net Income From Continuing Operations,11600000000.0,11398000000.0,10707000000.0,12456000000.0,10595000000.0,
