Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2025-11-04 19:00:00-05:00,1.07,1.06,-0.62
2025-08-05 18:00:00-04:00,1.04,1.03,-0.68
2025-05-08 18:00:00-04:00,1.0,1.06,5.58
2025-02-05 16:00:00-05:00,0.97,0.93,-4.6
2024-11-04 16:00:00-05:00,0.94,0.96,2.59
2024-08-06 06:00:00-04:00,0.9,0.9,-0.14
2024-05-06 18:00:00-04:00,0.87,0.88,0.94
2024-02-05 16:00:00-05:00,0.84,0.78,-7.58
2023-11-05 19:00:00-05:00,0.81,0.89,10.48
2023-08-06 20:00:00-04:00,0.78,0.78,0.27
2023-05-08 06:00:00-04:00,0.76,0.76,0.15
2023-02-07 16:00:00-05:00,0.74,0.68,-7.16
2022-11-09 19:00:00-05:00,0.72,0.72,1.13
2022-08-08 18:00:00-04:00,0.67,0.69,1.94
2022-05-09 14:00:00-04:00,0.66,0.66,0.92
2022-02-09 22:00:00-05:00,0.61,0.64,5.12
2021-11-03 09:00:00-04:00,0.6,0.61,1.62
2021-08-02 18:00:00-04:00,0.57,0.59,4.21
2021-05-03 19:00:00-04:00,0.51,0.58,13.25
2021-02-01 01:00:00-05:00,0.45,0.49,8.18
2020-11-03 18:00:00-05:00,0.43,0.45,3.62
2020-08-03 19:00:00-04:00,0.41,0.38,-6.69
2020-05-05 11:00:00-04:00,0.59,0.35,-39.87
2020-02-10 18:00:00-05:00,0.66,0.66,1.27
2019-11-04 17:00:00-05:00,0.66,0.64,-1.64
