,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-267656236.857599,-529790327.455919,-214691557.202812,-524619355.449788
Tax Rate For Calcs,0.114139,0.146675,0.175833,0.327887
Total Unusual Items,-2345000000.0,-3612000000.0,-1221000000.0,-1600000000.0
Total Unusual Items Excluding Goodwill,-2345000000.0,-3612000000.0,-1221000000.0,-1600000000.0
Net Income From Continuing Operation Net Minority Interest,41085000000.0,33105000000.0,29207000000.0,26760000000.0
Reconciled Depreciation,6440000000.0,5652000000.0,4796000000.0,4233000000.0
Net Interest Income,74980000000.0,64135000000.0,72418000000.0,59948000000.0
Interest Expense,167278000000.0,158250000000.0,116747000000.0,69305000000.0
Interest Income,242258000000.0,222385000000.0,189165000000.0,129253000000.0
Normalized Income,43162343763.1424,36187209672.54408,30213308442.797188,27835380644.550213
Net Income From Continuing And Discontinued Operation,41085000000.0,33105000000.0,29207000000.0,26760000000.0
Diluted Average Shares,11181913859.0,11178828024.0,11169974693.0,11138899691.0
Basic Average Shares,11091383809.0,11102464392.0,11102260463.0,11077377185.0
Diluted EPS,3.671668,2.965578,2.656664,2.400706
Basic EPS,3.706973,2.98323,2.674316,2.400706
Diluted NI Availto Com Stockholders,41085000000.0,33105000000.0,29207000000.0,26760000000.0
Net Income Common Stockholders,41085000000.0,33105000000.0,29207000000.0,26760000000.0
Net Income,41085000000.0,33105000000.0,29207000000.0,26760000000.0
Minority Interests,-1043000000.0,-772000000.0,-1035000000.0,-1624000000.0
Net Income Including Noncontrolling Interests,42128000000.0,33877000000.0,30242000000.0,28384000000.0
Net Income Continuous Operations,42128000000.0,33877000000.0,30242000000.0,28384000000.0
Tax Provision,5428000000.0,5823000000.0,6452000000.0,13847000000.0
Pretax Income,47556000000.0,39700000000.0,36694000000.0,42231000000.0
Special Income Charges,-1992000000.0,-2017000000.0,-1088000000.0,-1481000000.0
Other Special Charges,1609000000.0,1679000000.0,1072000000.0,1041000000.0
Write Off,383000000.0,338000000.0,16000000.0,440000000.0
Impairment Of Capital Assets,,,,440000000.0
Gain On Sale Of Security,29168000000.0,30263000000.0,13738000000.0,17900000000.0
Depreciation Amortization Depletion Income Statement,7177000000.0,6529000000.0,5750000000.0,5548000000.0
Depreciation And Amortization In Income Statement,7177000000.0,6529000000.0,5750000000.0,5548000000.0
Selling General And Administration,55708000000.0,51930000000.0,50650000000.0,46963000000.0
Selling And Marketing Expense,1976000000.0,1996000000.0,2003000000.0,1389000000.0
General And Administrative Expense,53732000000.0,49934000000.0,48647000000.0,45574000000.0
Other Gand A,17313000000.0,16527000000.0,16187000000.0,14691000000.0
Insurance And Claims,801000000.0,1007000000.0,1143000000.0,2638000000.0
Salaries And Wages,35618000000.0,32400000000.0,31317000000.0,28245000000.0
Total Revenue,158568000000.0,148380000000.0,136376000000.0,122185000000.0
Operating Revenue,158568000000.0,148380000000.0,136376000000.0,122185000000.0
Other Non Interest Expense,17714000000.0,17561000000.0,14716000000.0,13125000000.0
