fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-12-31,USD,4424900000000,962135000000,343338000000,343338000000,None,111599000000,3462765000000,36244000000,None,11727000000,11727000000,52731000000,None,None,507198000000,None,None,4062462000000,64776000000,None,None,None,64776000000,3997686000000,None,435206000000,None,None,499982000000,None,None,362438000000,None,416055000000,4105000000,2793700000
2024-12-31,USD,4002814000000,1983491000000,469317000000,469317000000,None,320769000000,2019323000000,32223000000,None,11995000000,11995000000,52565000000,None,1172872000000,1193405000000,None,None,3658056000000,3073717000000,153153000000,None,None,361310000000,584339000000,None,389836000000,64475000000,None,751146000000,2559254000000,None,344758000000,None,376166000000,4105000000,2879000000
2023-12-31,USD,3875393000000,923999000000,624151000000,624151000000,-1856346000000,107363000000,2951394000000,30157000000,None,11747000000,11747000000,52634000000,None,973946000000,192485000000,824984000000,None,3547515000000,2963476000000,161960000000,None,None,261247000000,584039000000,None,391825000000,44712000000,None,653072000000,2540269000000,None,327878000000,None,332901000000,4105000000,2943100000
2022-12-31,USD,3665743000000,889122000000,567234000000,567234000000,-1647386000000,125189000000,2776621000000,27734000000,None,9197000000,9197000000,51662000000,None,1014081000000,196699000000,758264000000,None,3373411000000,3053636000000,188692000000,None,None,246640000000,319775000000,None,190586000000,44027000000,None,542505000000,2572138000000,498757000000,292332000000,None,296456000000,4105000000,2970000000
2021-12-31,USD,3743567000000,1133661000000,740834000000,740834000000,-1744961000000,102570000000,2609906000000,27070000000,None,6376000000,6376000000,50315000000,None,1048726000000,290257000000,611300000000,None,3449440000000,3127885000000,169172000000,None,None,247934000000,321555000000,None,301005000000,53594000000,None,548939000000,2710779000000,495590000000,294127000000,-105415000000,272268000000,4105000000,3026600000
2020-12-31,USD,3384757000000,974063000000,527609000000,527609000000,-1578413000000,90503000000,2410694000000,27109000000,None,4180000000,4180000000,49248000000,None,388178000000,355951000000,604350000000,None,3105403000000,2798440000000,140291000000,None,None,260417000000,306963000000,None,187759000000,45208000000,None,542102000000,2397732000000,497127000000,279354000000,-88184000000,236990000000,4105000000,3087400000
2019-12-31,USD,2687379000000,676866000000,263631000000,263631000000,-1136854000000,72861000000,2010513000000,25813000000,None,5518000000,5518000000,47823000000,None,809342000000,340374000000,459988000000,None,2426049000000,2110310000000,118375000000,None,None,224595000000,315739000000,None,137118000000,40920000000,None,516093000000,1767340000000,475620000000,261330000000,-83049000000,223211000000,4105000000,3230400000
2018-12-31,USD,2622532000000,582387000000,278793000000,278793000000,-1253772000000,73200000000,2040145000000,14934000000,None,6878000000,6878000000,47471000000,None,675542000000,230394000000,617172000000,None,2366017000000,2057945000000,114794000000,None,None,251596000000,308072000000,None,165014000000,69276000000,None,533627000000,1691555000000,464663000000,256515000000,-60494000000,199202000000,4105000000,3414000000
2017-12-31,USD,2533600000000,701258000000,431304000000,431304000000,-1847718000000,67729000000,1832342000000,14159000000,None,6885000000,6885000000,47507000000,None,575279000000,202225000000,483418000000,None,2277907000000,1962846000000,102727000000,None,None,210718000000,315061000000,None,149744000000,24186000000,None,494798000000,1649401000000,443345000000,255693000000,-42595000000,177676000000,4105000000,3576800000
2016-12-31,USD,2490972000000,680856000000,389635000000,389635000000,-1809551000000,52330000000,1810116000000,14131000000,None,6958000000,6958000000,47288000000,None,661189000000,238891000000,459964000000,None,2236782000000,1898690000000,109842000000,None,None,200109000000,338092000000,None,175706000000,11738000000,None,495354000000,1588739000000,460911000000,254190000000,-28854000000,162440000000,4105000000,3649800000
2015-12-31,USD,2351698000000,648864000000,360505000000,360505000000,325000000,46605000000,1702834000000,14362000000,None,7623000000,7623000000,47325000000,None,823744000000,241754000000,1112282000000,None,2104125000000,1682484000000,107632000000,None,None,168240000000,421641000000,None,168776000000,577065000000,None,477996000000,1406612000000,441329000000,247573000000,-21691000000,146420000000,4105000000,3775167000
2014-12-31,USD,2572274000000,881139000000,512308000000,512308000000,7776000000,70079000000,1691135000000,15133000000,None,8628000000,8628000000,47647000000,None,743151000000,298752000000,78975000000,None,2340547000000,1909154000000,134467000000,None,None,258445000000,431393000000,None,205177000000,692582000000,None,565046000000,1516242000000,468937000000,231727000000,-17856000000,129977000000,4105000000,3797500000
2013-12-31,USD,2415689000000,816718000000,355822000000,355822000000,12981000000,130919000000,737112000000,14891000000,None,11232000000,11232000000,48081000000,None,722154000000,308905000000,968158000000,None,2204511000000,252339000000,194491000000,None,None,57848000000,376313000000,None,455250000000,None,None,513098000000,-252339000000,181163000000,211178000000,-14847000000,115756000000,4105000000,3814976958
2012-12-31,USD,2359141000000,114656000000,175537000000,175537000000,5181000000,135916000000,64929000000,14519000000,None,9849000000,9849000000,48175000000,None,711860000000,375045000000,966586000000,None,2155072000000,55367000000,195240000000,None,None,55367000000,2099705000000,None,444133000000,None,None,499500000000,-195240000000,240103000000,204069000000,-12002000000,104223000000,4105000000,3822500000
2011-12-31,USD,2265792000000,121080000000,144881000000,144881000000,3651000000,153955000000,65436000000,14041000000,None,10430000000,10430000000,48188000000,None,696111000000,364781000000,903092000000,None,2082219000000,51631000000,202895000000,None,None,51631000000,2030588000000,None,464447000000,None,None,516078000000,-202895000000,235440000000,183573000000,-13155000000,88315000000,4105000000,3920300000
2010-12-31,USD,2117605000000,516186000000,49240000000,49240000000,7135000000,150628000000,805644000000,13355000000,None,17688000000,17688000000,48854000000,None,660661000000,316318000000,868829000000,None,1941499000000,205693000000,170330000000,None,None,35363000000,381925000000,None,471484000000,None,None,506847000000,-205693000000,504283000000,176106000000,-8160000000,73998000000,4105000000,3976900000
