fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-12-31,USD,4424900000000,962135000000,343338000000,343338000000,None,111599000000,3462765000000,36244000000,None,11727000000,11727000000,52731000000,None,None,507198000000,None,None,4062462000000,64776000000,None,None,None,64776000000,3997686000000,None,435206000000,None,None,499982000000,None,None,362438000000,None,416055000000,4105000000,2793700000
2025-09-30,USD,4560205000000,2313332000000,303436000000,303436000000,None,390244000000,2246873000000,35063000000,None,11725000000,11725000000,52717000000,None,1487283000000,1619652000000,None,None,4199993000000,3381264000000,316896000000,None,None,636929000000,818729000000,None,427203000000,69355000000,None,1064132000000,2744335000000,None,360212000000,None,407401000000,4105000000,2793700000
2025-06-30,USD,4552482000000,2386155000000,420327000000,420327000000,None,348439000000,2166327000000,33562000000,None,11718000000,11718000000,52747000000,None,1407359000000,1617389000000,None,None,4195558000000,3396305000000,303641000000,None,None,660633000000,799253000000,None,419802000000,65293000000,None,1080435000000,2735672000000,None,356924000000,None,397424000000,4105000000,2793700000
2025-03-31,USD,4357856000000,2252132000000,425903000000,425903000000,None,356547000000,2105724000000,32811000000,None,11904000000,11904000000,52621000000,None,1305260000000,1469682000000,238702000000,None,4006436000000,3243774000000,293538000000,None,None,598026000000,762662000000,None,407224000000,64980000000,None,1005250000000,2645748000000,None,351420000000,None,386616000000,4105000000,2824300000
2024-12-31,USD,4002814000000,1983491000000,469317000000,469317000000,None,320769000000,2019323000000,32223000000,None,11995000000,11995000000,52565000000,None,1172872000000,1193405000000,None,None,3658056000000,3073717000000,153153000000,None,None,361310000000,584339000000,None,389836000000,64475000000,None,751146000000,2559254000000,None,344758000000,None,376166000000,4105000000,2842400000
2024-09-30,USD,4210048000000,2147606000000,434260000000,434260000000,-1987569000000,374999000000,2062442000000,None,None,11744000000,11744000000,52711000000,None,1247480000000,1338347000000,1987569000000,None,3864212000000,3075340000000,314356000000,None,None,439975000000,788872000000,None,410157000000,50638000000,None,850132000000,2635365000000,None,345836000000,None,365966000000,4105000000,2865900000
2024-06-30,USD,4143003000000,923617000000,530819000000,530819000000,706476000000,135692000000,3219386000000,None,None,11905000000,11905000000,52620000000,None,1138198000000,257106000000,1068904000000,None,3802451000000,3050688000000,13800000000,None,None,448140000000,751763000000,None,394028000000,47308000000,None,842168000000,2602548000000,None,340552000000,None,356924000000,4105000000,2894900000
2024-03-31,USD,4090727000000,917285000000,562116000000,562116000000,-13842037800000,129823000000,3173442000000,None,None,11738000000,11738000000,52636000000,None,1134086000000,225346000000,1058210000000,None,3754090000000,3294140000000,301469000000,None,None,371938000000,459950000000,None,395872000000,46268000000,None,767810000000,2620733000000,None,336637000000,None,342414000000,4105000000,2912800000
2023-12-31,USD,3875393000000,923999000000,624151000000,624151000000,-1856346000000,107363000000,2951394000000,None,None,11747000000,11747000000,52634000000,None,973946000000,192485000000,824984000000,None,3547515000000,3119470000000,161960000000,None,None,261247000000,428045000000,None,391825000000,44712000000,None,653072000000,2696263000000,None,327878000000,None,332901000000,4105000000,2919100000
2023-09-30,USD,3898333000000,823692000000,511369000000,511369000000,-1779732000000,127752000000,3074641000000,29677000000,None,12418000000,12418000000,52492000000,None,1120303000000,184571000000,956040000000,None,3580962000000,2901203000000,292070000000,None,None,314220000000,679759000000,None,362793000000,45470000000,None,677013000000,2294913000000,None,317371000000,None,327044000000,4105000000,2932100000
2023-06-30,USD,3868240000000,797082000000,495123000000,495123000000,-1733114000000,111561000000,3071158000000,29493000000,None,11858000000,11858000000,52380000000,None,1184982000000,190398000000,936032000000,None,3555724000000,2899508000000,286934000000,None,None,321737000000,656216000000,None,364078000000,41022000000,None,671372000000,2290837000000,630597000000,312516000000,None,317359000000,4105000000,2948300000
2023-03-31,USD,3744305000000,844825000000,546000000000,546000000000,-1753431000000,115316000000,2899480000000,28266000000,None,9946000000,9946000000,52144000000,None,1129693000000,183509000000,908606000000,None,3441223000000,2855754000000,275077000000,None,None,288637000000,585469000000,None,440642000000,42241000000,None,584126000000,2292040000000,542140000000,303082000000,None,306208000000,4105000000,2972700000
2022-12-31,USD,3665743000000,889122000000,567234000000,567234000000,-1647386000000,125189000000,2776621000000,27734000000,None,9197000000,9197000000,51662000000,None,1014081000000,196699000000,758264000000,None,3373411000000,3053636000000,188692000000,None,None,246640000000,319775000000,None,190586000000,44027000000,None,542505000000,2572138000000,498757000000,292332000000,None,296456000000,4105000000,2967100000
2022-09-30,USD,3773884000000,965118000000,644187000000,644187000000,-1705380000000,143905000000,2808766000000,27199000000,None,9345000000,9345000000,51461000000,None,1032199000000,177026000000,1789872000000,None,3485866000000,2886298000000,300016000000,None,None,287805000000,599568000000,None,201957000000,47866000000,None,575278000000,2298477000000,527686000000,288018000000,None,288776000000,4105000000,2965400000
2022-06-30,USD,3841314000000,1021609000000,669260000000,669260000000,-1886356000000,145442000000,2819705000000,26770000000,None,8663000000,8663000000,50697000000,None,1047978000000,206907000000,783430000000,None,3555171000000,2942993000000,313326000000,None,None,281141000000,612178000000,None,426103000000,58422000000,None,569353000000,2348526000000,511198000000,286143000000,None,282445000000,4105000000,2966300000
2022-03-31,USD,3954687000000,1199495000000,754532000000,754532000000,-2018856000000,152207000000,2755192000000,26916000000,None,8187000000,8187000000,50298000000,None,1117352000000,292756000000,745725000000,None,3668788000000,3044734000000,320671000000,None,None,281444000000,624054000000,None,293239000000,57586000000,None,574683000000,2442619000000,517350000000,285899000000,-106914000000,277177000000,4105000000,2981000000
2021-12-31,USD,3743567000000,1133661000000,740834000000,740834000000,-1802042000000,102570000000,2609906000000,27070000000,None,6376000000,6376000000,50315000000,None,1048726000000,290257000000,611300000000,None,3449440000000,3127885000000,169172000000,None,None,247934000000,321555000000,None,301005000000,53594000000,None,548939000000,2710779000000,495590000000,294127000000,-105415000000,272268000000,4105000000,2981800000
2021-09-30,USD,3757576000000,1114233000000,759869000000,759869000000,-2665841000000,116395000000,2643343000000,26996000000,None,6253000000,6253000000,50313000000,None,1043125000000,237969000000,763309000000,None,3467535000000,2887209000000,268604000000,None,None,305313000000,580326000000,None,298465000000,50393000000,None,603778000000,2313292000000,553619000000,290041000000,-103498000000,265276000000,4105000000,3005100000
2021-06-30,USD,3684256000000,1050636000000,705421000000,705421000000,-2517200000000,125253000000,2633620000000,45931000000,None,5399000000,5399000000,49256000000,None,1023514000000,219962000000,729223000000,None,3397870000000,2786459000000,297082000000,None,None,297375000000,611411000000,None,427748000000,51938000000,None,597301000000,2192002000000,545596000000,286386000000,-98304000000,256983000000,4105000000,3041900000
2021-03-31,USD,3689336000000,1141228000000,711072000000,711072000000,551000000,114754000000,2548108000000,26926000000,None,5345000000,5345000000,49243000000,None,1068327000000,315402000000,1506708000000,None,3408622000000,2828458000000,285066000000,None,None,358997000000,580164000000,None,279427000000,54978000000,None,638424000000,2184395000000,583685000000,280714000000,-92151000000,248151000000,4105000000,3078900000
2020-12-31,USD,3384757000000,974063000000,527609000000,527609000000,333000000,90503000000,2410694000000,27109000000,None,4180000000,4180000000,49248000000,None,388178000000,355951000000,1401218000000,None,3105403000000,2798440000000,140291000000,None,None,260417000000,306963000000,None,187759000000,45208000000,None,542102000000,2397732000000,497127000000,279354000000,-88184000000,236990000000,4105000000,3085184000
2020-09-30,USD,3246076000000,919765000000,487522000000,487522000000,197000000,76945000000,2326311000000,26672000000,None,3775000000,3775000000,47819000000,None,389583000000,355298000000,1397713000000,None,2974963000000,2442341000000,234256000000,None,None,278432000000,532622000000,None,181684000000,41992000000,None,557607000000,1929653000000,515851000000,271113000000,-88287000000,228014000000,4105000000,3087329000
2020-06-30,USD,3213115000000,1023397000000,493729000000,493729000000,189000000,72260000000,2189718000000,26301000000,None,3858000000,3858000000,47811000000,None,485883000000,457408000000,1213521000000,None,2948649000000,2379902000000,230916000000,None,None,283661000000,568747000000,None,186040000000,48014000000,None,600664000000,1865325000000,552893000000,264466000000,-88337000000,221732000000,4105000000,3090580000
2020-03-31,USD,3139431000000,872578000000,367534000000,367534000000,253000000,122064000000,2266853000000,25882000000,None,4067000000,4067000000,47800000000,None,399944000000,382980000000,1330244000000,None,2878169000000,2305321000000,253874000000,None,None,285116000000,572848000000,None,203826000000,51909000000,None,584460000000,1766331000000,532867000000,261262000000,-88386000000,220226000000,4105000000,3100600000
