fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2024-12-31,USD,-42012000000,None,None,None,None,7938000000,0,None,None,None,-163403000000,63447000000,None,None,None,None,14783000000,14783000000,None,None,None,None,-28680000000,None,None,None,58471000000
2023-12-31,USD,12974000000,None,None,None,None,7512000000,1291000000,None,32970000000,None,67643000000,-25571000000,None,None,None,None,13463000000,13463000000,None,None,None,None,-9824000000,None,None,None,49552000000
2022-12-31,USD,107119000000,None,None,None,None,7051000000,0,-22970000000,-55656000000,None,-137819000000,-126257000000,None,None,None,None,13562000000,13562000000,None,None,None,None,-10596000000,None,-156957000000,None,37676000000
2021-12-31,USD,78084000000,None,None,None,None,7932000000,0,-12401000000,-11745000000,None,-129344000000,275993000000,None,None,None,None,12858000000,12858000000,None,None,None,None,-20983000000,None,224733000000,None,48334000000
2020-12-31,USD,-79910000000,None,None,None,None,8614000000,0,-18012000000,-42434000000,None,-261912000000,596645000000,None,None,None,None,12690000000,12690000000,None,None,None,None,-7947000000,None,254823000000,None,29131000000
2019-12-31,USD,4092000000,None,None,None,None,8368000000,0,-78000000,-17949000000,None,-52059000000,32987000000,None,None,None,None,12343000000,12343000000,None,None,None,None,-28076000000,None,-14980000000,None,36431000000
2018-12-31,USD,15614000000,None,None,None,None,7791000000,0,-5849000000,-8833000000,None,-199420000000,34158000000,None,None,None,None,10109000000,10109000000,None,None,None,None,-21679000000,None,-152511000000,-2863000000,32474000000
2017-12-31,USD,-10827000000,None,None,None,None,6179000000,0,-15868000000,4318000000,None,28249000000,14642000000,None,None,None,None,8993000000,8993000000,None,None,None,None,-16668000000,None,1954000000,96000000,24441000000
2016-12-31,USD,21884000000,None,None,None,None,5478000000,0,-5815000000,-4517000000,None,-89202000000,98271000000,None,None,None,None,8476000000,8476000000,None,None,None,None,-9082000000,None,3383000000,-135000000,24733000000
2015-12-31,USD,73466000000,None,None,None,None,4940000000,0,22664000000,-3701000000,None,106980000000,-187511000000,None,None,None,None,7873000000,7873000000,None,None,None,None,-5616000000,None,-7341000000,-276000000,24442000000
2014-12-31,USD,36593000000,None,None,None,None,4759000000,169212000000,-3637000000,-9166000000,None,-165636000000,118228000000,None,None,None,None,6990000000,6990000000,None,None,None,None,-4760000000,None,-11940000000,-1125000000,21745000000
2013-12-31,USD,107953000000,None,None,None,None,5306000000,158325000000,-2340000000,526000000,None,-150501000000,28324000000,None,None,None,None,6056000000,6056000000,None,None,None,None,-6589000000,None,-13952000000,272000000,17886000000
2012-12-31,USD,25079000000,None,None,None,None,5147000000,121477000000,1732000000,-4683000000,None,-119825000000,87707000000,None,None,None,None,5194000000,5194000000,None,None,None,None,-1653000000,None,-5879000000,1160000000,21284000000
2011-12-31,USD,95932000000,None,None,None,None,5105000000,123969000000,8655000000,-15456000000,None,-170752000000,107706000000,None,None,None,None,3895000000,3895000000,None,None,None,None,-8863000000,None,32035000000,-851000000,18976000000
2010-12-31,USD,-3752000000,None,None,None,None,4965000000,27166000000,443000000,-12452000000,None,54002000000,-49217000000,None,None,None,None,1486000000,1486000000,None,None,None,None,-3351000000,None,1361000000,328000000,17370000000
2009-12-31,USD,121897000000,None,None,None,None,4358000000,163596000000,-6312000000,32182000000,None,29355000000,-153079000000,None,None,None,None,3422000000,3422000000,None,None,None,None,-25000000000,None,-689000000,238000000,11728000000
2008-12-31,USD,23098000000,None,None,None,None,4406000000,195118000000,None,-33629000000,None,-283671000000,250506000000,None,None,None,None,5911000000,5911000000,None,None,None,None,306920000000,None,None,None,5605000000
2007-12-31,USD,-110560000000,None,None,None,None,3821000000,76245000000,None,-21628000000,None,-74188000000,182986000000,None,None,None,None,5051000000,5051000000,None,None,None,None,-8178000000,None,None,None,15365000000
2006-12-31,USD,-49579000000,None,None,None,None,3577000000,48799000000,None,-7208000000,None,-99627000000,152749000000,None,None,None,None,4846000000,4846000000,None,None,None,None,-4077000000,None,None,None,14444000000
2005-12-31,USD,-30236000000,None,None,None,None,4318000000,0,None,None,None,-12944000000,45069000000,None,None,None,None,4878000000,4878000000,None,None,None,None,-3612000000,None,None,None,8483000000
