fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-09-30,USD,-45214000000,None,None,None,None,2269000000,0,None,None,None,-21311000000,-47773000000,None,None,None,None,4180000000,4180000000,None,None,None,None,-8293000000,None,None,None,14393000000
2025-06-30,USD,29547000000,None,None,None,None,2210000000,0,None,None,None,-173060000000,122804000000,None,None,None,None,4205000000,4205000000,None,None,None,None,-7506000000,None,None,None,14987000000
2025-03-31,USD,-251839000000,None,None,None,None,2030000000,0,None,None,None,-118076000000,318059000000,None,None,None,None,3823000000,3823000000,None,None,None,None,-10528000000,None,None,None,14643000000
2024-12-31,USD,147758000000,None,None,None,None,1965000000,0,None,None,None,17620000000,-115705000000,None,None,None,None,3858000000,3858000000,None,None,None,None,-5901000000,None,None,None,14005000000
2024-09-30,USD,-74081000000,None,None,None,None,1967000000,0,None,None,None,-43405000000,10746000000,None,None,None,None,3655000000,3655000000,None,None,None,None,-8611000000,None,None,None,12898000000
2024-06-30,USD,38469000000,None,None,None,None,2002000000,0,None,None,None,-94239000000,27238000000,None,None,None,None,3777000000,3777000000,None,None,None,None,-11336000000,None,None,None,18149000000
2024-03-31,USD,-154158000000,None,None,None,None,2004000000,0,None,None,None,-43379000000,141168000000,None,None,None,None,3493000000,3493000000,None,None,None,None,-2832000000,None,None,None,13419000000
2023-12-31,USD,60231000000,None,None,None,None,3337000000,0,None,-6401000000,None,79882000000,-35897000000,None,None,None,None,3426000000,3426000000,None,None,None,None,-2275000000,None,None,None,9307000000
2023-09-30,USD,45119000000,None,None,None,None,2019000000,0,None,-51169000000,None,-12239000000,-4316000000,None,None,None,None,3386000000,3386000000,None,None,None,None,-2382000000,None,None,None,13151000000
2023-06-30,USD,18865000000,None,None,None,None,507000000,9920000000,6284000000,30470000000,None,-18243000000,-49915000000,None,None,None,None,3277000000,3277000000,None,None,None,None,-2477000000,None,-49293000000,None,14472000000
2023-03-31,USD,-111241000000,None,None,None,None,1649000000,0,9823000000,138045000000,None,23794000000,64557000000,None,None,None,None,3374000000,3374000000,None,None,None,None,-2690000000,None,-22890000000,None,12622000000
2022-12-31,USD,101222000000,None,None,None,None,1671000000,0,18651000000,-63518000000,None,-51530000000,-142344000000,None,None,None,None,3376000000,3376000000,None,None,None,None,-5434000000,None,-92652000000,None,11008000000
2022-09-30,USD,-18204000000,None,None,None,None,1771000000,0,1430000000,37117000000,None,39522000000,-32883000000,None,None,None,None,3412000000,3412000000,None,None,None,None,2000000000,None,-11565000000,None,9737000000
2022-06-30,USD,66018000000,None,None,None,None,1789000000,0,6668000000,-43397000000,None,-53203000000,-83802000000,None,None,None,None,3344000000,3344000000,None,None,None,None,-707000000,None,-70987000000,None,8649000000
2022-03-31,USD,-41917000000,None,None,None,None,1820000000,0,-49719000000,14142000000,None,-72608000000,132772000000,None,None,None,None,3430000000,3430000000,None,None,None,None,-4455000000,None,18247000000,None,8282000000
