ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-01-06,2025-12-09,2026-01-06,2026-01-31,1.5
2025-10-06,2025-09-16,2025-10-06,2025-10-31,1.5
2025-07-03,2025-05-19,2025-07-03,2025-07-31,1.4
2025-04-04,2025-03-18,2025-04-04,2025-04-30,1.4
2025-01-06,2024-12-09,2025-01-06,2025-01-31,1.25
2024-10-04,2024-09-17,2024-10-04,2024-10-31,1.25
2024-07-05,2024-05-20,2024-07-05,2024-07-31,1.15
2024-04-04,2024-03-19,2024-04-05,2024-04-30,1.15
2024-01-04,2023-12-12,2024-01-05,2024-01-31,1.05
2023-10-05,2023-09-19,2023-10-06,2023-10-31,1.05
2023-07-05,2023-05-15,2023-07-06,2023-07-31,1.0
2023-04-05,2023-03-21,2023-04-06,2023-04-30,1.0
2023-01-05,2022-12-13,2023-01-06,2023-01-31,1.0
2022-10-05,2022-09-20,2022-10-06,2022-10-31,1.0
2022-07-05,None,None,None,1.0
2022-04-05,2022-03-15,2022-04-06,2022-04-30,1.0
2022-01-05,2021-12-14,2022-01-06,2022-01-31,1.0
2021-10-05,2021-09-21,2021-10-06,2021-10-31,1.0
2021-07-02,2021-05-17,2021-07-06,2021-07-31,0.9
2021-04-05,2021-03-16,2021-04-06,2021-04-30,0.9
2021-01-05,2020-12-08,2021-01-06,2021-01-31,0.9
2020-10-05,2020-09-15,2020-10-06,2020-10-31,0.9
2020-07-02,None,None,None,0.9
2020-04-03,None,None,None,0.9
2020-01-03,None,None,None,0.9
2019-10-03,None,None,None,0.9
2019-07-03,None,None,None,0.8
2019-04-04,None,None,None,0.8
2019-01-03,None,None,None,0.8
2018-10-04,None,None,None,0.8
2018-07-05,None,None,None,0.56
2018-04-05,None,None,None,0.56
2018-01-04,None,None,None,0.56
2017-10-05,None,None,None,0.56
2017-07-03,None,None,None,0.5
2017-04-04,None,None,None,0.5
2017-01-04,None,None,None,0.48
2016-10-04,None,None,None,0.48
2016-07-01,None,None,None,0.48
2016-04-04,None,None,None,0.44
2016-01-04,None,None,None,0.44
2015-10-02,None,None,None,0.44
2015-07-01,None,None,None,0.44
2015-04-01,None,None,None,0.4
2015-01-02,None,None,None,0.4
2014-10-02,None,None,None,0.4
2014-07-01,None,None,None,0.4
2014-04-02,None,None,None,0.38
2014-01-02,None,None,None,0.38
2013-10-02,None,None,None,0.38
2013-07-02,None,None,None,0.38
2013-04-03,None,None,None,0.3
2013-01-02,None,None,None,0.3
2012-10-03,None,None,None,0.3
2012-07-03,None,None,None,0.3
2012-04-03,None,None,None,0.3
2012-01-04,None,None,None,0.25
2011-10-04,None,None,None,0.25
2011-07-01,None,None,None,0.25
2011-04-04,None,None,None,0.25
2011-01-04,None,None,None,0.05
2010-10-04,None,None,None,0.05
2010-07-01,None,None,None,0.05
2010-04-01,None,None,None,0.05
2010-01-04,None,None,None,0.05
2009-10-02,None,None,None,0.05
2009-07-01,None,None,None,0.05
2009-04-02,None,None,None,0.05
2009-01-02,None,None,None,0.38
2008-10-02,None,None,None,0.38
2008-07-01,None,None,None,0.38
2008-04-02,None,None,None,0.38
2008-01-02,None,None,None,0.38
2007-10-03,None,None,None,0.38
2007-07-03,None,None,None,0.38
2007-04-03,None,None,None,0.34
2007-01-03,None,None,None,0.34
2006-10-04,None,None,None,0.34
2006-07-03,None,None,None,0.34
2006-04-04,None,None,None,0.34
2006-01-04,None,None,None,0.34
2005-10-04,None,None,None,0.34
2005-07-01,None,None,None,0.34
2005-04-04,None,None,None,0.34
2005-01-04,None,None,None,0.34
2004-10-04,None,None,None,0.34
2004-07-01,None,None,None,0.34
2004-04-02,None,None,None,0.34
2004-01-02,None,None,None,0.34
2003-10-02,None,None,None,0.34
2003-07-01,None,None,None,0.34
2003-04-02,None,None,None,0.34
2003-01-02,None,None,None,0.34
2002-10-02,None,None,None,0.34
2002-07-02,None,None,None,0.34
2002-04-03,None,None,None,0.34
2002-01-02,None,None,None,0.34
2001-10-03,None,None,None,0.34
2001-07-03,None,None,None,0.34
2001-04-04,None,None,None,0.34
2001-01-03,None,None,None,1.0
2000-10-04,None,None,None,0.32
2000-09-21,None,None,None,1.0
2000-07-03,None,None,None,0.32
2000-04-04,None,None,None,0.48
2000-01-04,None,None,None,0.41
1999-10-04,None,None,None,0.41
1999-07-01,None,None,None,0.41
1999-04-01,None,None,None,0.41
1999-01-04,None,None,None,0.36
