date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2027-12-31,next fiscal year,23.0790,24.3000,21.8400,12.0000,23.0480,22.8409,22.9800,22.7181,5.0000,,4.0000,4.0000,201064293120.00,204246575000.00,198106063120.00,9.00
2026-12-31,historical fiscal year,21.4838,22.7400,20.7500,12.0000,21.4896,21.1286,21.2780,21.1772,8.0000,,6.0000,6.0000,194002774350.00,198000000000.00,190248000000.00,11.00
2026-06-30,next fiscal quarter,5.3556,5.8400,5.1700,9.0000,5.3763,5.3292,5.3316,5.3044,4.0000,,5.0000,4.0000,48080040130.00,49727000000.00,46843000000.00,8.00
2026-03-31,historical fiscal quarter,5.3489,5.8800,5.0300,9.0000,5.3475,5.2395,5.2206,5.2048,4.0000,,4.0000,5.0000,48057552610.00,50143000000.00,46566000000.00,8.00
2025-12-31,historical fiscal year,20.0067,20.1300,19.8700,3.0000,20.0860,20.0786,20.0625,19.6287,2.0000,,3.0000,1.0000,182920785670.00,183876000000.00,182447000000.00,9.00
2025-09-30,historical fiscal quarter,4.8747,5.0100,4.6900,10.0000,4.8283,4.7159,4.6870,4.4784,5.0000,,7.0000,1.0000,45574683220.00,46248000000.00,44828000000.00,7.00
2025-06-30,historical fiscal quarter,4.4685,4.9039,4.1000,13.0000,4.4295,4.4210,4.4528,4.5946,3.0000,,3.0000,0.0000,43983699400.00,45004107410.00,43077000000.00,11.00
2025-03-31,historical fiscal quarter,4.6450,4.9600,4.3500,13.0000,4.5828,4.5570,4.5328,4.3355,6.0000,,6.0000,2.0000,44142357010.00,45409000000.00,43260000000.00,10.00
2024-12-31,historical fiscal year,18.3573,19.9500,17.1800,16.0000,18.3409,18.1795,18.1835,18.1309,7.0000,,10.0000,0.0000,174285212040.00,177240000000.00,169009000000.00,14.00
2024-09-30,historical fiscal quarter,4.0100,4.2100,3.8300,15.0000,4.0100,4.0200,3.6700,4.0000,2.0000,,7.0000,1.0000,41625400000.00,42154700000.00,40427000000.00,13.00
2024-06-30,historical fiscal quarter,3.8300,4.2400,3.6300,13.0000,3.8000,4.2800,3.7900,4.1200,5.0000,,12.0000,0.0000,45663900000.00,46620500000.00,43827000000.00,8.00
2024-03-31,historical fiscal quarter,3.8500,4.1100,3.5600,17.0000,4.2100,4.2800,4.2800,3.8300,1.0000,,4.0000,3.0000,39216000000.00,40911300000.00,37521200000.00,15.00
2023-12-31,historical fiscal year,16.6300,17.8500,16.0400,22.0000,16.6600,16.8200,16.7900,16.0800,3.0000,,7.0000,5.0000,160604000000.00,163927000000.00,151364000000.00,19.00
2023-09-30,historical fiscal quarter,3.9600,4.4100,3.7400,18.0000,3.8700,3.5600,3.7900,3.5100,5.0000,,14.0000,1.0000,39644900000.00,41000000000.00,38052000000.00,13.00
2023-06-30,historical fiscal quarter,3.9900,5.0300,3.4300,21.0000,3.9700,3.9800,3.8700,3.3100,4.0000,,8.0000,3.0000,38957600000.00,42441000000.00,35372000000.00,15.00
2023-03-31,historical fiscal quarter,3.4100,3.8600,2.9300,22.0000,3.4000,3.4700,3.4200,3.3600,4.0000,,7.0000,3.0000,36187100000.00,38227000000.00,33953000000.00,17.00
2022-12-31,historical fiscal year,11.6100,12.0000,11.1300,23.0000,11.6600,11.6800,11.6700,11.1400,3.0000,,5.0000,6.0000,130535000000.00,132730000000.00,127737000000.00,19.00
2022-09-30,historical fiscal quarter,2.8800,3.2400,2.4000,20.0000,2.9100,2.9200,2.9500,2.9500,0.0000,,3.0000,5.0000,32090600000.00,34153000000.00,30454000000.00,15.00
2022-06-30,historical fiscal quarter,2.9100,3.1800,2.5000,20.0000,2.9500,2.9200,2.7500,2.7300,0.0000,,4.0000,2.0000,31951300000.00,33384000000.00,31093000000.00,14.00
2022-03-31,historical fiscal quarter,2.6900,2.9500,2.4300,20.0000,2.7300,2.8100,2.8000,2.9400,1.0000,,2.0000,5.0000,30856300000.00,32984000000.00,29361600000.00,16.00
2021-12-31,historical fiscal year,15.0300,15.4800,14.8000,27.0000,14.9900,14.9700,14.9600,14.7700,2.0000,0.0000,12.0000,4.0000,123640000000.00,125869000000.00,121203000000.00,23.00
2021-09-30,historical fiscal quarter,2.8800,3.2700,2.5500,19.0000,2.8800,2.8700,2.8400,2.8400,0.0000,1.0000,1.0000,0.0000,29600500000.00,30651000000.00,28708000000.00,13.00
2021-06-30,historical fiscal quarter,3.2000,3.8400,2.8000,21.0000,3.1100,3.0800,3.0400,2.9200,5.0000,2.0000,11.0000,,29956400000.00,31346000000.00,29000000000.00,17.00
2021-03-31,historical fiscal quarter,3.1000,3.7300,2.7500,21.0000,3.0000,2.7900,2.7700,2.4800,5.0000,0.0000,21.0000,,30518800000.00,31755000000.00,29000000000.00,17.00
2020-12-31,historical fiscal year,7.7200,8.5000,7.1000,26.0000,7.6700,7.5200,7.4300,7.0500,5.0000,1.0000,16.0000,,120350000000.00,122737000000.00,117369000000.00,22.00
2020-09-30,historical fiscal quarter,2.2300,2.8400,1.8000,23.0000,2.1300,1.8900,1.9000,1.8500,2.0000,0.0000,19.0000,,28293700000.00,29310000000.00,27147800000.00,20.00
2020-06-30,historical fiscal quarter,1.0400,1.7300,0.3400,22.0000,1.1200,0.9700,0.9400,1.6700,0.0000,1.0000,11.0000,,30294300000.00,32409600000.00,27200000000.00,18.00
2020-03-31,historical fiscal quarter,1.8400,2.7800,-3.6000,20.0000,2.4200,2.7400,2.7200,2.6900,0.0000,1.0000,1.0000,,29671300000.00,30825000000.00,28285000000.00,14.00
2019-12-31,historical fiscal year,10.4800,10.6800,10.0300,25.0000,10.4700,10.4500,10.4500,10.2100,1.0000,0.0000,14.0000,,116104000000.00,118254000000.00,113900000000.00,21.00
2019-09-30,historical fiscal quarter,2.4500,2.5400,2.3200,21.0000,2.4500,2.4400,2.4400,2.4900,1.0000,0.0000,9.0000,,28489100000.00,29231000000.00,27988000000.00,18.00
2019-06-30,historical fiscal quarter,2.5000,2.6900,2.4000,23.0000,2.5100,2.5400,2.5400,2.5400,1.0000,12.0000,2.0000,,28909900000.00,29612800000.00,28281000000.00,19.00
2019-03-31,historical fiscal quarter,2.3500,2.4400,2.1200,23.0000,2.3500,2.3800,2.4500,2.5200,2.0000,5.0000,4.0000,,28439100000.00,29164000000.00,27098000000.00,19.00
2018-12-31,historical fiscal year,9.2300,9.4600,9.0600,26.0000,9.2700,9.2700,9.2800,9.2700,1.0000,14.0000,3.0000,,110776000000.00,112292000000.00,108967000000.00,21.00
2018-09-30,historical fiscal quarter,2.2500,2.3400,2.1600,22.0000,2.2600,2.2900,2.2900,2.2600,1.0000,5.0000,5.0000,,27495200000.00,28334000000.00,26879000000.00,18.00
2018-06-30,historical fiscal quarter,2.2200,2.3000,2.1600,22.0000,2.2200,2.2300,2.2300,2.2300,3.0000,5.0000,6.0000,,27363300000.00,28013000000.00,26757000000.00,18.00
2018-03-31,historical fiscal quarter,2.2900,2.4500,2.1700,23.0000,2.2700,2.2500,2.2100,2.0600,5.0000,1.0000,14.0000,,27661600000.00,28227000000.00,26796300000.00,18.00
2017-12-31,historical fiscal year,6.9200,7.0000,6.8600,21.0000,6.9000,6.9100,6.9200,6.8200,2.0000,4.0000,5.0000,,102048000000.00,103864000000.00,99813000000.00,22.00
2017-09-30,historical fiscal quarter,1.6500,1.7500,1.5400,24.0000,1.6600,1.6700,1.6700,1.6700,3.0000,4.0000,3.0000,,25272300000.00,26193000000.00,24132000000.00,20.00
2017-06-30,historical fiscal quarter,1.5800,1.6900,1.5000,25.0000,1.6000,1.6200,1.6500,1.6500,1.0000,9.0000,1.0000,,24960600000.00,26179000000.00,24130000000.00,20.00
