fiscalDateEnding,reportedEPS
2025-12-31,19.73
2024-12-31,19.74
2023-12-31,16.22
2022-12-31,12.08
2021-12-31,15.25
2020-12-31,10.13
2019-12-31,10.72
2018-12-31,8.87
2017-12-31,6.88
2016-12-31,6.06
2015-12-31,5.63
2014-12-31,5.55
2013-12-31,6.01
2012-12-31,5.31
2011-12-31,4.47
2010-12-31,3.96
2009-12-31,2.24
2008-12-31,0.88
2007-12-31,4.26
2006-12-31,3.7
2005-12-31,2.95
2004-12-31,3.01
2003-12-31,3.25
2002-12-31,1.24
2001-12-31,1.66
2000-12-31,3.06
1999-12-31,4.17
1998-12-31,3.03
1997-12-31,2.75
1996-12-31,2.5
