fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2025-12-31,2026-01-13,4.63,4.82,-0.19,-3.9419,pre-market
2025-09-30,2025-10-14,5.07,4.87,0.2,4.1068,pre-market
2025-06-30,2025-07-15,4.96,4.47,0.49,10.962,pre-market
2025-03-31,2025-04-11,5.07,4.64,0.43,9.2672,pre-market
2024-12-31,2025-01-15,4.81,4.04,0.77,19.0594,pre-market
2024-09-30,2024-10-11,4.37,3.99,0.38,9.5238,pre-market
2024-06-30,2024-07-12,6.12,5.09,1.03,20.2358,pre-market
2024-03-31,2024-04-12,4.44,4.13,0.31,7.5061,pre-market
2023-12-31,2024-01-12,3.04,3.6,-0.56,-15.5556,pre-market
2023-09-30,2023-10-13,4.33,3.96,0.37,9.3434,pre-market
2023-06-30,2023-07-14,4.75,4,0.75,18.75,pre-market
2023-03-31,2023-04-14,4.1,3.41,0.69,20.2346,pre-market
2022-12-31,2023-01-13,3.57,3.1,0.47,15.1613,pre-market
2022-09-30,2022-10-14,3.12,2.85,0.27,9.4737,pre-market
2022-06-30,2022-07-14,2.76,2.9,-0.14,-4.8276,pre-market
2022-03-31,2022-04-13,2.63,2.71,-0.08,-2.952,pre-market
2021-12-31,2022-01-14,3.33,3.03,0.3,9.901,pre-market
2021-09-30,2021-10-13,3.55,3,0.55,18.3333,pre-market
2021-06-30,2021-07-13,3.78,3.17,0.61,19.2429,pre-market
2021-03-31,2021-04-14,4.59,3.06,1.53,50,pre-market
2020-12-31,2021-01-15,3.07,2.65,0.42,15.8491,pre-market
2020-09-30,2020-10-13,3.09,2.24,0.85,37.9464,pre-market
2020-06-30,2020-07-14,1.08,1.21,-0.13,-10.7438,pre-market
2020-03-31,2020-04-14,2.89,2.2,0.69,31.3636,pre-market
2019-12-31,2020-01-14,2.57,2.36,0.21,8.8983,pre-market
2019-09-30,2019-10-15,2.68,2.45,0.23,9.3878,pre-market
2019-06-30,2019-07-16,2.82,2.49,0.33,13.253,pre-market
2019-03-31,2019-04-12,2.65,2.35,0.3,12.766,pre-market
2018-12-31,2019-01-15,1.98,2.19,-0.21,-9.589,pre-market
2018-09-30,2018-10-12,2.34,2.26,0.08,3.5398,pre-market
2018-06-30,2018-07-13,2.29,2.22,0.07,3.1532,pre-market
2018-03-31,2018-04-13,2.26,2.29,-0.03,-1.31,pre-market
2017-12-31,2018-01-12,1.76,1.69,0.07,4.142,pre-market
2017-09-30,2017-10-12,1.76,1.66,0.1,6.0241,pre-market
2017-06-30,2017-07-14,1.71,1.59,0.12,7.5472,pre-market
2017-03-31,2017-04-13,1.65,1.51,0.14,9.2715,pre-market
2016-12-31,2017-01-13,1.58,1.42,0.16,11.2676,pre-market
2016-09-30,2016-10-14,1.58,1.39,0.19,13.6691,pre-market
2016-06-30,2016-07-14,1.55,1.43,0.12,8.3916,pre-market
2016-03-31,2016-04-13,1.35,1.26,0.09,7.1429,pre-market
2015-12-31,2016-01-14,1.32,1.26,0.06,4.7619,pre-market
2015-09-30,2015-10-13,1.32,1.37,-0.05,-3.6496,post-market
2015-06-30,2015-07-14,1.54,1.44,0.1,6.9444,pre-market
2015-03-31,2015-04-14,1.45,1.41,0.04,2.8369,pre-market
2014-12-31,2015-01-14,1.19,1.32,-0.13,-9.8485,pre-market
2014-09-30,2014-10-14,1.62,1.38,0.24,17.3913,pre-market
2014-06-30,2014-07-15,1.46,1.3,0.16,12.3077,pre-market
2014-03-31,2014-04-11,1.28,1.4,-0.12,-8.5714,pre-market
2013-12-31,2014-01-14,1.4,1.33,0.07,5.2632,pre-market
2013-09-30,2013-10-11,1.42,1.28,0.14,10.9375,pre-market
