contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
JPM260206C00165000,JPM,2026-02-06,165.00,call,0.00,152.32,150.35,1,154.30,1,0,0,2026-02-04,2.92212,0.99913,0.00004,-0.06720,0.00070,0.00902
JPM260206P00165000,JPM,2026-02-06,165.00,put,0.00,0.01,0.00,0,0.01,500,0,0,2026-02-04,2.79530,-0.00055,0.00003,-0.03178,0.00046,-0.00001
JPM260206C00170000,JPM,2026-02-06,170.00,call,0.00,147.35,145.35,1,149.35,40,0,0,2026-02-04,3.05871,0.99795,0.00009,-0.13348,0.00152,0.00927
JPM260206P00170000,JPM,2026-02-06,170.00,put,0.00,0.01,0.00,0,0.01,500,0,12,2026-02-04,2.66847,-0.00056,0.00003,-0.03090,0.00046,-0.00001
JPM260206C00175000,JPM,2026-02-06,175.00,call,0.00,142.25,140.35,40,144.15,40,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.01745,0.00000,0.00959
JPM260206P00175000,JPM,2026-02-06,175.00,put,0.00,0.01,0.00,0,0.01,250,0,3,2026-02-04,2.55140,-0.00059,0.00003,-0.03080,0.00048,-0.00001
JPM260206C00180000,JPM,2026-02-06,180.00,call,0.00,137.25,135.35,44,139.15,1,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.01795,0.00000,0.00986
JPM260206P00180000,JPM,2026-02-06,180.00,put,0.00,0.01,0.00,0,0.04,12,0,26,2026-02-04,2.44409,-0.00063,0.00004,-0.03161,0.00052,-0.00001
JPM260206C00185000,JPM,2026-02-06,185.00,call,0.00,132.27,130.35,41,134.20,1,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.01845,0.00000,0.01013
JPM260206P00185000,JPM,2026-02-06,185.00,put,0.00,0.01,0.00,0,0.05,20,0,30,2026-02-04,2.32702,-0.00064,0.00004,-0.03065,0.00053,-0.00001
JPM260206C00190000,JPM,2026-02-06,190.00,call,117.01,127.25,125.90,41,128.60,41,0,1,2026-02-04,0.01488,1.00000,0.00000,-0.01894,0.00000,0.01041
JPM260206P00190000,JPM,2026-02-06,190.00,put,0.00,0.01,0.00,0,0.05,20,0,5,2026-02-04,2.21970,-0.00068,0.00005,-0.03067,0.00055,-0.00001
JPM260206C00195000,JPM,2026-02-06,195.00,call,112.15,122.20,120.40,41,124.00,41,0,1,2026-02-04,0.01488,1.00000,0.00000,-0.01944,0.00000,0.01068
JPM260206P00195000,JPM,2026-02-06,195.00,put,0.05,0.01,0.00,0,0.05,20,25,0,2026-02-04,2.11239,-0.00071,0.00005,-0.03028,0.00057,-0.00001
JPM260206C00200000,JPM,2026-02-06,200.00,call,106.88,117.45,115.85,41,119.05,41,0,1,2026-02-04,2.61969,0.99339,0.00030,-0.30483,0.00435,0.01083
JPM260206P00200000,JPM,2026-02-06,200.00,put,0.00,0.01,0.00,0,0.05,1,0,45,2026-02-04,2.01483,-0.00076,0.00006,-0.03103,0.00062,-0.00001
JPM260206C00205000,JPM,2026-02-06,205.00,call,102.00,112.20,110.45,41,113.95,41,0,1,2026-02-04,0.01488,1.00000,0.00000,-0.02044,0.00000,0.01123
JPM260206P00205000,JPM,2026-02-06,205.00,put,0.01,0.01,0.00,0,0.03,1,12,10,2026-02-04,1.90751,-0.00078,0.00006,-0.02981,0.00063,-0.00001
JPM260206C00210000,JPM,2026-02-06,210.00,call,0.00,107.25,105.90,41,108.60,41,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.02094,0.00000,0.01150
JPM260206P00210000,JPM,2026-02-06,210.00,put,0.01,0.01,0.00,0,0.01,9,56,11,2026-02-04,1.80996,-0.00082,0.00007,-0.02982,0.00066,-0.00001
JPM260206C00215000,JPM,2026-02-06,215.00,call,93.00,102.28,100.45,41,104.10,45,0,1,2026-02-04,0.01488,1.00000,0.00000,-0.02144,0.00000,0.01178
JPM260206P00215000,JPM,2026-02-06,215.00,put,0.01,0.01,0.00,0,0.02,10,109,29,2026-02-04,1.71240,-0.00086,0.00007,-0.02945,0.00069,-0.00002
JPM260206C00220000,JPM,2026-02-06,220.00,call,88.06,97.22,95.40,45,99.05,41,0,1,2026-02-04,0.01488,1.00000,0.00000,-0.02194,0.00000,0.01205
JPM260206P00220000,JPM,2026-02-06,220.00,put,0.00,0.01,0.00,0,0.02,1,0,16,2026-02-04,1.62459,-0.00095,0.00008,-0.03053,0.00075,-0.00002
JPM260206C00225000,JPM,2026-02-06,225.00,call,0.00,92.25,90.95,41,93.55,41,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.02243,0.00000,0.01233
JPM260206P00225000,JPM,2026-02-06,225.00,put,0.01,0.01,0.00,0,0.01,1,16,41,2026-02-04,1.52704,-0.00097,0.00009,-0.02940,0.00077,-0.00002
JPM260206C00230000,JPM,2026-02-06,230.00,call,101.07,87.22,85.40,42,89.05,41,0,1,2026-02-04,0.01488,1.00000,0.00000,-0.02293,0.00000,0.01260
JPM260206P00230000,JPM,2026-02-06,230.00,put,0.01,0.01,0.00,0,0.01,9,4,1,2026-02-04,1.43923,-0.00105,0.00010,-0.02983,0.00083,-0.00002
JPM260206C00235000,JPM,2026-02-06,235.00,call,0.00,82.25,80.45,41,84.05,41,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.02343,0.00000,0.01287
JPM260206P00235000,JPM,2026-02-06,235.00,put,0.01,0.01,0.00,0,0.05,4,12,25,2026-02-04,1.35143,-0.00113,0.00012,-0.02996,0.00089,-0.00002
JPM260206C00240000,JPM,2026-02-06,240.00,call,0.00,77.25,75.45,41,79.05,41,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.02393,0.00000,0.01315
JPM260206P00240000,JPM,2026-02-06,240.00,put,0.01,0.01,0.00,0,0.01,9,2,21,2026-02-04,1.26363,-0.00121,0.00014,-0.02974,0.00094,-0.00002
JPM260206C00245000,JPM,2026-02-06,245.00,call,0.00,72.30,70.40,45,74.20,41,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.02443,0.00000,0.01342
JPM260206P00245000,JPM,2026-02-06,245.00,put,0.06,0.01,0.00,0,0.03,2,1,23,2026-02-04,1.17583,-0.00128,0.00015,-0.02914,0.00099,-0.00002
JPM260206C00250000,JPM,2026-02-06,250.00,call,52.00,67.22,65.40,43,69.05,41,0,8,2026-02-04,0.01488,1.00000,0.00000,-0.02493,0.00000,0.01370
JPM260206P00250000,JPM,2026-02-06,250.00,put,0.02,0.01,0.00,0,0.05,1,5,210,2026-02-04,1.08802,-0.00134,0.00017,-0.02814,0.00104,-0.00002
JPM260206C00255000,JPM,2026-02-06,255.00,call,0.00,62.50,60.95,56,64.05,53,0,0,2026-02-04,1.39045,0.98523,0.00114,-0.33004,0.00878,0.01370
JPM260206P00255000,JPM,2026-02-06,255.00,put,0.01,0.01,0.00,0,0.02,1,26,86,2026-02-04,1.00998,-0.00153,0.00021,-0.02934,0.00116,-0.00003
JPM260206C00260000,JPM,2026-02-06,260.00,call,47.90,57.58,56.00,56,59.15,57,0,1,2026-02-04,1.36119,0.97872,0.00160,-0.43300,0.01198,0.01386
JPM260206P00260000,JPM,2026-02-06,260.00,put,0.01,0.03,0.01,1,0.04,2,58,257,2026-02-04,1.02949,-0.00399,0.00049,-0.07130,0.00278,-0.00007
JPM260206C00265000,JPM,2026-02-06,265.00,call,35.68,52.70,51.75,23,53.65,54,0,10,2026-02-04,1.33192,0.96976,0.00219,-0.56109,0.01609,0.01397
JPM260206P00265000,JPM,2026-02-06,265.00,put,0.10,0.15,0.01,2,0.28,380,1,149,2026-02-04,1.14656,-0.01516,0.00142,-0.25677,0.00898,-0.00027
JPM260206C00267500,JPM,2026-02-06,267.50,call,0.00,50.42,49.25,26,51.60,55,0,0,2026-02-04,1.39045,0.95648,0.00283,-0.77847,0.02167,0.01386
JPM260206P00267500,JPM,2026-02-06,267.50,put,0.00,0.01,0.00,0,0.10,207,0,5,2026-02-04,0.80510,-0.00189,0.00032,-0.02838,0.00141,-0.00003
JPM260206C00270000,JPM,2026-02-06,270.00,call,47.50,47.33,46.00,55,48.65,57,52,63,2026-02-04,0.72706,0.99877,0.00024,-0.04425,0.00096,0.01477
JPM260206P00270000,JPM,2026-02-06,270.00,put,0.02,0.02,0.01,40,0.03,10,49,225,2026-02-04,0.81486,-0.00338,0.00053,-0.04867,0.00239,-0.00006
